"data","label"
"Cần hổ trợ khắc phục máy lạnh chảy nước quá ạ","0"
"Nhân viết lắp đặt nhiệt tình. Chất lượng sản phẩm thì chưa bàn đến. Miễn phí lắp đặt mà lại đi lấy thêm của khách hàng 100k tiền rút lõi tường, cái này ĐMX hơi hèn . Chưa thấy ai lấy mỗi tiền rút lõi bao giờ. Hài","0"
"Mình mua sản phẩm có gói dùnh thử 30 ngày. Mình muốn đổi sang máy khác, nhờ bên bộ phận khách hàng hướng dẫn","0"
"Mất lòng tin sp chảy nước cục nóng đổi cục khác lại chảy nhiều hơn cục trước","0"
"Làm lạnh kém mà tốn điện cực kì. Gọi lên tổng đài thì cứ quanh co. Tôi muốn đổi trả","0"
"Máy kiểu on quá trời ở trọ mà nó kieu như vậy rất phiền người ta ko đc hai lòng cho lắm","0"
"Chưa dùng lên chưa bik tốt hay ko","0"
"Trời ơi Sài đêm 15km điện ở nhà trọ 4 4 ngan kg Sài chắc đủ tiền đien nhà trọ ko tháng 3tr qua","0"
"Làm lạnh kém, cục nóng kêu ồn. Thợ bảo hành xuống thì lại bảo các chỉ số bình thường, hoạt động tốt. Tôi muốn đổi hàng","0"
"ĐMX và Capsper lừa dối khách hàng. Sp quạt kêu cực kì to mà bảo hành nói bình thường. Khốn khiếp","0"
"Làm lạnh cực kém.","0"
"Máy lạnh tệ, kém chất lượng, bật mấy tiếng không làm lạnh được, thất vọng về chất lượng hàng của điện máy xanh, tôi muốn trả hàng.","0"
"Cục nóng quá kiu . Làm lạnh thì tốt","0"
"Máy kem chất lượng dùng không có lạnh, cục nóng kêu to tôi phải trả hàng","0"
"","1"
"","0"
