"data","label","num_stars"
"Tôi là người đã viết đánh giá trước về sáng ra thấy mặt kính cường lực bên ngoài ngăn đông bị vỡ. Lời khuyên chân thành dành cho ai chưa mua thì nên cân nhắc sản phẩm và nhãn hiệu này có an toàn không, nghỉ làm 1 ngày để đợi nhân viên Samsung lại đánh giá, đợi thêm vài ngày báo lại chi phí thay 15% giá trị cái tủ, chưa kể phải nghỉ làm thêm 1 ngày để đợi thay.","0","1"
"tủ lạnh nhà em , mở ngăn mát ra , bóng đèn chóp liên tục là bị sao thế .mong phản hồi ạh","1","3"
"Ổn áp, build và chất lượng hơn hẳn dòng tầm trung. Khay đá k bao giờ bị dính đá trên khay k đổ hết được. Có chức năng theo dõi lượng điện tiêu thụ.","2","5"
"Mua tủ lạnh vì kiểu dáng đẹp, tuy nhiên chỉ sử dụng đc 4 tháng là ngăn lạnh hỏng luôn, ngăn trên thì đóng tuyết. Gọi nhân viên điện máy xanh và samsung đến bảo hành nhưng vẫn không xử lý được. Quá thất vọng với dòng tủ lạnh của hãng samsung","0","2"
"Thanh trượt ngăn đông mềm bị kẹt cứng ko dịch chuyển chỉnh chế độ được","1","3"
"Sử dụng được vài tháng , vẫn còn bảo hành , liên hệ để được sửa chữa thì kéo dài thời gian . Bên cty Samsung cũng liên hệ mình và nói qua loa , không giải quyết được gì cả , mình mua ở Điện Máy Xanh","0","2"
"Máy chạy êm, ngăn đông mềm chỉ lạnh bình thường chứ không đông.","2","4"
"Chọn nơi uy tín để mua mà chẳng thấy chút uy tín và bảo hành nhanh nhẹn gì cả, quá thất vọng về đmx và sản phẩm. Mua tủ lạnh xài hơn 1 tháng mấy ngày là hư bo main thì thử hỏi độ bền được bao lâu. Bảo hành 5 ngày chưa thấy tới nơi xử lý. Quá tệ","0","1"
"Rất tệ. Sài 4 tháng. Ngăn mát giờ hết tác dụng, Đèn chóp như nhạc sàn, ngay cả sơn mà đụng tay vào cũng trôi. Bảo hành. Dmx tới báo hư quạt báo qua hãng. Rất chán","0","1"
"Tủ đẹp, xài rất êm","2","4"
