"data","label"
"tivi chất lượng tốt, xài ok","1"
"tivi xài tốt, hình ảnh đẹp","1"
"trước mắt xem thì thấy ổn định, xài thấy ok lắm đó","1"
"tivi thỉnh thoảng hơi lag, bật sang 1 nút là load rất lâu, nhưng mà hình ảnh đẹp, sắc nét, âm thanh thì ok","1"
"tivi hoạt động tốt, hình ảnh mình thấy cũng được, ok","1"
"sản phẩm hoạt động bình thường","1"
"tivi mình mới dùng thấy cũng được,mà giọng nói không được nhạy cho lắm","1"
"tivi ok, uy tín","1"
"tivi hình ảnh đẹp, âm thanh nghe thấy hay","1"
"tivi xài tốt, màn hình ok lắm, mua cho mấy bà dì xài thấy ok","1"
"tivi xài bình thường","1"
"tivi hoạt động tốt, màn hình đẹp","1"
"tivi hoạt động bình thường, mà cảm biến giọng nói không được nhạy cho lắm","1"
"xài tốt lắm, dùng ok","1"
"tivi LG này tốt lắm ạ","1"
"tivi hình đẹp, âm thanh hay","1"
"tivi đẹp, được lắm ạ","1"
"tivi màn hình ok, đẹp, chất lượng tốt","1"
"tivi hình ảnh đẹp, sắc nét","1"
"","1"
