"data","label"
"2 tây lễ quốc khanh sài tới tháng 9 quá OK lắm luôn 2 /9/2025 sử dụng bền bỉ quá ta midea rất tốt lắm từ ngày mua về qua ok không sợ chảy tren dàn lạnh nua không nghe tieng tau nua quá êm ái ru luôn","1"
"Máy bị chảy nước. Cần bảo hành","1"
"Nhân viên nhiệt tình, chứ đáo","1"
"Tệ, k lạnh.","0"
"Mấy bác gặp thợ chưa đủ tâm thôi. tôi mua 6290k gửi thêm 100k cho thợ lắp cafe hồi cuối 2023 đầu 2024 đến giờ vệ sinh đúng 1 lần chạy ngon ầm ầm. phòng 8m2 ống ngắn tôi cũng chả cần họ hút chân không vẫn chạy bình thường. ngoài máy móc 1 phần ra còn tay nghề lắp đặt nữa.","1"
"Máy lạnh chạy nước từ cục nóng thì có bình thường không","0"
"Phòng có 8m2 nhưng phải bật đến 2324 độ mới mát xêm xêm nv lắp cục nóng cao hơn nhưng ko làm bẫy dầu. Có thắc mắc thì bảo ko cần. Giờ thấy hoang mang quá, máy mát kiểu hiu hiu như sắp hết ga vậy. Làm mát rất lâu","0"
"Dùng 2 tiếng mở 23 độ hết 5 số điện, mọi người cân nhắc nha","0"
"Phòng nhỏ mà k mát. Chênh với bên ngoài chút xíu gọi là có dùng đhoa thôi. Nch là k lên mua. Bật đến 23 độ mới tạm tạm mát","0"
"Giá cả hợp lý","1"
"Cục nóng chảy nước có bị sao không vậy .","1"
"Mua 3 cái máy lạnh ngày 9/5. Đến ngày 12/5 gặp lỗi báo bảo hành tới nay là 27/5. Nữa tháng chưa xử lý xong. Bên ĐMX đẩy trách nhiệm đợi hãng xuống kiểm tra. Mà không thấy hãng nào liên hệ hết. Tháng này chịu nóng nữa tháng trời. Thật sự quá tệ","0"
"Hôm mua 6tr190. Nay lên xem còn 4990. Ảo ma thật","0"
"Cách 2 hôm lắp 6290.000 nay đã 5990k. Giá rổ tung chảo quá.","1"
"Sản phẩm chạy êm, phù hợp với diện tích phòng nhỏ 1015m2 và kín. Nhân viên kỹ thuật tay nghề cao và tư vấn dễ hiểu, nhiệt tình. Cảm ơn ĐMX.","1"
"Tôi muốn hủy 2 đơn hàng online . Sdt xxxx601263 cảm ơn","1"
"tu khi lap toi hien tai thay on ap","1"
"Máy lạnh chạy khá êm và tiết kiệm, độ bền chờ thời gian kiểm chứng. K hiểu 1 hệ thống lớn như DMX mà trainning nhân viên lắp đặt quá tệ.Gắn ống đồng k đủ chiều dài tối thiểu 3m. Làm khá ẩu, k ưng ý 1 xíu nào. Và vấn đề nhân viên lắp đặt của DMX làm ẩu k đủ vật tư cho khách hàng đã bị phản ánh rất nhiều nhưng k thấy được khắc phục mong DMX hãy lắng nghe góp ý của khách hàng và khắc phục k thôi mất khách hết.","0"
"Khong ngờ Một sản phẩm giá rẻ mà trại êm đến thế","1"
"Nhân viên ĐMX không hút chân không mặc dù trong gói đã đặt có dịch vụ hút chân không và khi được hỏi thì câu trả lời là dây đồng 3m không cần hút chân không.Đang rất lo lắng về vấn đề này.","0"
"Máy êm nhân viên chuyên nghiệp nhiêt tình dể thương","1"
"liên hệ tôi xxxx635509 để bảo hành","1"
"Ngoài việc chờ máy lạnh lâu. . và nhân viên lắp đặt tệ. Thì 1 sao là quá gê rồi. Nếu có 0 sao thì dmx 0 sao nhá.","0"
"Máy hoạt động êm ái, nhân viên kỹ thuật làm việc có chuyên môn tốt.","1"
"Rất thích ạ","1"
"Ok","1"
"Đang xài tốt và rất hài lòng về dịch vụ","1"
"Nhà 3 cái 1 shark, 1 casper, 1 media. Casper 1hp là lạnh 27 êm 1 bé, shark 1.5hp phải mở 25, còn media 1hp phải bấm 23 24 1 bé. Diện tích xem xem nhau. Mà nói chung cái media này rẻ nhất thì cũng ổn rồi á. 5.990.000đ thì vừa túi tiền.","0"
"cho e hỏi sao mở máy đc 5p nước chảy ra từ ống nước thái nhìu lắm có sao k ạ","0"
"Ổn, lạnh nhanh, máy chạy êm","1"
"Ms dùng 2 tuần . Ok mát nha","1"
"Sài rất ổn. Làm lạnh nhanh. Giá ok","1"
"Dịch vụ bảo hành của điện máy xanh rất chán. Một trải nghiệm quá tệ","0"
"Dùng cũng đc","1"
"Máy ok phòng m rộng 45m3 nhưng bật 28 độ lạnh teo","1"
"máy rất tốt, làm lạnh nhanh tiết kiệm điện","1"
"Máy ít dùng. Chạy êm. Lạnh tốt nha","1"
"Hiện tại đang rất hài lòng","1"
"không ồn , nhưng mất thêm chi phí rút lõi , phòng mk rộng nên mát từ từ k sâu , êm không ồn","1"
"Chế độ bảo hành rất tệ nha mọi người do mua online, bảo hành online chứ các bạn nhân viên ở cửa hàng vẫn rất nhiệt tình và thân thiện, xử lý bảo hành của mình hết hơn 20 ngày mà mình phải gọi lên tổng đài hơn chục lần yêu cầu bảo hành, đùn đẩy trách nhiệm cho hãng mình đã từng có bài đánh giá chi tiết số lần, nội dung liên hệ bảo hành và cách xử lý của ĐMX nhưng không biết vì lý do gì đó bài review đó của mình không được xuất hiện ở đây. Một lời khuyên là hoặc là no buy hoặc là ra trực tiếp cửa hàng mua","0"
"Sài OK lắm ak","1"
"Mình dùng khoảng 1 tháng rồi máy lạnh okee mà k biết có tốn điện nhiều hay không thôi cục nóng kêu to nên gắn cục nóng xa phòng 1 chút , không thôi ồn không ngủ được","0"
"Ok","1"
"Ổn. Chạy êm. Làm lạnh nhanh","1"
"OK","1"
"Máy mới lắp thấy mát làm lạnh nhanh hiện chưa có vấn đề j. Nhưng máy 1 chiều mà bác thợ lắp cục nóng cao hơn dàn lạnh mà ko làm bẫy dầu cẩn thận cho khách dù dây đồng còn thừa nhiều. Làm bẫy dầu như ko làm nghĩ nó chán","1"
"Máy rất mát","1"
"Cục nóng kêu to thôi.","0"
"Vừa ráp máy xong cục nóng bị hư, gọi bảo hành xuống nói thay lại cục khác. Chờ cả tuần gọi hơn 10 cuộc cho bên bảo hành cả chăm sóc khách hàng không thấy phản hồi gì cả. Dịch vụ quá tệ, mua online không biết ai khiếu nại...rất bức xúc","0"
"Ok","1"
"Ko hút chân không, yêu cầu vẫn từ chối. Đó là Sai cơ bản nghiêm trọng trong kỹ thuật lắp đặt và chuyên nghiệp của ĐMX. Cục lạnh lắp lệch, bên cao bên thấp. Bên phải còn bị vênh ko thể sát tường như bên trái.","0"
"Tốt","1"
"Ok","1"
"Tốt","1"
"Xài ok, còn có tiết kiệm điện hay k thì chưa biết","1"
"Ok","1"
"đang dùng thấy rata ok còn sau này thì ko biết","1"
"Ok nhé, giá tốt, chất lượng Daikin","1"
"chế độ bảo hành quá kém","0"
"Mát lắm","1"
"Tốt","1"
"Hàng tốt... trải nghiệm ổn vừa tầm giá","1"
"Hàng xài Ok, nhưng sao cục nóng có rò điện đụng tay vào hơi tê tê.","1"
"Ok","1"
"bố cũng đến lậy mấy thằng dmx. chúng mày làm ăn cho tử tế vào. cả cái tập đoàn lớn mà làm ăn như buồi. cái phòng ngủ chưa đến 11m2 mà bật 16 độ vẫn chẳng mát j. gọi bảo hành thì như đi ăn xin chúng mày. không bao giờ có lần nữa tao mua của chúng mày. sớm phá sản nhé. lũ óc . cảm ơn","0"
"Mới sử dụng được 2 tuần, tạm thời là ổn...Hi vọng sẽ bền bỉ","1"
"Tốt","1"
"Tốt","1"
"Sài ok","1"
"Không nên mua của hãng này, chế độ bảo hành tệ quá, máy nhà mình bị chãy nước điên bảo hành đến nay hẹn 3 lần rồi vẫn chưa xuống sửa chữa, tụi bây mần ăn gian nói dối quá, trả tiền lại cho tao","0"
"Xịn ngon êm","1"
"Chất lượng dịch vụ rất tốt nhé.","1"
"Lạnh nhanh","1"
"Máy chạy êm","0"
"Mới lắp được khoảng 1 tháng Thì máy lại không đc mát như lúc lắp, maqcj dù set cùng 1 nhiệt độ lúc mới lắp","0"
"Tốt","1"
"Mới mua thấy cung ổn chưa đánh giá đúng đc","0"
"máy lạnh nhanh OK","1"
"Tuyệt vời","1"
"Có cái máy lạnh mà gọi quài khiếu nại liên tục mà không cho được hướng giải quyết nào hết. Mua về không xài được thì phải làm sao giải quyết cho khách hàng chứ bỏ lơ khách luôn là sao. Mua 11/5 mà tới nay không dùng được kêu nhân viên xuống không xử lí dc. Bây giờ tôi cần câu trả lời là có xử lí cho tôi hay không","0"
"Máy sử dụng tốt","1"
"Tạm ổn","0"
"Chưa đóng tiền điện tháng đầu nên chưa biết. Nhưng tạm thời thấy ok","1"
"Good","1"
"Tốt","1"
"Máy lạnh không khép sát được cửa luồng gióLắp đặt thì giao cho bên thứ 3 lắp ẩu tả quá thất vọng","0"
"Máy dùng tốt","1"
"Máy chạy êm, làm lạnh nhanh tiết kiệm điện","1"
"mới dùng nên thấy OK","1"
"Ok tốt","1"
"Mới dùng thấy ok","1"
"Máy hoạt động tốt, nhân viên lắp đặt rất có trách nhiệm.","1"
"Ok","1"
"ok.","1"
"Hút chân không có 5 phút, đó là mình đứng canh luôn đó vậy mà nói là 10 phút. Thực sự làm không có tâm. Máy thì mình chỉ mới xài có 3 ngày thấy chạy ok bắt 27 là lạnh rồi.","0"
"Tốt lắm","1"
"Quá oke. Dự định mua tiếp 1 cái nữa nhéXài khá tốt mát lạh","1"
"Dùng tạm ổn,tôi mua online nhưng khi vào quà tặng VIP mục danh mục sản phẩm bảo hành thì không thấy tên sản phẩm","0"
"Máy chạy êm. Ít hao điện.","1"
"Máy chạy êm. Độ lạnh ko quá cao nhưng không bị khô","1"
"Máy chạy êm ,làm lạnh nhanh , dùng tubo thì hơi ồn chút","1"
"lạnh nhanh. tối nóng thì nó chạy hết công suất hú ồn lát rồi giảm tốc độ lại cũng không quá ồn.giá 6tr bao đủ thứ thì như vậy ổn rồi.","1"
"Tốt","1"
"Tốt","1"
"Đặt hàng và thanh toán xong, chờ đợi mòn mỏi ko có 1 nhân viên nào liên hệ để xác nhận đã đặt hàng thành công hay chưa và báo tgian nhận hàng. Bỗng đùng 1 cái báo về là tôi đổi thời gian nhận hàng Ủa alo, có giao đúng hẹn hay giao trễ thì cũng làm ơn báo trước dùm cái. Điện máy xanh càng ngày càng tệ. Chất lượng sản phẩm như thế nào thì chưa biết chứ cách phục vụ là hơi chê rồi đấy. Có lẽ đây là lần cuối cùng mua đồ từ điện máy xanh","0"
"hàng mới khui đã thấy 1 đường . còn bền hay tiết kiệm điện thì chưa biết","0"
"Toàn bộ quá trình mua hàng và cách bảo hành của cửa hàng, mọi người đọc và rút kinh nghiệm. Ngày 08/5/2024 tôi nhận 1 chiếc máy lạnh Midea MAFA 09CDN8 theo đơn đặt từ ngày 03/5, gía 6 triệu 0 trăm 90 nghìn VND ,sau lắp đặt, tôi sử dụng từ 14h17h cùng ngày, tôi tắt máy, đến 19h sử dụng lại máy không mát, tôi đợi đến 21h máy không làm lạnh được, vì quá giờ gọi điện nên sáng 09/5 tôi gọi cho cửa hàng. Sáng 09/5 tôi gọi lại qua số điện thoại 1900 232 465, nhân viên nghe máy hẹn tối 22h 10/5 mới có thợ đến sửa, tôi không đồng ý, vì máy tôi lắp đặt và sử dụng chưa đến 12 giờ đã hư hỏng, tôi yêu cầu được sửa chữa ngay. Khoảng 10h nhân viên liên hệ lại sẽ có thợ đến sửa chữa lúc 1314h cùng ngày, tôi đồng ý. 11h30 ngày 09/5 thợ sửa chữa đến, là thợ lắp đặt máy luôn, thợ không có số điện thoại của khách, đứng dưới nhà kêu, tôi được hàng xóm gọi điện thoại mới biết thợ đến.11h3013h 09/5 thợ kiểm tra, báo là do vặn ốc không chặt, quên vặn bằng mỏ lết, thợ vặn lại, sửa chữa thì máy làm lạnh được.13h30 17h30 ngay 09/5 máy làm lạnh tốt, sau đó tôi tắt máy đi ra ngoài.22h30 09/5 tôi mở máy lại và không sử dụng được, máy chạy khoảng 45 phút tự tắt, màn hình nhấp nháy chữ đọc không rõ. Sáng 10/5 lúc 5h tôi có mở máy lại, check kĩ vấn đề có phải do nguồn điện nhà tôi yếu hay không, nhưng đúng 45 phút, máy tự tắt, không lạnh, báo lỗi giống tối 09/5.8h 10/5 gọi điện khiếu nại và bảo hành, nhân viên hẹn 12/5 mới có thợ đến được.khoảng 12h10 ngày 12/5, nhân viên sửa chữa ĐMX đến kiểm tra lại máy lạnh của tôi, anh kiểm tra và hỏi hệ thống đây đồng của ĐMX hay của khách, anh hỏi nhân viên cũ có kiểm tra chỗ dàn lạnh không Cụ thể là vị trí nối ốc lỏng mà mail trước tôi trình bày. Sau khi kiểm tra khoảng 30 phút, điện thoại của tôi nhận được cuộc nhá máy từ số 0833 181 065 khoảng 12h40, số này trước đó tôi đã chủ động liên hệ để hỏi khi nào nhân viên sửa chữa ĐMX đến Trong buổi sáng, số này gọi cho tôi 2 lần, 1 lần nhá máy lúc 10h25, lần sau 10h26 tôi bắt máy nhưng không trả lời, đến 12h tôi chủ động gọi thì nhân viên CSKH nói là nhân viên sửa chữa gọi cho tôi để đến nhà xem máy. Nên thấy cuộc gọi nhỡ lúc 12h40 tôi đoán là anh đã xem máy xong, tôi gọi cho người nhà, được báo lại là khả năng hư hỏng do máy, sẽ về báo ĐMX, liên hệ hãng Midea, trước thứ 4 ngày 15/5 nhân viên Midea đến. 11h07 ngày 13/5, tôi chủ động gọi cho ĐMX qua số 1900 232 465 để hỏi tình hình khi nào nhân viên Midea đến xem máy, tôi nhận được câu trả lời là trước 16/5, bên ĐMX sẽ hối bên Midea đến sớm cho khách, vì nhận thấy nhân viên trả lời không khớp khoảng thời gian mà trưa 12/5 tôi nhận được, nên 11h18 tôi chủ động gọi cho Midea qua số 1800 588 863 để tìm hiểu thông tin khi nào có nhân viên đến xem máy. Tôi được thông tin là Midea vừa nhận tin của ĐMX, Midea sẽ gọi cho nhân viên sửa chữa, sẽ liên hệ khách sớm. 12h53 ngày 13/5, nhân viên Midea gọi cho tôi, thông tin thời gian sẽ đến xem máy, tôi đồng ý. 14h03 ngày 13/5, nhân viên Midea đến xem máy, kiểm tra dàn lạnh, ghi nhận do lỗi lắp đặt, dàn nóng khó tiếp cận, tôi nhận 1 biên bản ghi nhận tình trạng máy, anh nhân viên Midea giữ 1 bản về báo lại cho hãng. 14h53 ngày 13/5, tôi chủ động gọi cho ĐMX thông tin tình trạng sau khi Midea kiểm tra, ĐMX báo chưa nhận được thông tin từ Midea, sẽ nhận sớm và xếp đơn của tôi vào ưu tiên để giải quyết. 19h1519h40 ngày 13/5, không nhận được cuộc gọi nào phản hồi về việc sửa chữa máy, tôi gọi cho số bảo hành ĐMX, nhân viên trả lời chưa nhận được biên bản kiểm tra của Midea, tôi tắt máy, gọi cho Midea và họ báo đã gửi biên bản cho ĐMX. Tôi gọi tiếp cho số khiếu nại của ĐMX, nhân viên hướng dẫn tôi gửi biên bản qua App quà tặng vip, các bạn sẽ gửi cho bên thiết bị nhanh chóng giải quyết cho tôi. 12h58 ngày 14/5, tôi tiếp tục chủ động gọi cho số khiếu nại ĐMX, vì tôi vẫn chưa nhận được cuộc gọi hẹn vào xem máy, các bạn lại tra thông tin, và nói đã gửi cho bên thiết bị, hẹn trước 19h liên hệ cho tôi thời gian đến xem máy. 14h32 ngày 14/5, tôi nhận cuộc gọi từ ĐMX hẹn trước 20h cùng ngày nhân viên thiết bị đến xem máy.","0"
"Hài longf","1"
"Tot","1"
"Mới gắn chạy trong 10 ngày mà ko lạnh nữa là sao ạ,gọi tổng đài cứ bận miết,máy gì mà mới xài 10 ngày mở lên giống ko hoạt động ko hơi ko nghe chạyNhân viên ráp máy thì thôi rồi làm như có rồi á,thái độ muốn gắn xong để đi","0"
"Tui rất bực ve cách phục vụ","0"
"Tốt","1"
"Tốt lạnh nhanh","1"
"Tốt","1"
"Mát đều và ổn","1"
"Tốt","1"
"Dàn lạnh êm , nhưng dàn nóng để nhiệt thấp thì sẽ kêu to","1"
"Ok","1"
"tốt trong tầm giá","1"
"không thấy nhân viên lắp đặt hút chân không gì vậy, hoặc ít ra cũng phải tư vấn để khách biết, không hút chân không thì sao gas đều được.","1"
"Tốt vừa túi tiền","1"
"Ok","1"
"Nhân viên giao hàng quá tệ","0"
"Không thể tin nổi hệ thống như bên mình mà làm ăn quá chán. Tôi mua cái máy lạnh từ ngày 13/04 tới nay mà máy bị lỗi ko sử dụng được. Đt lên bộ phận bảo hành của bên mình không dưới 20 lần mà tới nay vẫn chưa xử lý xong. Cứ hẹn là sẽ liên hệ lại. Ủa tôi đâu cần các bạn liên hệ. Tôi cần các bạn xử lý mà. Mua hàng để xài chứ có phải để làm cảnh mà cả tháng ko sử dụng được. Sao bán hàng mà khâu chăm sóc khách hàng quá tệ. Số đt khiếu nại để đó làm cảnh hay sao tôi đt hoài ko dc vậy","0"
"Cục nóng nhẹ hơn so với các hãng đang dùng. Có thể vì vậy nên ồn Nếu bạn nào để cục nóng xa phòng hoặc trên mặt phẳng ổn định thì có thể ít ồn hơn. Nói chung giá rẻ phải có ký do","0"
"Sao nút swing đảo gió lên xuống thì thấy có hoạt động còn nuta direct điều chỉnh hướng gió qua lại thì nhân vô nó ko qua lại thì ko thấy hoạt động","1"
"Ngoại trừ cục nóng kêu hơi to, còn lại làm lạnh","1"
"Giá tiền hợp lý.","1"
"Cũng ok lắm chưa thấy j bất ổn hết","1"
"Trộm vía máy hoạt động tốt mát mẻ dễ chịu nha","1"
"tốt","1"
"Tốt","1"
"Máy chạy êm, tốt","1"
"Ok","1"
"Làm lạnh chậm, được cái êm không ồn","0"
"Máy lạnh sử dụng tốt nhung nhân viên lắp đặt dường như hơi ẩu, hiện tại bỉ rỉ nước 1 số đoạn, nhờ Điện Máy Xanh kiểm tra lại","1"
"Máy này tuy rẻ hơn những thương hiệu khác, nhưng sau thời gian sử dụng tôi nhận thấy tốt. Máy chạy ổn định.","1"
"Sản phẩm tốt","1"
"Tốt","1"
"Máy lạnh ok nhe. Lạnh nhanh vãi","1"
"Máy chạy êm ru. Trong tầm giá thì ổn áp luôn","1"
"Dùng cũng ổn nha cả nhà, khá tiết kiệm điện, độ mát vừa phải","1"
"Dịch vụ ĐMX rất tốt.","1"
"Chạy kêu hơi to. Nhưng tiết kiệm điện. Làm mát nhanh. Giá rẻ mua dùng ọ","1"
"Ok","1"
"Tốt trong tầm giá","1"
"Máy lạnh okiela, lắp hơi lâu xíu, chắc do mùa cao điểm","1"
"OK","1"
"Ok","1"
