"data","label"
"Nhân viên đến lắp đặt rất thái độ, trên website đã ghi miễn phí phụ kiện để lắp đặt nhưng lại đưa hóa đơn tính phí những thứ đó. Sau hơn 1 năm thì điều hòa không làm mát được nữa với nguyên nhân ống đồng bị gập, lỗi do chính điện máy xanh gây ra. Và bắt khách trả 1tr2 để hãng sửa. Quá đủ với cái hãng này.","0"
"Điện máy cho mình hỏi ngày 18072025 mình mua điều hoà fujki trả góp 6 tháng giá 7.390.000 và không lấy cb, không khoan lỗ, không mua thêm ống đồng không phát sinh phụ phí tại sao lên app homcrit lại báo lên thành 7,606, 000Tính phí thu hộ 11 nghìn một tháng 6 tháng thì cũng chỉ 7.456.000Nhân viên lắp đặt báo khống gì mà lên 7.606.000Mong được phản hồi giải đáp","0"
"Dịch vụ sau chăm sóc khách hàng quá tệ, trong khi báo khách sẽ được tặng 1 máy xay nhưng phản hồi lên tổn đài thì 5 lần 7 lượt hẹn . Hẹn khách 14 ngày sẽ có nhưng lúc gọi lên thì ko có, cảm giác giống bị lừa dối khách hàng","0"
"Cmn thợ dmx là loại láo nháo nhất nó lắp ống chưa được 2m giờ tính sao","1"
"Cục nóng kêu to, lúc thì kêu cộc cộc như kẹp j đó, cần được hỗ trợ","0"
"Mua gói nhưng Không giao đồ tặng kèm. Không giao bổ sung. Xử lí chậm, bộ phận này đổ cho bộ phận kia. Không nên mua gói làm gì","0"
"Cục nóng kêu còn to hơn máy cày hợp tác xã, k bật dh thì nóng mà bật thì ngủ dậy đau đầu","0"
"1 tháng mình dùng thử sp rất tốt làm lạnh nhanh , lạnh sâu dù phòng 12m vuông để 27 vẫn đắp chăn bông . Lựa chọn xem rất nhiều hãng rồi chọn Funiki k làm mình thất vọng","1"
"cục nóng kêu cộc cộc, quá to rất khó chịu","0"
"Máy này mình điều khiển bật tắt bằng điện thoại được không ạ","0"
"Kĩ thuật không có tâm nhà tôi có sẵn aptomat và dây điện ngầm lắp điều hoà mà kĩ thuật vòng vo tư vấn lắp chỗ khác và thu thêm 350 nghìn nữa bây giờ dây lộ hết ra ngoài cực kì mất thẩm mĩ tôi đang không hiểu tại sao lại thu thêm của tôi như vậy có phải kĩ thuật lấy tiền đó ăn ngoài không Lần này tôi thấy rất thất vọng về đmx với cách làm việc như vậy khách chuyển tiền là xong còn các vấn đề là kệ khách lắp đặt như vậy mà vẫn bảo là ok tôi không ở nhà nên mới bị vậy chứ tôi ở nhà không bao giờ tôi để cho mấy ông kĩ thuật lắp như vậy thật sự quá thất vọng","0"
"Nhân viên lắp đặt đi lắp đặt thang không có dây điện thì không vẽ thêm phí rẩt k hài lòng","0"
"Cho e hỏi s k có cảm giác lạnh lắm.. chỉ đủ mát là cùng zđộ lạnh k mạnh lắm","0"
"Mua hơn 1 năm sắp ,hết bảo hành thì máy cũng sắp hư luôn. Trời đang nóng bức cần nhất máy lạnh để sài thì hỏng, mà bảo hành mãi không sửa được. Dây dưa không biết nào xong, ngày qua ngày","0"
"Đừng có mua máy Funiki này nhaVì nó tiết kiệm điện siêu đẳnggg Xài bền ko hao điệnMở 24/24 1 tháng tầm 500K tiền điện ở trọ 1 ký 4K nha Bền bỉ hú hồn chim énHàng VN chất lượng cao","1"
"Ngon bổ rẻ. Mới lắp thấy máy chạy êm, làm lạnh tốt","1"
"Oki","1"
