"data","label"
"Máy bật 27C k nghe lạnh. Trong khi dòng máy khác bât 27C lạnh chịu k nỏi","0"
"Máy lạnh nhanh, độ lạnh k gây khó chịu, cục nóng thì hơi ồn 1 chút. Chốt 8/10đ","1"
"điện máy xanh bây giờ cho người lắp máy lạnh quá ẩu cục nóng bắt có 2 đến 3 con ốc lắc lư vậy","1"
"Tôi muốn hủy đơn hàng mua máy lạnh này.","1"
"Ốn","1"
"Máy chạy êm làm lạnh tốt","1"
"May chạy êm lạnh mau","1"
"ok","1"
"Là khác màu điều hòa. Làm ăn bất nháo. Mua 2 ngày mà chưa lắp đc điều hòa .","0"
"Đã mua và rất ok. Nhân viên bán hàng tư vấn cực kì rõ ràng tận tình . A kỉ thuật tận tâm và chuyên môn cao. Đợt sau mua tủ lạnh ủng hộ","1"
"Cục lạnh chạy rất êm","1"
"tầm tiền này ổn","1"
"chất lượng tạm ổn","1"
"đang xài bình thường","1"
"ok nha mọi người","1"
"tạm tạm thôi","1"
"ổn","1"
"ok lắm ạ","1"
"cho 5 điểm luôn","1"
"cục nóng ko đc êm","1"
"cũng đc","1"
"dùng ổn,ko vấn đề,dc bạn giới thiệu mua","1"
"sp tốt ok","1"
"nói chung dùng bình thường,phòng 8m2","1"
"dùng tốt,chuyển chế độ thì nghe hơi ù","1"
"hàng ok,giao hàng nhanh gọn lẹ","1"
"Có vẻ hơi hao điện","1"
"máy chạy tốt","1"
"xài thì ok,mau lạnh,chỉ có cái hao điện hơn cái hiệu cũ","1"
"trả góp xong mua cái giống vậy nữa","1"
"sp ổn,dùng tốt bình thường","1"
"cục nóng hơi kêu,còn lại ok","1"
"có giới thiệu cho ng thân bạn bè luôn rồi","1"
"sản phẩm ngon,đề ba hơi rung","1"
"xài tốt ok cũng được","1"
"dùng vẫn tốt","1"
"dùng tốt","1"
"xài tốt,xưa giờ xài pana,nay xài sharp xem sao","1"
"tạm,em vợ mua dmx 2 cái nữa","1"
"dùng bình thường,ko trục trặc","1"
"xài tốt,tiết kiệm điện","1"
"thấy bình thường,chưa có bị gì,cục nóng ồn","0"
"thấy chạy bình thường,tốt","1"
"xài mấy bữa thấy tốt,xong đi làm ko có nhà","1"
"thấy ok nha,cũng có nói người muốn mua","1"
"xài ok,mà cục nóng hơi kêu","1"
"dùng ổn,chưa thấy sự cố","1"
"Thấy xài cũng được","1"
"mã này mình xài nhiều,ok nha","1"
"sản phẩm này xài ổn","1"
"máy đang chạy tốt","1"
"đã giới thiệu người nhà","1"
"thấy xài cũng được","1"
"mua cho nhìu người trong nhà","1"
"dùng được","1"
"làm lạnh ổn,cục nóng hơi ồn","1"
"làm lạnh nhanh,mà điện thấy chắc cao hơn","1"
"dùng tạm ok,giá rẻ hơn nên vậy","0"
"có giới thiệu cho phòng kế bên luôn rồi","1"
"dùng tốt","1"
"Máy lạnh Sharp là ok rồi, mn yên tâm sử dụng, nhà tôi 4 phòng toàn xài loại này...","1"
"Máy sao kêu ù ù sao ngủ","0"
"Máy kêu rất ồn. Không biết có phải do bộ phận lắp đặt hay không. Mình mua được tầm hơn nửa tháng rồi mà lúc nào khởi động cũng rất ồn","0"
"Mới lắp sáng nay 3/3/2024 máy kêu ko ngủ được quá ồn . Khuyên mọi người anti dòng máy này mình sẽ đổi máy khác","0"
"","1"
"","1"
"","1"
"","1"
"","1"
"","1"
"","1"
"","1"
"","1"
"","1"
"","1"
"","1"
"","1"
"","1"
"","1"
"","1"
"","1"
"","0"
"","1"
"","1"
"","1"
"","1"
"","1"
"","1"
"","1"
"","1"
"","1"
"","1"
"","1"
"","1"
"","1"
"","1"
"","1"
"","1"
"","1"
"","1"
"","1"
"","1"
"","1"
"","1"
"","1"
"","1"
"","1"
"","1"
"","1"
"","1"
"","1"
"","1"
"","1"
"","1"
"","1"
