"data","label","num_stars"
"Rất tốt. Nhưng hơi thấp.","2","5"
"Quạt tiếng gió hơi to, nghe ù ù ùNói chung là tạm được","1","3"
"Hiện đã dùng được 4 tháng, thấy ổn, quạt rất mátlâu dài thì chưa biết tn","2","5"
"BH 12 thang sai mới 6th thì ko còn sư dụng dc nữa hàng vạy củng bán hàng ở điện máy xanh ko còn chất lượng như trước nữa rồi","0","1"
"Nhân viên hỗ trợ nhiệt tình. Giao hàng nhanh","2","5"
"Quạt lifan sử dụng tốt. Rất êm và nhẹ","2","5"
"Sản phẩm ok","2","5"
"Bị lỗi nhà sản xuất, quạt kêu. Hoàn trả ngay phí 20% - 150k","0","1"
"Gãy chân cắm rồi","1","3"
"Chất lượng tốt","2","5"
"Giá cao hơn ngoài","1","3"
"Bộ phận kéo cao cây quạt k chặt, sẽ bị tụt xuống vì k có nấc cố định","1","3"
"hiện tại quạt chạy êm","2","4"
"Quạt êm ái mát mẻ","2","4"
