"data","label"
"Vừa hết bảo hành 2 tháng thì bị hư màng. Tệ","0"
"Mua tháng 10.2022, tới tháng 03.2025 bị hỏng màn hình,","0"
"Mua tháng 11/ 2022 về dùng được mấy tháng hư màn hình liên hệ tổng đài cty xuống thay cho màn khác..dùng thêm được 2 năm là cháy luôn. Quá thất vọng cho cái ty vi hơn mười mấy triệu","0"
"sản phẩm đẹp, loa to, ánh sáng tốt","1"
"Mua tivi gần 15 triệu vì có remote nói tiện cho bame ở quê . Mà mới 4 tháng remote hư . Xong bảo hành , giờ hư nữa vào ktra thì nói remote lần trước bảo hành ko đúng mã trùng với tivi . Giờ hết bảo hành thì nói chi phí thay gần cả triệu. Đó là phần remote . Còn màn hình sọc vừa thay xong . Bỏ 10 mấy triệu ra trải nghiệm thế này đây . Chưa kể bảo hành đi làm mà người này gọi tổng đài gọi . Đúng áp lực . Biết vậy mua LG còn ngon hơn nhiều . Ai địh mua samsung thì né nha .","0"
"Mua hết bảo hành hư màn hình, giờ xem lịch sử mua hàng xoá luôn của khách hàng. Quá tệ","0"
"Mình mua tivi giá trị hơn 20 triệu sử dụng 27 tháng bảo hành 24 tháng, vừa hết bảo hành 5 tháng thì bị sọc màn hình, báo giá thay màn hình gần 6tr, tính ra cái tivi gần 30tr. 1 thương hiệu lớn mà sản xuất và bán sản phẩm quá kém, nhân viên kỹ thuật Samsung thì trả lời hàng điện tử hên xui. Quá thất vọng","0"
"Không ổn, lỗi màn hình.","0"
"Màn hình bị sọc báo cửa hàng cho nhân viên xuống xem. Xong hãng từ chối bảo hành do tem bị nhăn và thiết bị trong máy không khớp. Đmx đỗ lỗi cho khách hàng trong quá trình sử dụng. Hàng mua ở ql 50 chợ gạo tiền giang.","0"
"Sản phẩm tốt trong tầm giá.nên chọn mua..chất lượng hình ảnh tốt hơn TCL cùng loại.thiết kế đẹp hơn Sony x75l trở xuống..độ mịn hình ảnh tương đương nanocell của LG độ sâu và đen kém hơn ko đáng kể,khó nhận biết!!","1"
"Ok","1"
"Sao tivi mình không tìm kiếm được giọng nói vậy","1"
"Dùng tốt","1"
"Tv mua chưa tới 1 năm. Remove có vấn đề thì bên samsung báo k bảo hành được vì lý do không còn tem trên remove.Phải mua lại remove mới chịu phí 100%. Lúc mua bên đmx các bạn không tư vấn thêm về vấn đề bảo hành này. Cảm thấy không hài lòng","0"
"Tivi QLED 4K 55 inch Samsung QA55Q65A giờ đang rất ngon và sắc nét hơn tưởng tượng. Do điện thoại của mình nó mờ không được màu chuẩn nên nó vậy á chứ ở ngoài để chế độ hình ảnh chuẩn rồi mở video 4K HDR sắc nét lắm nha các bạn. Tivi này là top đầu tivi bán chạy nhất năm này. Tivi này chạy Tizen 6.0 nha. Các bạn nên mua nha","1"
"Anh nha","1"
"rât la tuyêt vơi mau yy","1"
"Dùng rất tốt","1"
"ok","1"
"Tuyệt vời","1"
