"data","label"
"Chưa được 1 tháng đã xảy ra lỗi kêu lục cục trong cục lạnh gọi bên cửa hàng thì cho người xuống cho có rồi về ko giải quyết","0"
"Cục nóng êm, làm lạnh nhanh. Chỉ có App Comfort Cloud không nhạy như quảng cáo","1"
"Nhân viên lắp đặt chỉ xả gió chứ không hút chân không điều hòa dù ĐMX có khuyến mãi này. Sau hơn 1 tháng sử dụng tôi thấy máy làm lạnh tốt còn cục nóng vẫn hơi ồn 1 chút","1"
"Máy lạnh hoạt động tốt, máy chạy êm, lạnh nhanh. Nhân viên tư vấn bán hàng nhiệt tình. Tuy nhiên, nhân viên lắ đặt tại nhà rất tệ, giao máy đến nhà khách lúc trời đang mưa tỏ thái độ khó chịu, chửi thề trong điện thoại khi gọi điện giao hàng cho khách. Mong ĐMX xem xét và chấn chỉnh lại đội ngũ nhân viên giao hàng. Chân thành cảm ơn","0"
"Nhân viên lắp đặt không hút chân không","0"
"Nhân viên lắp đặt thiếu trung thực cắt xén vật tư .xì hết gas máy cũ khi khi tháp xuống, khi không thu lại được máy cũ.lắp dàn lạnh bị kêu lọc cọc.làm việc kiểu gấp rút. Làm song không vệ sinh máy móc chỗ làm .","0"
"mua máy lạnh được miễn phí 2 lần vệ sinh, lần 1 điện hỏi có nhà không vô vệ sinh, lần 2 qua mười mấy ngày không thấy điện. làm ăn tệ quá","0"
"Mua máy lạnh được tặng 2 lần vệ sinh Free. Lần 1 mấy ông bên Vệ sinh ĐMX tự động gọi cho tôi hỏi có nhà không để bên em xuống vệ sinh lần 1 miễn phí. Đến nay tôi không thấy liên hệ lần 2, tôi đánh giá thì mấy ông gọi lại nói cái này KH phải tự liên hệ bên em mới làm ủa tự liên hệ nhưng lúc mua thì mấy ông chỉ nói tặng 2 lần chứ ko nói là anh phải liên hệ bên em mới tới làm, Tự liên hệ tại sao lần 1 mấy ông tự gọi cho KH để tới làm giờ mấy ông nói hết hạn 1 năm rồi ko hỗ trợ. Làm ăn rõ ràng là quá tệ. như vậy sao KH dám mua lần sau. Không ra dịch vụ free thì thôi không ai ép hay đòi hỏi mấy ông ra, mà đã ra dv free này cho KH thì phải có trách nhiệm với cái CTKM của mình.","0"
"Mình mua máy Panasonic 1.5hp ngày 15/5 Moden no CỨ/CSXU12ZKH8 với giá chưa có phát sinh thêm ống đồng là 17.390.000 VNĐ. Điện máy xanh đã lắp cho mình số đầu lạnh có Model no CS PU12AKH8. Điện máy xanh đã báo đổi lại cho mình hôm nay ngày 04/6 là trước 18h . Tôi đã nghỉ làm để chờ bên điện máy xanh tới bây giờ là 19.15 vẫn chưa thấy ai tới . Điện máy xanh quá coi thường thời gian của khách hàng. Nhân viên lắp máy trước khi lắp có nghiệp vụ cũng không kiểm tra lại Model với khách.","0"
"sản phẩm bị chảy nước gọi trả thấy ai nói gì trăm sóc khách hàng thì tệ","0"
"Máy lạnh xài ngon nhưng dịch vụ giao hàng và tổng đài quá chậm trễ và làm mình không hài lòng và vẫn chưa có cách giải quyết nào hài lòng","1"
"Nhân viên lắp máy lạnh thiếu trung thực.","0"
"Tốt nhưng chưa hài lòng về sự rõ ràng các vật tư lắp đặt. Không biết thừa vật tư nào, chưa hồi đáp thừa vật tư để chủ nhà biết cần nhận vật tư lại hay khấu trừ tiền","1"
"E mới mua máy ngày 18/4 hôm nay này 23/4 mới mua đc 6 ngày mà bị chảy nước sửa tới 2 lần ,nhân viên lắp đặt thì 1 người học việc ,1 người làm ẩu ,lắp sai chảy nước lan hết ổ điện ,nhân viên lắp đặt thái độ mất dậy ,nói ngang ,làm thì mạnh tay có phải máy họ đâu mà sót ,nói tóm lại cảm nhận rất bức xúc nhân viên tổng đài thì hẹn tới hẹn lui ,cực kỳ bức xúc ạ","0"
"Rất tốn điện","0"
"Sản Phẩm ok","1"
"Sản phẩm hiện tại thấy ổn ạ","1"
"may lanh ok","1"
