"data","label"
"Phần nhận dạng tiếng nói bằng tiếng việt của bixby chưa chuẩn lắm.","1"
"Quá tuyệt","1"
"Tư vấn hướng dẫn nhiệt tình","1"
"Tôi rất hài lòng","1"
"Chất lượng tốt, hình ảnh sắc nét màu sắc đẹp, kiểu dáng hiện đại nói chung là tốt.","1"
"Xem hình màu ko đẹp","0"
"Sp ok","1"
"Hài lòng về sp","1"
"Ok","1"
"Hình ảnh rất OK","1"
"Rất tiểc... Sau khi xem 30 phút, tôi phải trả lại. Vì hình ảnh... Đã phải chịu mất phí 20% = 2.940.000","0"
"Tivi của tôi không cập nhật được phần mềm. Xin được hỗ trợ","0"
"hài lòng","1"
"Tốt","1"
"Tốt","1"
"Mới dùng nên chưa trải nghiệm hết được các chức năng. Màn hình sắc nét, âm thanh hơi nhỏ.","1"
"","1"
"","1"
"","1"
"","1"
"","1"
"","1"
"","1"
"","1"
"","1"
"","0"
"","1"
"","1"
"","1"
