"data","label"
"Điều hoà ko mát báo ktra thì dmx ko đến có hãng đến cứ bảo ktra bình thường nhưng người dùng sử dụng thì kém mát. Nói chung mua sp của dmx đắt hơn chỗ khác nhưng vì có thương hiệu mà thấy cách xử lý của dmx chán quá nói chung sẽ ko mua gì của dmx nữa","0"
"Máy lạnh","1"
"Mới dùng thấy tạm ổn","0"
"Hiện đang dùng tốt, máy chạy với độ ồn thấp nên rất hài lòng.","1"
"Ok tốt .","1"
"Sản phẩm tốt","1"
"Tốn tiền nhờ xuống tư vấn, cuối cùng máy ko lạnh. Không rõ nguyên nhân. Đề xuất sửa bằng cách hạ máy thấp xuống thì kêu tính phí. Quá thất vọng và vô lý","0"
"Dùng ổn","1"
"Rất tốt","1"
"Mua 2 máy, 1 máy chạy ngon, một máy xì ga, gọi BH từ ngày 12/6 , ngày 14/6 1 người xuống bảo cái này em chưa xử lý được, vài ngày nữa có người hãng xuống xử lý cho anh, đợi từ 14/6 đến giờ chưa ai xuống, máy xì ga ai dám dùng, bảo đổi thì không đổi luôn, bên bảo hành làm việc chán thật, gần chục ngày không xong, nếu xì ga mà liên quan lắp đặt, tại sao ngay khi tiếp nhận không xử lý cho tôi Để tôi dùng máy xì ga đến tận 10 ngày, bật chắc nổ nhà. Tôi cần CSKH bên bạn liên hệ xử lý cái máy này, đổi càng nhanh càng tốt, trời nóng há mồm ai mà chịu được. Chắc mấy ông lắp đặt không muốn đổi muốn đổi luôn vì phải khoan miễn phí tặng à","1"
"Gắn lên xài hết 1 tháng thấy ok vì tiền điện tăng khoảng 1tr1, ngày mở trung bình 14 tiếng.","1"
"Ok","1"
"Đến thời điểm này thì vẫn chưa thấy trục trặc gì","1"
"A","1"
"Oke","1"
"KHÔNG BAO GIỜ MUA HÀNG TẠI ĐIỆN MÁY XANH NỮATôi đặt một máy lạnh, yêu cầu giao hàng và lắp đặt trước 16h00 ngày 13/5 Đến ngày 13/5 ngày hẹn, tôi đợi từ 14h00 đến 17h30 KHÔNG thấy ai đến giờ hẹn là 14h16h. Gọi điện tổng đài 5 lần 7 lượt mới có 1 anh thợ 097...810 gọi lại mình lúc 19h30 tối báo 50 phút nữa chạy qua, NẾU NHƯ LẮP NHANH sẽ xong lúc 0h00. Tôi không thể nào ngồi đợi đến khuya, tôi và anh thợ chốt lại ngày sáng sớm ngày 15/5 lúc 6h sáng vì không còn phương án nào khác. Anh thợ còn lưu ý rằng anh phải đến sớm vì sợ lắp không kịp xong trước 12h trưa, 6h00 sáng là do anh thợ tự đề xuất. Ok mất gần 6 TIẾNG đợi để hẹn được một ngày khác, bấm bụng chấp nhận lần 1. Ngày 14/5, có nhân viên tổng đài gọi để hỏi tình hình, tôi phản ánh thì có hứa với tôi là sẽ nhắc nhở các anh thợ đến đúng giờ để anh không phiền lòng thêm đó là nguyên văn câu cam kết từ tổng đài viên. Ngày 15/5, ngày lắp chính thức sau khi dời.8h36 2 anh thợ mới đến, tôi ngồi đợi 2 tiếng rưỡi từ lúc hẹn và có gọi 2 cuộc để nhắc, thợ báo đường đông kẹt xe Tuy nhiên, 2 anh thợ đến mà máy lạnh CHƯA đến, 2 anh này không mang đồng phục. Tôi có thể đợi một cách vui vẻ nếu người trễ chủ động gọi cho tôi thông báo thay vì để tôi gọi hỏi đến 2 lần. Sau tôi hỏi thì mới biết không làm cho ĐMX. Ủa vậy ai sẽ đảm bảo được chất lượng dịch vụ tôi nhận được là như Điện Máy Xanh cam kết 9h15 một anh khác gọi tôi, cũng không biết đến từ đơn vị nào, báo ra nhận máy mà đứng ở chân cầu. Trong khi tôi có địa chỉ rõ ràng sao không đưa đến tận nơi. 9h30 phút, anh thợ đến trước mới nóng ruột mới gọi cho bên giao máy sao chưa tới và tính đi về không làm. 10h máy mới được giao đến, trong khi dám hẹn tôi lúc 6h00 sáng và yêu cầu tôi đến trước mở cửa để không bị trễ. TÔI ĐÃ MẤT 4 TIẾNG ngồi đợi ở lần hẹn thứ 2. Đến chiều 16h mới hoàn tất thì máy báo lỗi không hoạt động. Anh thợ gọi báo đòi thanh toán 30% còn lại trước cho thợ trong khi đợi bên bảo hành xuống thay. Tôi không đồng ý, chưa chạy thì không lý do gì tôi thanh toán. Sau đó, một bạn quản lý siêu thị mới gọi và giải quyết cho tôi ổn thỏa và kết thúc lắp đặt vào 12h ngày 16/5, tôi đánh giá cao nỗ nực giải quyết của riêng bạn quản lý này. Tuy nhiên, đó là điểm sáng duy nhất sau những TRẢI NGHIỆM NHỚ ĐỜI mà tôi đã trải qua. Tôi đã phải điều phối lịch cho nhân viên nghỉ vào các khung giờ thi công vì ảnh hưởng tiếng ồn và vệ sinh. Nhưng Điện Máy Xanh làm vậy chẳng khác nào gây ra thiệt hại cho khách hàng. Thiệt hại kinh tế là KHÔNG ĐO ĐẾM được trong 3 ngày trễ và chờ đợi mà tôi phải trải qua. TẠM BIỆT","0"
"Tốt","1"
"Tại sao chức năng swing cánh quạt qua lại không thấy hoạt động nhỉ Còn lại mọi thứ thì ok .","1"
"Tốt cũng ổn định","1"
"Vừa mới lắp xong sử dụng máy được khoảng 4 tiếng, cục nóng kêu è è rất to","0"
"Máy phát tiếng hơi lớn","1"
"Vừa mua hqua 14.490.000 mãi 21h mới lắp xong mà lỗi hnay mới sửa đc thì giá lại giảm, cảm giác chán hẳn","0"
"Máy êm, mát lạnh sâu","1"
"Mới mua 13.990Giờ thấy giảm còn 12 mấyRầu 1 khúc","0"
"Gió mạnh nhưng mình không thấy lạnh k biết bên kĩ thuật ĐMX có hổ trợ qua đo độ lạnh không","0"
"Hỏng mạch...mất hơn 4 triệu","0"
"Ok","1"
"Mở 28 lạnh tê tái","1"
"Trước mắt thì thấy lạnh với gió mạnh ok, sài lâu mới biết được. Nên tạm thời cứ đánh giá 5 sao đã","1"
"Máy sử dụng rất ok. Êm khi setup và sử dụng các chế độ của máy","1"
"Rất tốt Cảm ơn nhiều","1"
"","1"
"","1"
"","1"
"","0"
"","1"
"","1"
"","1"
"","1"
"","1"
"","1"
"","1"
"","1"
"","1"
