"data","label"
"tivi không có vấn đề gì phát sinh, tốt","1"
"tốt, tivi xem được, xem youtube lâu lâu bị chậm","1"
"tivi dùng rất tốt, điều khiển phản hồi nhanh","1"
"tivi hoạt động tốt, hình ảnh âm thanh xài ok","1"
"Dùng tốt, không vấn đề gì, chưa có gì phát sinh","1"
"mình mới mua về cũng ít sử dụng nhưng tạm thời thấy ổn, chưa có gì phát sinh","1"
"tivi xem được, màu đẹp nhưng loa nghe không hay bằng Sony","1"
"tivi xem tạm được, bình thường","1"
"tivi màu đẹp, âm thanh nghe hay","1"
"tivi đẹp, màu sắc xem nét, rõ, âm thanh nghe hay nhưng mà giá hơi cao","1"
"tivi xem cũng được, màu bình thường, chưa có gì phát sinh","1"
"Tivi xem hay, nghe rõ, rất phù hợp với tiêu chuẩn nhà mình","1"
"tivi mình cũng ít xem nhưng mà tạm thời thấy tốt, xem được","1"
"Dùng tốt, không vấn đề gì","1"
"tivi xem cũng được, màu đẹp, không có vấn đề gì","1"
"tivi màu đẹp, âm thanh nghe rõ","1"
"mình thấy tivi này có thông số kỹ thuật màn hình đẹp nên mình mua, sau khi dùng thấy đẹp, tốt","1"
"tivi dùng rất tốt, rất là ok, màu đẹp, tốt","1"
"màu sắc thì đẹp sắc nét, âm thanh nghe bình thường","1"
"âm thanh nghe rõ, hay, dùng rất tốt","1"
"tivi hoạt động tốt, hình ảnh âm thanh xài ok","1"
"tivi màu đẹp, âm thanh nghe rõ","1"
"âm thanh nghe rõ hay, màu đẹp, ok","1"
"tii màu đẹp, âm thanh nghe hay nhưng mà có một vài kênh trên fpt bị han chế","1"
"màu đẹp, âm thanh nghe hay","1"
"sản phẩm tivi mình xài thấy ok lắm, dùng tốt, nên mua","1"
"hình ảnh mẫu mã ok, hiện tại mình còn đang theo dõi thêm nên tạm thời cho 4 sao","1"
"sản phẩm tốt, màn hình đẹp","1"
"LG xài rất thích, tivi đẹp, dùng ok","1"
"màu rất đẹp, âm thanh rất tốt, nghe rõ","1"
"tốt, màu tivi đẹp, không có vấn đề gì hết","1"
"tivi xem rõ, bình thường, tốt, sắc nét","1"
"Chất lượng hình ảnh và âm thanh tốt.","1"
"tivi mình vẫn đang dùng ổn, tốt, hài lòng","1"
"tivi xài tốt, màu đẹp. ok nhé","1"
"màu đẹp, sắc nét, tốt","1"
"tầm phân khúc này với giá tiền này thì tivi màu sắc đẹp, nét, âm thanh tốt","1"
"màu rất đẹp, âm thanh rất tốt, nghe rõ","1"
"tivi sắc nét, âm thanh nghe rõ, sống động","1"
"tivi xài rất tốt","1"
"Bỏ tiền ra mua đáng đồng tiền","1"
"Tivi màu đẹp, âm thanh hay","1"
"bình thường, không có sự cố gì phát sinh, tốt","1"
"Tạm thời dùng ổn định","0"
"tivi mình vẫn dùng bình thường, màu sắc rõ rét, rất đẹp","1"
"LG này xài rất ok, mình mua nhiều đồ của hãng rồi, tivi xài ok","1"
"thời gian đầu sử dụng thấy hình ảnh đẹp, âm thanh hay, ok hết","1"
"hàng chuẩn, sắc nét, rất tốt","1"
"Chất lượng hình ảnh và âm thanh tốt.","1"
"mình mua cho con gái xem hoạt hình là chính, hình ảnh, âm thanh ổn, ok","1"
"tivi mẫu mã đẹp, màu sắc nét, tuyệt vời","1"
"tivi đẹp, màu sắc đẹp, ok","1"
"Chất lượng hình ảnh và âm thanh tốt.","1"
