"data","label","num_stars"
"Không phải chê sản phẩm mà chê dịch vụ nhé. Tệ thực sự. Đặt từ tối hôm trước, đăng ký khung giờ giao hàng là 12G đến 14G. Xong cái tự thông báo là không liên lạc được với mình xong dời lịch giao hàng tới trễ nhất 22G tối nữa chứ. Ủa chứ tôi rảnh lắm hay gì mà tôi ngồi đợi mấy anh chị giao hàng, đồ ăn thì để lâu giờ hư hết rồi. Dich Vụ quá tệ hại. Coi như lỡ lần này, lần sau xin né","0","1"
"Mới dùng được 6 tháng đã hỏng.không làm mát được","0","2"
"Tôi mua tủ lạnh Sharp vào ngày 5/7. Trong tuần đầu sử dụng, máy hoạt động bình thường. Tuy nhiên, sang tuần thứ hai, tủ bắt đầu phát ra các âm thanh khó chịu như tiếng nước chảy và tiếng xả đá. Âm thanh rõ ràng, kéo dài, đặc biệt gây phiền toái vào ban đêm.Tôi đã liên hệ với trung tâm hỗ trợ của Điện Máy Xanh và được kỹ thuật viên đến kiểm tra 3 lần. Tuy nhiên, câu trả lời tôi nhận được chỉ là Đây là hiện tượng bình thường, được ghi rõ trong hướng dẫn sử dụng. Là người đã từng dùng qua nhiều dòng tủ lạnh, tôi khẳng định chưa từng gặp tình trạng tiếng ồn và liên tục như sản phẩm này.Với trải nghiệm lần này, tôi sẽ không chọn mua sản phẩm của Sharp trong tương lai.","0","2"
"Tủ lạnh dỏm, ồn như máy cày, đừng nên mua","0","2"
"Máy chạy rất ồn , khó chịu vô cùng gọi bảo hành thì nói máy chạy như thế tôi đã nhiều loại tu lanh có thấy hiện tượng này đâu, chán thát vọng vô cùng","0","1"
"Máy ồn rất khó chịu. Đã khắc phục hai lần nhưng vẫn không được. Giờ không biết phải làm sao. Quá thất vọng rồi","1","3"
"Máy chạy bị ồn lớn tiếng nên nghe rất khó chịu, còn lại làm lạnh ổn, tiết kiệm điện","1","3"
"Sản phẩm không ổn, thực phẩm để không đông, đá không đông để từ 6h sáng đến 18h.","0","1"
"Nhỏ gọn, làm lạnh nhanh","2","4"
"Hàng dùng ok","2","5"
"Máy chạy tiếng kêu to quá","1","3"
"Tiếng kêu hơi khó chịu","1","3"
"Dùng tốt. Tiết kiệm điện","2","4"
"Nhỏ gọn dùng cũng ổn. Mình mua về cho xưởng thấy cũng hợp lý.","2","4"
"Mới sử dụng chưa đầy 1 tháng đầu mà khi máy chạy như bắn súng máy. Khoảng vài tuần đầu thì không nhưng bây giờ tạch tạch rất ồnLàm lạnh, mát đều ok.6,5/10","1","3"
