"data","label"
"Ok.","1"
"Vừa đầu tháng mua 15m cuối tháng giảm hơn 1m, nể luôn, còn máy dùng khá ổn","1"
"sao máy để trên web win 11 mà e mua về xem thi chỉ 10 ạ","0"
"Máy tốt dùng rất mượt","1"
"Tạm thời 2 tuần đầu xài ổn ak.","1"
"Mình mua máy này cài ubuntu để làm việc nhưng cài xong không có wifi, audio. Đem ra cửa hàng của tgdd cũng không cài được. Thất vọng thực sự.","0"
"vấn đề về loa, khi sử dụng đa nền tảng. Khi sử dụng micro trên MS Team hoặc discord , thì các âm thanh của ứng dụng như Youtube, Facebook,.. trở nên vỡ, bị ồ, tiếng bị lấn rất khó chịu.","1"
"Tốt","1"
"Cho em hỏi. Về phần work các thanh tiêu đề chữ tiếng việt .em muốn đổi sang tiếng anh thì làm sao ạ anh chị hướng dẫn giúp em với","1"
"Excel và word ko dùng được ạ . Có cách nào ko ạ","1"
"Máy đẹp dùng ổn. Mới mua vài ngày chưa gặp vấn đề gì.","1"
"Tốt lắm ạ","1"
"Sản phẩm bước đầu dùng rất tốt màn hình to rộng cấu hình cao","1"
"tốt","1"
"Rất tốt","1"
"Perfect Good","1"
"","1"
"","1"
"","0"
"","1"
