"data","label","num_stars"
"Quạt phù hợp đặt để trên giường. Bàn làm việc.. quạt gió không quạt xa được. Mua giá 200 lên cũng ổn hơn giá mới 500 . Thiết kế kiểu mới thời trang nhỏ nhẹ xinh.","2","4"
"Quạt yếu. Dùng cho 1 người thì vừa. Khung quạt yếu lỏng lẻo. Bật quạt xong quạt rung chạy đi chỗ khác phải đè quạt lại. Ko nên mua","0","2"
"Quạt quá tệ, không đúng với phần chi tiết sản phẩm. Quạt này giá trị chỉ 150.000 là cùng.Cảm nhận không đúng công suất công bố, kêu như máy bayĐổi trả bên Đmx thu phí 20%Mọi người cẩn trọng khi mua","0","1"
"Mình cảm thấy quạt vừa ồn vừa không mát hơi tiếc tiền","0","1"
"Quạt dùng tốt, chạy số to hơi ồn một chút nhưng chấp nhận được. Còn về độ bền thì phải để tgian chứng minh","2","5"
"Nhược điểm là k điều chỉnh cao thấp được như các quạt thông thường","1","3"
"Quạt chạy như phản lực, độ toả mát k như quạt ngủ","0","2"
"Nhân viên tư vấn nhiệt tình nhẹ nhàng","2","5"
"Chất lượng nhựa cực kém, ọp ẹp, đầy ba via, mỏng manh. Cảm giác cái quạt này chỉ xứng đáng 150k. Quạt chạy có tiếng ồn khá lớn.","0","2"
"Quạt dùng mát nha.Êm lắm ạ","2","5"
"Chất lượng có vẻ ổn. Vì mua gấp không tham khảo giá. Mua tại điện máy Xanh Xuân Khanh, Sơn tây Hà Nội chiều nay. Giá vẫn 556k.","2","4"
"Rất tốt tam thời thấy ổn","2","5"
"Thích hợp phòng nhỏ","1","3"
"Quạt nhiều gió, chạy êm. Rất tốt","2","5"
"Tôi cảm thấy quạt này dùng rất tốt","2","5"
"Quạt mát nhưng hơi ồn","1","3"
"Quạt mát nhưng hơi kêu","1","3"
"Quạt chạy kêu. Và Cánh quạt cố định ko hất lên xuống được. Và trọng lượng nhẹ nên dễ đôt","1","3"
"Nút On Off khi bật tắt đôi lúc nghe rè rè bên trong.. phải bật tới bật lui vài lần nó mới hết.. nghe như bị rò điện bên trong vậy. Quạt hộp giá 4trăm50 nhưng chất lượng quá tệ","0","1"
"Sản phẩm dùng Ok","2","5"
"Sản phẩm rất tuyệt vời","2","5"
"Tôi chưa sử dụng nhiều nên không biết thế nào nhưng tiếc rằng đó ko phải là quạt tích điện như tôi tưởng","1","3"
"Quạt khoẻ, thiết kế nhỏ gọn, hơi ồn","2","5"
"Quạt dùng tốt, mát","2","5"
"Quạt mua hơn 500k mà ọp ẹp, dễ vỡ.","0","2"
"Xài nhẹ, êm mà mát","2","5"
"Quạt có nan dầy quá gây cản chở lượng gió thổi ,quạt k hạ thấp hoặc nhâng cao cánh dk,thích hợp cho trẻ con sơ sinh thổi gió phảng phất vào mùa thu, mùa đông","1","3"
"Quạt mát chỉ tội kêu hơi to","1","3"
"Quạt sài ok mát , mẫu mã đẹp, gọn","2","4"
"Quạt tốt, nhân viên giao hàng nhiệt tình","2","5"
"Hơi ồn so với quạt hộp senko, hoặc những mẫu quạt hộp truyền thống. Nhưng bù lại nó đẹp. Mỏng gọn. Thích hộp quạt máy lạnh vì lượng gió vừa đủ. Ko sài máy lạnh thì máy bạn nên chọn quạt đứng gió ok hơn nhé.","2","4"
"Quạt hơi yếu, không điều chỉnh được hướng gió, mình muốn đổi sang quạt khác được ko shop","0","2"
"Sp tốt phù hợp với gđ có trẻ nhỏ","2","5"
"Sản phẩm tốt","2","5"
"Quạt kêu hơi to","2","4"
"Quạt mát, nhỏ gọn.","2","4"
"Chất lượng tốt","2","4"
"Ồn dã man luôn anh em ạ","0","2"
"Sản phẩm dùng tốt, đúng như quảng cáo, đóng gói đúng quy cách. Nên mua để có một mùa hè mát lạnh.","2","5"
"Quạt nhỏ hơn so với tưởng tượng. Gió mát. Hơi ồn, tản mát không xa lắm. Khi nâng quạt lên bê đi hoặc hơi nghiêng quạt không tự động tắt. Chi khi quạt đổ hẳn xuống mặt sàn thì mới tự động tắt. Nói tóm lại dùng bình thường, thua hàng Vinawind về độ êm và tản gió đi xa.","1","3"
"quạt quay kêu ồn, chưa mát lắm. Đáng giá sp 7,5 điểm /10","1","3"
"Sản phẩm tốt vừa ý cảm ơn điện máy xanh","2","4"
"Tạm ổn trong tầm giá","1","3"
"Mua về 1 ngày bị bể chân quạt rồi. Quạt ồn. Gió yếu.","0","1"
"Quạt kêu quá . Mua về xài ko được . Muốn được đổi sản phẩm cùng loại hoặc bù tiền lấy sản phẩm khác","0","1"
"Sản phẩm đẹp, gọn nhẹ, động cơ mạnh","2","4"
"Sp tốt quạt chạy rất mát","2","5"
"Mua cai thứ 1 lỗi đổi cai thứ 2 vẫn bị lỗi. Nên đổi qua sản phẩm khác. Nói chung là kg nên mua","0","2"
"Bình thường","1","3"
"Quạt không mát trực diện coi như bỏ đi","0","1"
"Vừa mua xong, động cơ thì êm, nhưng gió rất ồn. Gió to không phù hợp với trẻ em","0","2"
"Quạt mạnh khá ồn. K như mong đợi.","1","3"
"Quạt kêu quá to, không biết có đổi sang loại khác được không","0","2"
"Tiếng gió to","1","3"
"Nút bật thường xuyên bị tuột ra","1","3"
"Sản phẩm phù hợp với trẻ nhỏ lượng gió vừa phải, mẫu mã đẹp.","1","3"
"Quạt kêu to như máy bay phản lực. Rất không nên mua. Mất 20% giá trị để đổi sang loại khác🙄.","0","1"
"Kiểu dáng gọn đẹp, màu sắc hoa hợp nội thất, gió mát đều ""từ đầu đến chân"" , không cảm thấy bị ngộp nếu ngủ quên, định giờ dễ dàng. Các nút xoay, nút bật rất chắc chắn. Đã mua 2 cái, dự tính cần thêm 3 cái nữa.","2","5"
