"data","label"
"Mình muốn gửi máy để vệ sinh và tra lại keo thì bên mình có hỗ trợ không hay phải tự mang lên hãng ạ","1"
"Máy hay lag dù chỉ sử dụng office là chủ yếu. Loa nhỏ. còn lại ok, k có gì đáng nói. Vỏ dễ bám bẩn.","1"
"Em xem mô tả và nghe cả nv tư vấn là chạy photoshop được mà về dùng pts cứ bị đứng, xong 1 hồi out luôn app dù em thường xuyên dọn rác và còn tắt các cửa số k liên quan khác rồi mà vẫn bị. Buồn thực sự","0"
"Máy dùng khá là ok, màn hình đẹp.Chỉ tệ cái là chỉ cài được win 11 nên nhiều lỗi vặt từ hệ điều hành.Win 10 hết cho cài rồi.","1"
"Đã mua em này, đổi từ macbook m1 qua, sài thấy màn hình đẹp nét, cấu hình mạnh .","1"
"nice","1"
"Mình có thể dễ dàng mang theo máy đi học, đi làm hay đi cà phê mà không cảm thấy nặng nề. Máy cũng được trang bị nhiều cổng kết nối đa dạng, giúp mình kết nối với các thiết bị ngoại vi khác một cách dễ dàng. Màu sắc hiển thị rực rỡ, sống động, độ đen sâu và chi tiết hiển thị sắc nét. Nhờ vậy, mình có thể tận hưởng những bộ phim bom tấn hay những tựa game yêu thích một cách trọn vẹn nhất. Phục vụ của nv bán hàng cunxg khá nhiệt tình nha.","1"
"Máy tốt trong tầm giá","1"
"Máy khởi động nhanh, màng hình đẹp, chạy không thấy bị nóng","1"
"Wifi kết nối chậmLoa nhỏK có tổ hợp đèn bàn phím bất tiện cho người dùngkhông bật được đèn bàn phím","0"
"Tốt","1"
"sao mình không thể kết nối wifi được vậy ạ","1"
"Mơi thi thây ổn..tg nua se danh gia them ạ","1"
"máy xài rất tốt","1"
"Máy đang bị lỗi loa bảo hành lâu","0"
"loa nhỏ chạy chậm lâu lâu k nhạy một trải nghiệm tệ đáng nhớ","0"
"","1"
"","1"
"","1"
"","1"
"","1"
"","1"
