"data","label"
"Màn hình tốt. Âm thanh nhỏ và chất lượng không tốt. Việc chuyển đổi kênh tivi và các ứng dụng thỉnh thoảng còn chậm và bị lỗi","0"
"Đây là sản phẩm đầu tiên mình mua mà tệ đến nổi lỗi liên tục bị lỗi âm thanh mà không tìm ra nguyên nhân, trong vòng 6 tháng liên tục liên hệ điện máy xanh để xứ lí lỗi, mà cả điện máy xanh lẫn nhân viên của samsung đều không thể giải quyết, vô cùng hối hận khi mua loại hàng này, hy vọng mọi người đừng ai bị giống mình.","0"
"Sau khi gõ 1 phần nhận xét rõ dài thì xảy ra lỗi không gửi được đánh giá, giờ tôi phải gõ lại.Tôi mua sản phẩm trưng bày nên về độ bền thì cũng chỉ dám nói là hên xui. Tôi hài lòng về mức giá và chất lượng hiện tại. Bạn giao hàng thân thiện, đúng thời gian, lắp đặt cẩn thận và hướng dẫn chi tiết. Chân đế bị thiếu 2 con ốc và không có pin đi kèm điều khiển. Gia đình tôi dùng VTVCab analog nên hình ảnh không được nét, TV có quét được tầm 67 kênh kỹ thuật số DTV HD của VTV, còn lại thì có ghi nhận kênh nhưng chỉ hiện scrambled signal. Hình ảnh kèm theo bài nhận xét là kênh VTV1 HD và VTV1 Analog. Nói chung để xem TH cáp đẹp thì tôi sẽ cần lắp đầu thu kỹ thuật số. Bạn lắp đặt hướng dẫn tôi đăng ký ION và VTVGo để xem 1 số kênh chính với chất lượng HD. Tôi rất cảm ơn bạn về điều đó.Cách đây tầm 1 tuần, khi tôi bật TV lên thì TV bị lỗi âm thanh. Dù tôi có giảm âm lượng xuống mức 1 thì tiếng vẫn to và bị vang âm âm. Sau khi tôi tháo phích cắm tầm 30s1 phút rồi cắm lại thì TV hoạt động trở lại bình thường. Mong rằng lỗi này không xảy ra nữa, và TV sẽ bền và ổn định lâu dài.Sản phẩm được bảo hành Sam Sung 1 năm, chủ yếu với các lỗi kĩ thuật do nhà sản xuất. Sản phẩm trưng bày nên chỉ có 1 tháng bảo hành theo chính sách của ĐMX, sau đó sẽ chủ yếu là bảo hành qua Sam Sung.Tôi mới dùng được khoảng 2 tuần, chất lượng hiện tại thì ổn. Tôi dùng Sam Sung quen nên sau khi xem xét các loại TV khác nhau thì vẫn chọn mua Sam Sung.","0"
"Tv dùng rất tốt","1"
"Mình mới dùng mà ko biết sao ko nghe dk tiếng nữa mặc dù ko có chạm gì vào tivi hay tắt tiếng, cáp cắm vào coi tivi rất tệ. Thua ti vi asanzo trước đây Mình dùng","0"
"Lâu Lâu nó bị đứng hình phải tắt mở lại mới được","1"
"Màu sắc rõ nét. Ok","1"
"Phục vụ tốt, nói chung là tốt","1"
"Sản phẩm dùng rất ok.","1"
"Tivi samsung rất tốt hình ảnh đẹp tôi rất thích","1"
"Ok","1"
"Nhờ nhân viên hỗ trợ hẹn 5 ngày liên hệ đến nay là ngày thứ 6 vẫn chưa thấy gì. Điện thì thái độ nhân viên cợt nhã đang cười giỡn với người khác không nghe rõ yêu cầu của khách hàng. Nói 120p sau có người liên hệ hỗ trợ cũng không có. Lần đầu tiên có trải nghiệm xấu như vậy về ĐMX","0"
"Tot","1"
"Tivi mình mua bị lỗi tiếng một hôm giờ trở lại bình thường Nhưng tôi biết nó đã có vấn đề","0"
"Được","1"
"OK","1"
"Tốt","1"
"Ti vi sài tốt nhé","1"
"Kết nối với chảo bấm tới kênh 17 đứng hình hk bấm lên xuống được","0"
"Mua thì suy nghĩ lại nha mọi người em mua xem chưa được 1 tiếng nó tắt nguồn ko lên nguồn luôn nchung mang tiếng được chữ Samsung thôi chứ còn lại thì lắm","0"
"Mình mới mua tivi nhưng màu không sáng,không rõ nét.Mong phản hồi","0"
"Tivi màn hình rõ nét, rất tốt","1"
"Mới mua 24.9.2023 âm thanh tốt. Màn hình sáng rõ.","1"
"Ok","1"
"Ok mau dep","1"
"Nhân viên rất nhiệt tình","1"
"Hàng tốt ạ. Nhân viên phục vụ tận tình. Cảm ơn","1"
"Ok","1"
"Tivi ok","1"
"Tivi mượt, màn hình ổn","1"
"Sản phẩm tốt. Dịch vụ chu đáo. Chúc Điện máy xanh làm ăn phát tài.","1"
"ổn","1"
"ok","1"
"Tivi màn hình ổn đẹp, khá mượt","1"
"","1"
"","1"
"","1"
"","1"
"","1"
"","1"
"","1"
"","1"
"","0"
"","1"
"","0"
"","1"
"","1"
"","1"
"","1"
"","1"
"","1"
