"data","label"
"dùng máy lâu có trạng thái lag, nhanh hết pin","0"
"máy xài ok nhưng không biết máy có thể nâng cấp ram được không","1"
"Cho hỏi thời lượng pin sử dụng thực tế là bao lâu vậy Mình mới mua sài tầm 3 tiếng còn 15%.","0"
"Cực kì nhanh hết pin . Sài học onl 100% pin . Học đc 1 tiếng 10p . Còn 25% . Tệ","0"
"lap dùng ok nhưng màn hình nhiều lúc bị đơ lắm có cách nào khắc phục đc kh ạ","1"
"Màn hình đẹp và nét, mượt, Máy khởi động nhanh, lo hơi nhỏ, touchpad rộng dễ dàng thao tác, Cấu hình ổn trong tầm giá khởi động nhanh, khá nhẹ và mỏng dễ dàng mang đi.Bên cạnh đó có đăng nhập bằng vân tay đôi khi lỗi không sử dụng được phải khởi động lại mới có thể sử dụng","0"
"Máy mình xài được 4 ngày, đang sử dụng máy nóng lên mặc dù mình không mở nhiều tác vụ. App mình tải về đo được hơn 70 độ. Cho mình hỏi có cần ra tiệm kiểm tra lại không","1"
"Máy mik nâng ssd đc ko ad","0"
"quá ok","1"
"Màn hình rất đẹp và nét ,120hz rất mượt, máy khởi động nhanh, lo hơi nhỏ, touchpad rộng dùng rất ưng thao tác dễ dàng, cấu hình ổn khởi động nhanh, khá nhẹ và mỏng dễ dàng mang đi","1"
"Dùng tương đối ổn","1"
"","1"
