"data","label","num_stars"
"Quạt chạy êm, mà sạc thấy đầy 100%, xong sử dụng vừa bật lên là hạ xuống 75% liền, k hiểu sạc bao lâu để được sài 100%","1","3"
"Tôi mua quạt này dùng rất bền và tốt. K may tôi làm đổ gãy mất nẫy nhựa nối và nhựa chỗ nẫy xoay. Tôi có thể gửi cửa hàng để cửa hàng gửi hãng sửa được không. Sp của tôi đã hết bảo hành rồi","2","5"
"Quạt mới mua khoảng 1 tháng , k sài , sạt đầy , lúc cần đem ra hư luôn , vãi chưởng ,Đề nghị liên hệ lại để bảo hành gấp","0","2"
"mình mua cái quạt này giờ pin kém muốn mua thì mua ở đâu shop","2","4"
"Chia sẻ chân thành cho những ai có ý định mua. Quạt tích điện thì chủ yếu dùng khi mất điện. Dùng đúng đc 2 lần. Sang lần thứ 3 cắm trực tiếp khi quay. Còn sạc pin ko vô điện. Mua 1tr3 dùng đúng đc 2 lần. Mang ra ĐMX thì nói hết bảo hành, thay gì trả tiền nấy. Mọi ng ai định mua thì cân nhắc nhé.","0","2"
"Đã mua và sử dụng lần đầu sạc được tầm 3 tiếng thấy pin báo dừng 100% rút ra cắm lại lại chạy được tầm mấy phút thì ngừng chạy. Chuyển sang chế độ ĐC thì báo được 75% cả kể sạc cả ngày vẫn k đầy 100% , cũng k hiểu là sạc đến khi nào thì đầy vì bóng báo chạy được lúc thì lại báo 100%, không biết có chạy hay k hay cứ đứng im vậy nữa, dùng thì tạm ổn k mát lắm nhanh xuống pin","1","3"
"Tốt. Pin trâu","2","4"
"OK sản phẩm rất tốt","2","5"
"Quạt sạc mãi cũng không biết đã đầy chưa chế độ acquy không dùng được mức to nhất đèn báo pin líc nào cũng nháy","0","1"
"Tạm thời đến giờ là tốt","2","4"
"Hàng dùng tốt","2","5"
"Dùng rất tốt. Pin dùng được lâu mọi người nên mua","2","5"
"Chỉ hưu ích khi mất điện. Khi có điện chạy ít mát.","2","4"
"Hàng dùng OK nhé","2","4"
"Quạt sài êm. Tiện lợi","2","5"
"Quạt thì nhanh hư, giá cũg đâu phải rẻ, pin xac k vo,đem đi bảo hành về lại như chưa bảo hành, gửi đi bảo hành lần 2 thì đúng nửa tháng gọi hỏi sữa chưa thì tổng đài bảo phải chờ thêm nửa tháng nữa. Quá hối hận khi mua, lúc đầu ngu k đọc đánh giá của mn. Giờ mới đọc thì quá muộn màng. Quá tệ. Mua ở ngoài giá rẻ hơn.","0","1"
"Quạt xài rất tốt ạ","2","5"
"Quạt xài ổn, nhưng cổ quạt bẻ xuống nấc cuối không được","2","4"
"Quat manh, rât tôt.","2","5"
"xài 12tieng ma chỉ mất 50%pin thôi quá ok","2","5"
"Lần đầu xạc đủ thì dùng được hơn 15 tiếng. Lần 2 xạc đủ thì mới dùng được 1 tiếng đã hết 25% pin và tốc độ quạt có vẻ nhẹ hơn lần đầu sử dụng.Cánh quạt dễ gãy, đang bật mà m xách quạt lên để di chuyển vị trí khác cái cánh cọ vô lồng quạt vậy là gãy tan.","1","3"
"Pin sài lâu","2","4"
"Quạt xài cũng ok. Nhưng nó hay bị ngóc cái đầu lên cao","2","4"
"Mới sử dụng thấy được","2","4"
"Quạt chạy êm ,pin dùng được lâu .sp đáng mua mọi người nhé","2","5"
"Không thể tin được pin có thể tích điện lâu đến như vậy bật quạt chế độ cao nhất 9 tiếng mà vẫn còn 75% pin, pin bền hay không phải cần thời gian sử dụng sau này mới biết được","2","5"
"Có bán bình sạc ko shop","2","4"
"Quạt nhận hàng bị lỗi, bật chế độ DC Ko được. Quạt sạc qua 1 đêm vẫn không dùng được, từ lúc sạc đến sau 12 tiếng vẫn hiển thị sáng xanh các đèn % pin sạc Liên hệ tổng đài ngay khi nhận hàng thì được báo mang ra cửa hàng để được xử lý. Ra cửa hàng thì nhân viên bảo sao Ko mua tại cửa hàng để Ko bị lỗi Vậy cho hỏi nếu vì điều kiện nhà xa cửa hàng tận 30km, thì việc mua trực tiếp có tiện không Xin trả lại quạt thì bảo phải mất 20% phí phí này chắc bằng giá gốc của quạt lấy về. Trước khi giao hàng không có nhân viên gọi điện tư vấn về chính sách đổi trả, phải tới khi xảy ra vấn đề mới biếtDưới đây là phiếu trả hàng và hoàn tiền của mìnhMua 2 sản phẩm không dùng được cả 2. Tự hứa sẽ không mua ở ĐMX nữa, cách hỗ trợ khách hàng không ổn tí nào.","0","1"
"Pin sạc ko xài được. Có lúc sạc 24 tiếng cũng mà mở lên ko có tí pin nào luôn.","0","2"
"Ưu điểm giá hợp lí, dùng được 2 chế độ nguồn điện, có đảo hướng gió được. Chê sạc pin quá lâu 24h, báo pin không chính xác, cơ chế nâng hạ cánh quạt không hoàn thiện, đèn led gắn cho đẹp chứ không sáng mấy.","2","4"
"Mới mua về xạc đc 2 lần, lần nào cũng xạc gần 20 tiếng nhưng vẫn 50% pin , mong đc ĐMX hổ trợ ạ","0","2"
"sử dụng rất tốt","2","5"
"Mở quạt trực tiếp mạnh mát. Qua chế độ sạc thì nhẹ hơn. Mình thấy sản phẩm dùng ok","2","5"
"Pin bị hư ngay từ khi dùng lần đầu. Ngoài ra thì dùng ổn khi cắm điện. Chạy êm.","1","3"
"Pin nhanh hết điện","0","2"
"Tệ. Mới mua đc vài hôm. Chưa sdung đã mất 25% pin đầu tiên. Nói xài 1415h mà mới xài vài tiếng đã hết pin.","0","2"
"Pin xuống nhanh mặc dù không sử dụng nhiều","0","2"
"Pin khá trâu, nhỏ nhưng có võ, chê cái là gập chúi quạt xuống thấp không dc","2","5"
"Quạt sạc khoảng 1012 tiếng thì đầy. Dùng được khỏang 2 đêm từ 9h30 tối đến 6h sáng hôm sau khoảng hơn 12h. Tuy nhiên, Tốc độ quạt lúc bật thì mạnh nhưng chạy được 1 thời gian ngắn thì tốc độ giảm xuống rất nhiều tắt đi bật lại thì lại mạnh bình thường không biết đây là tính năng hay là lỗi của sản phẩm. Nhờ ĐMX giải thích hộ","0","2"
"Rất nhanh hết điện mặc dù mở số nhỏ , buồn làm biếng mang đi bh","0","1"
"Quạt Bin sạc đầy su dung được 1h","0","1"
"Quạt thì dùng ok mỗi cái vấn đề là cứ bị ngửa đầu trong khi sử dụng cần đem đi bảo hành.nhưng đem đi ngày 16/08 giấy hẹn 31/08. qua ngày không nhận được thông tin gọi điện lên lại hẹn 9/9 ra lấy.ngày 11/09 ra lấy lại bảo không có. gọi điện lại hẹn một hôm nữa e trả lời.đến giờ gọi điện lên không biết bao nhiêu cuộc rồi.KẾT QUẢ LÀ HÔM NAY NGÀY 19/09 GIA ĐÌNH TÔI VẪN CHƯA BIẾT KHI NÀO QUẠT SẼ VỀ. và cũng chưa nhận được thông tin gì cả.Mua quạt dùng cho mùa hè mà mất hơn 1 tháng hè ở yên trong DMX gọi điện thì hẹn này hẹn lọ xin lỗi cho qua câu chuyện. Thực sự mua hàng DMX giá chát để đổi lấy sự phục vụ tốt mà thế này thì mua hàng chợ cho rẻ với tin rằng họ cũng không om hàng tới trên 1 tháng như này đâu.chia sẻ câu chuyện thật cho mọi người biết thông tin. mua ở DMX nhiều lần đầu đi bảo hành và nếm mùi....","0","1"
"pin sạc lâu đầy mà dùng nhanh hết pin quá","0","2"
"Sạc đầy pin nhưng bật số nhanh tí thì chậm lại.","0","1"
"Cái quạt này phải nói là siêu đỉnh mua đợt cúp điện bất thình lình ở HCM. Xài êm vô cùng quạt mạnh không ồn ào pin thì trâu khủng khiếp sạt full pin chắc quạt được cả gần 2 đêm. Quá tuyệt vời","2","5"
"DMX quảng cáo k đúng.quạt này dùng motor chổi than.","0","2"
"Sử dụng ok pin sạc đầy sử dụng khá lâu gần 8 giờ chế độ gió vừa","2","5"
"mình có video đánh giá nè https//youtu.be/SsercgrczHE","2","4"
