"data","label"
"Mình được tặng cái eke gì đó,mà kh có, nhờ admin coi lại giùm.","0"
"Tiết kiệm điện. Thích lắm xài hơn nửa năm rồi. Bật chế độ eco, làm sạch máy thường xuyên tuần 1 lần, bật uv khử khuẩn các kiểu, máy êm","1"
"Sau cục nóng ồn qua hơi khó ngủ","1"
"Mới sd mọi thứ ok .cho mình hỏi máy này sd app nào vậy đmx","1"
"Sau vài tháng sử dụng thì máy hơi ồn nhẹ níu bật chế độ im lặng trên app thì ok 1 điểm trừ khi lắp đặt k có máy hút bụi khi khoan tường","1"
"Êm","1"
"Rất tốt","1"
"Máy lạnh hoạt động êm ái","1"
"cho hỏi con này sao kết nối qa app wifi sao chi dc 1 người có cách nào cài đk 2 ng ko","1"
"Rất hài lòng","1"
"Máy lạnh quá dỡ dùng 1 ngày đã xì hết gas","0"
"Máy xài ngon. 5 sao","1"
"Máy sử dụng tốt, hoạt động ok","1"
"Máy lạnh hoạt động tốt, mạnh. mà cục sáng xanh ở máy lạnh sáng hơn đèn ngủ","1"
"Sản phẩm hoạt động ok. Dùng tốt","1"
"Máy chạy tốt, hoạt động ok, tuy nhiên cục nóng còn bị rò rỉ nước 1 tí nhưng không có vấn đề gì","1"
"Máy xài tốt, chạy êm lắm","1"
"Máy hoạt động tốt, nhưng cục nóng hơi ồn","1"
"Máy chạy êm, sử dụng tốt","1"
"xài tốt nha mn","1"
"Máy xài êm, dùng ok","1"
"Máy mát, dùng êm, xài rất ok","1"
"Dùng ok. Xài tốt","1"
"xài tốt, dùng ok","1"
"Xài tốt, ngon. Nên mua nha mn","1"
"Máy tốt, xài êm","1"
"Xài tốt, máy lạnh vừa đủ, phù hợp với nhu cầu","1"
"Xài ngon, máy mát lạnh","1"
"Tốt, dùng êm","1"
"Máy lạnh hoạt động tốt, chạy êm, nên mua","1"
"Dùng rất ok, xài êm","1"
"Máy lạnh hoạt động tốt, dùng rất ok","1"
"Máy chạy êm, dùng mát, ok","1"
"Sản phẩm tốt, dùng ok","1"
"Máy chạy êm, dùng tốt","1"
"Dùng tốt, chạy êm","1"
"Máy hoạt động tốt, mát nhanh, êm","1"
"Sản phẩm tốt. Nên mua","1"
"Máy lạnh sử dụng ok. Nên mua","1"
"Máy làm lạnh nhanh, tốt, dùng ok","1"
"Sản phẩm tốt, máy hoạt động ok","1"
"máy chạy mát, tốt","1"
"máy chạy bình thường, không có gì phát sinh hết","1"
"máy xài tốt nhé","1"
"mẫu mã thì đẹp, xài ok","1"
"mình thấy máy chạy tốt, dùng ok nhé","1"
"máy chạy được, chưa có vấn đề gì","1"
"máy chạy tốt, mẫu mã đẹp","1"
"máy chạy tốt","1"
"máy cũng bình thường, cũng được","1"
"máy chạy tốt, không có gì phát sinh","1"
"Tốt","1"
"Hàng ok nha","1"
"Tôi mới mua Máy lạnh AQUA Inverter 1 HP AQARUV10RB2 mà về phát hiện bị lổi tỏa nhiệt mà báo lên tổng tài thì ko ai quan tâm và khắc phục. Còn nhân viên giao hàng lắp đặt thì bảo do vận chuyển mà nói ko sao ròi thế cứ lắp vào. Bao có ji thì cứ báo tổng đài. Vãi ....l","0"
"Sản phẩm rất tốt nha","1"
"là khách hàng mà như đi xin vậy bán xong đá qua hãng, hãng báo đổi đá lại về nơi mua, hẹn 25/3 vào xử lý thì ko thấy đâu. máy thì lắp mới 2 ngày mà kêu to như máy cày v.","0"
"","1"
"","1"
"","1"
"","1"
"","1"
"","1"
"","1"
"","1"
"","1"
"","1"
"","1"
"","1"
"","1"
