"data","label","num_stars"
"GIAO JANH NHANH CHO IÊN 990","2","5"
"Mình mới mua chưa đầy 1 tháng thấy khá tốt","2","5"
"K biết sao 2 hôm nay bắt đầu bị như này","0","2"
"Tủ lạnh thì đóng tuyết dày đặc như này, báo lên ĐMX thì lên coi 2 lần, chuyển hãng mất 3 ngày, hãng báo bình thường xong im re luôn. Gọi lại lên ĐMX thì báo kêu hãng lên kiểm tra. Kêu nếu hãng nói bình thường thì sẽ chuyển bộ phận liên quan. Từ lúc mua tới giờ 2 tuần mà chưa có một câu trả lời thống nhất nào từ ĐMX, tụi mày cứ kêu kiểm tra kiểm tra tới bao giờ. Lúc lấy tiền thì nhanh nhảu, hư hỏng thì lừa qua lừa lai, 1 quy trình dài lằng nhằng và vẫn chưa có kết quả.","0","1"
"Lỗi kêu to quy trình sửa chữa quá chán hẹn tới hẹn lui tháo ra tháo vô ba bốn lần làm gãy đồ sửa ko được thì đổi thừa tủ như vậy thật thất vọng dmx quá bên hãng với bên dmx đồng kiểm đánh giá tào lao người ta sử dụng mấy tháng đầu ko sao rồi lỗi kêu vô sửa ko được thì đánh giá tại tủ liền hệ thì cứ hẹn miết thiệt hại là người tiêu dùng","0","2"
"Tôi không biết nói gì nhiều. Tuyệt vời","2","5"
"Tủ lạnh sử dụng tốt lắm nha.","2","5"
"Tủ lạnh rộng rãi chạy êm, chức năng tự động làm đá viên ok lắm nha.","2","4"
"Nhan viên bán hàng và giao hàng nhiệt tình tư vấn tốt. Cam on shop","2","5"
"Lỗi rất nhỏ ở vòi nước, nhưng quy trình bảo hành quá dài dòng hình thức. Quá mất thời gian cho 1 lỗi vặt.","2","4"
"rất hài lòng","2","5"
"Tôi rất hài lòng với sản phẩm đó","2","5"
