"data","label"
"Mới mua chưa được 1 tháng mà bị dính chuột trái, chuột tự chạy loạn cả lên. Chán","0"
"Ổn nhưng pin yếu quá","0"
"Ổn","1"
"Ok","1"
"Máy chạy nhanh, mượt, cảm biến vân tay tiện dụng, nhất là vói Windows 11, nói chung sử dụng văn phòng, game nhẹ, lướt web tốt. Đáng mua","1"
"Máy mới mua về chưa sài gì nhiều thì chuột giật chạy lung tung tắt máy mở lên vẫn vậy đem ra kiểm tra nhân viên bảo máy tầm trung nên nó như vậy chịu khó sài nói thế chịu luôn","0"
"Máy mua đc 1 tuần lỗi ghi âm rè lúc đc lúc ko. Mang máy qua bảo hành gọi tổng đài thì trả lời hời hợt báo lỗi win mà win bản quyền.","0"
"Ok","1"
"Mua máy được 2 tuần nhưng toughpad hay bị lỗi, máy mở mật khẩu xong đen thui","0"
"","1"
"","1"
