"data","label"
"Tivi mua chưa được 2 tháng thì hỏng .","0"
"Máy sài ko ra sao cả. Màn xấuSài mới 3 thsng là hưCho kỹ thuật tới thay xong bấm bị đơKiểm tra thì đổi cái mạch của máy thành đời cũ 2020 Gọi trung tâm bảo hành thì kêu sài chung đượcMua máy mới mà giờ sài cái mạch của 5 năm trước","0"
"Sản Phẩm tốt,nhân viên giao hàng rất chu đáo nhiệt tình.","1"
"Như đầu buồi dùng không được chục ngày gọi bảo hành thì hẹn lấy hẹn để như kiểu phải đi xin bảo hành","0"
"Tivi mua về bị lỗi hỏng màn hình gọi mang đi bảo hành thì TCL báo số seri của tivi không khớp không bảo hành cho.","0"
"Tivi mới mua được hơn một tháng thì tìm kiếm giọng nói k được gọi bảo hành vẽ cài đặt lại được 1 ngày thì lại k được gọi bảo hành thì k về ,chán quá","0"
"như hạch","0"
"Lần đầu mua nhân viên tiếp cận chu đáo nhiệt tình, lần sau ghé mua nhân viên quạo quọ làm như không muốn bán","0"
"Qua 1 đêm k bật nên dc , bên điện máy xanh cho người qua kiểm tra giúp mình","0"
"Mấy cái gói 12th tặng không có tài khoản để đăng nhập vào sử dụng đc","1"
"Tuvi kết nối với loa bluetooth xem youtube thì nghe được mà chuyển sang kênh truyền hình thì lại không có tiếng, phải tắt loa đi rồi mở tăng âm lượng tivi lên mới có tiếng ở loa tivi. Mình muốn nghe trên loa mà chỉ nghe được youtube thôi","0"
"Cạch mặt điện máy xanh luôn. Quá thất vọng. Bảo hành cái kiểu ban ơn với câu giờ.","0"
"Mới mua 1 năm hơn hư màn hình rồi dù ko va đập hay rớt,kêu bảo hành thì nói vô nước tivi trong nhà chứ đem ra ngoài mưa đâu mà bảo lí do khó thiết phục ghê","0"
"dùng đc tuần nay rồi cũng rất là ok","1"
"Nói chung là hình ảnh cũng ok thiết kế đẹp viền mỏng độ bền trời thời gian mới biết được","1"
"Tivi mua được tuần nay, bị lỗi mà 2 ông ĐMX và nv TCL cứ đổ qua lại do quá tải. Bjo để trưng bày","0"
"Tốt trong tầm giá","1"
"Tivi tốt","1"
"Quá ok","1"
"Dùng ổn, chất lượng cũng tạm được có điều khiện sẽ ủng hộ nữa","1"
"Tốt so với tầm giá","1"
"Ổn trong tầm giá.","1"
"Ok","1"
"Đẹp nhưng không được nhạy như các hãng khác","0"
"Sản phẩm dùng tốt","1"
"Hiện tại dùng rất ổn . Nhân viên nhiệt tình. Sẽ phản hồi thêm sau thời gian sử dụng","1"
"Sản phẩm tốt","1"
"Tốt. Hài lòng","1"
"Tốt","1"
"Dùng OK với giá tiền.","1"
"Tốt nhất trong tầm giá đã dùng.","1"
"Không hài lòng","0"
"Tốt hơn với tưởng tượng.giá tốt chật lượng tốt","1"
"Ok","1"
"Cũng ổn","1"
"Sp dùng tốt","1"
"Tốt","1"
"tầm giá tiền ok.còn chất lượng để tgian nữa","0"
"Hình ảnh đẹp","1"
"Nhân viên phúc vụ tôt tiếp đón liêm nở nhiệt tình","1"
"Đến giờ rất ok luôn","1"
"Tôi chưa nhận được tk xem miễn phí","1"
"Bình thường","0"
"Ổn với múc giá này","0"
"Ok","1"
"Tốt","1"
"Ok","1"
"Ok","1"
"rất ok","1"
"Hình ảnh rõ nét.âm thanh to","1"
"Ok","1"
"Tốt","1"
"chưa dùng lâu nên chưa biết rõ","1"
"Ok","1"
"Ok san phẩm rất hai lòng","1"
"đã sử dụng được 10 ngày từ khi mua, dùng cũng được, chưa gặp vấn đề gì, ai dùng để coi Youtube hoặc kênh truyền hình như nhà mình thì cứ thế mà dùng, còn ai muốn dùng để chơi game hay tải những ứng dụng có dung lượng cao thì cần mua thêm cái Box TV để sử dụng thêm, cho nó mượt mà hơn tránh bị giật lag, hoặc bị Out ra khi đang sử dụng :)","1"
"bình thường","1"
"Tv đẹp sắc nét, 10d nhé😘😘😘😘","1"
"Ok sản phẩm tốt với giá nay","1"
"Nhân viên tận tình với khách hàng ... Dịch vụ chăm sóc khách hàng tốt ... Giao tiếp vui vẽ tận tâm ... Mua hàng của đmx là an tâm (5sao cho chất lượng dịch vụ đứng đầu) Chất lượng sản phẩm so với giá tiền là ok ...hợp lý Đánh giá sản phẩm ..màu sắt 7.5/10 .ánh sáng 8/10.. Âm thanh 9/10 ... Hình ảnh 8/10 ... Hệ điều hành 8/10 ...wifi 2.5G không bắt được 5G (4sao cho sản phẩm) Đánh giá tổng quan là hài lòng 8/10 Chất lượng sản phẩm và giá tiền như vậy là hợp lý ...còn về độ bền thì chưa thể đánh giá được vì đây là lần đầu tiên mua sản phẩm của TCL Cảm ơn các bạn đã hổ trợ ,cảm ơn MWG ..sẽ tiếp tục ủng hộ MWG cũng như giới thiệu cho bạn bè người thân ....! Hy vọng MWG tiếp tục có nhiều phát triển hơn nữa trong dịch vụ chăm sóc khách hàng và hậu mãi","1"
"Hình ảnh đẹp cảm ơn nhà sản xuất","1"
"Nhiều lúc bị lác giong như điện thoại. Có lúc kết nối wifi còn bị chập chờn.","0"
"Ổn","1"
"Rât tốt","1"
"Chất lượng sản phẩm tốt , giá thành tốt , nhân viên giao hàng lắp đặt tốt 👍 10 điểm","1"
"Giao hàng lắp đăt nhanh","1"
"Ok","1"
"Tv ok lắm ạ","1"
"Tốt","1"
"Bình thường","0"
"tốt","1"
"Rất hài lòng","1"
"Đề nghị điện máy xanh cho nhân viên kiểm tra ngay.tivi của tôi mua từ sau khi nắp đến nay.nhiều khi mất hình có tiếng.chập chờn mỗi lần mất hình khoảng vài chục giây.....","0"
"Tivi hay bị treo mỗi khi khởi động, thỉnh thoảng phải rút phích ra và cắm lại, có thể sẽ ảnh hưởng tuổi thọ của tivi. Tình trạng này sẽ khó khăn khi để con nít sử dụng (liên quan đến ổ điện)","0"
"Ok","1"
"Giao hàng nhanh","1"
"Tivi xài rất OK chất lượng hình ảnh nét.cam ơn điện máy xanh phục vụ rất nhiệt tình","1"
"Tôi hài lòng về thái độ phục vụ của nhân viên","1"
"Hiện tại tivi rõ nét âm thanh sống động ,sau sử dụng lâu sẽ quay lại đánh giá ☺️","1"
"Dùng ổn, lúc mua 9tr bây giờ giảm còn 8tr, mua sớm lỗ mất 1tr 😂","1"
"Xài ok","1"
".","1"
"Tivi tốt","1"
"Màu sắc trung bình, hình ảnh tối dù mức ánh sáng tối đa","0"
"Vs giá chưa dc 8 củ vs tivi 55in thì quá ổn... Mới sd chưa pk bền hay sao nên cho 4 sao trx","1"
"Chất lương sản phẩm tốt, ổn định.","1"
"Giật , đơ mở ti vi lên thì khởi động lâu mặc dù đã bật khởi động nhanh. Bắt wifi kém. Màn hình thi thoảng bị nhảy màu đỏ lòm đc lúc lại hết.","0"
"Mua hàng thuận tiện, giao hàng nhanh, nhân viên giao hàng tận tình, trách nhiệm, chất lượng hình ảnh tương xứng với giá thành, chất lượng độ bền và dịch vụ bảo hành đánh giá sau.","1"
"Tốt","1"
