"data","label","num_stars"
"Tủ lảnh sử dụng ổn định, rộng rải thoải mái nhân viên tư vấn rất nhiệt tình, giao hàng nhanh, đúng thời gian đã hẹn","2","5"
"Đọc đánh giá mới thấy tủ này nhiều vấn đề. Mk mua hơn 1 năm đến nay ngăn mát k lạnh. Đã gọi bảo hành 2 lần nhưng được 2 ngày thì lại k mát. Chẳng nhẽ cứ vài ngày lại gọi bảo hành cho đến hết hạn bảo hành ạNhân viên bảo hành nhiệt tình. Mỗi tội tủ lạnh hỏng hoài.","0","1"
"Trải nghiệm tồi tệ","0","1"
"Tủ lảnh sử dụng rất tốt, nhiều ngăn, đẹp, nhân viên tư vấn rất nhiệt tình, giao hàng nhanh, đúng thời gian đã hẹn","2","5"
"Tủ làm đá không như trước,để cái kem hai ngày k cứng họi thợ hãng tới bảo hành thì gặp đúng thằng bảo thủ,mình dùng mình phải biết chứ cay thật","0","2"
"Tôi đã bị lừa doi bên bán hàng điện máy máy đã lừa doi Tôi mua máy tu lạnh tosiba xuất xứ thái lan nhưng lốc máy trung quốc khi lốc máy Tôi hư ko được bảo hành bộ phận chăm sóc khách hàng kết hợp với bên kỹ thuật chặt chém Tôi trong khi ko có kinh nghiệm làm việc gì cả lốc máy Tôi hư nhưng bảo tôi là bo mạch hư mỗi lần kiểm tra kỹ thuật đều bắt tôi trả chi phí 200k cho một lần trong khi ko làm được gì cả còn làm hư tài sản của tôi thật là tồi tệ...","0","1"
"Máy kêu to, không ngủ được, hở, bọ chui vào, có lớp bụi đen ở ngăn mát, không bao giờ mua hàng của hãng này nữa","0","1"
"Tủ kêu to kêu rền rền cả ngày như xe lên dốc. Kêu hãng tới hãng bảo nó vậy á chứ ko làm sao. Hãng cúng xác nhận nó kêu to và kéo dốc vậy nha. Nên mua về ko ĐK bảo hành đâu nha. Từ khi cha sinh mẹ đẻ đến giờ mới thấy tủ lạnh kêu cả ngày mà thằng sx toshiba nó bảo tủ bình thường. Mất tiền ngu tẩy chay hãng tẩy chay điện máy xanh","0","1"
"Máy kêu chạy lâu lâu kêu rất ồn. Không biết lỗi do đâu nữa. Kêu ồn nghe tiếng rít hú. Rất khó chịu","1","3"
"Tủ thường xuyên chạy ngắt điện mỗi khi mở cửa, kêu không to nhưng ùn ùn rêm nền sau khi mỗi lần mở cửa lấy đồ, này là lỗi hay là tính năng vậy.","1","3"
"Máy rất tệ. Hãng làm ăn kém. Khuyên mọi người đừng mua","0","1"
"Tủ kêu hơi to, rè rè hoài. Làm sao để khắc phục","1","3"
"Không có vụ bảo hành máy nén 10 năm. Mua 2 năm 3 tháng hư.","0","1"
"Sản phẩm lỗi nhiều, nhân viên gây khó dễ trong việc đổi trả sản phẩm","0","1"
"Máy đẹp, mau lạnh, kiểu dáng sang trọng","2","5"
"Tôi mới mua về mà sao máy chạy ngắt điện hoài luon, có ai chỉ mình với","1","3"
"Tủ xài rất êm, rẻ mà OK lắm mua trả góp tiện lợi nữa","2","5"
"Tủ mình mua hơn 2 tháng như có lúc tủ kêu to bất thường mình có rút ra và ghim lại thì không bị gì nữa, vài ngày sao thì bị kêu tiếp không biết tủ bì gì ạ. Mong mn chỉ mình với","2","4"
"Tủ tốt. Kê thêm cái kệ vào nên mở ra mở vào hơi mắc xíu","2","5"
