"data","label"
"Thấy dùng tốt, không có phát sinh gì","1"
"sản phẩm dùng tốt , cho 5","1"
"sản phẩm tốt","1"
"Màn hình ổn","1"
"sử dụng ổn ok","1"
"Màn hình rõ xài êm","1"
"đã mua 3 cái , sản phẩm tốt","1"
"tivi hình ảnh sắc nét ok","1"
"Sử dụng tốt ok","1"
"sử dụng bình thường ổn","1"
"Sử dụng tốt hình ảnh sắc nét","1"
"Sản phẩm hiện tại dùng tốt","1"
"màn hình chưa nét lắm","1"
"sp sử dụng tốt","1"
"5sp sử dụng tốt","1"
"sp tốt khách đánh giá 5","1"
"mới dùng nhưng thấy tạm ổn, cho 5 sao","1"
"sản phẩm dùng tốt, sẽ giới thiệu sản phẩm cho bạn bè, người thân","1"
"Sản phẩm ổn định, mua đúng thời điểm có khuyến mại nên được giá tốt","1"
"dùng tốt, đã mua mấy lần rồi","1"
"sản phẩm dùng ổn , sẽ giới thiệu bạn bè","1"
"chất lượng tốt, âm thanh hay","1"
"DÙNG BÌNH THƯỜNG CHO 5 SAO","1"
"sản phẩm rất tốt","1"
"sử dụng tốt , màn hình bình thường","1"
"sử dụng tốt , màn hình rỏ , nhân viên nhiệt tình .","1"
"Sản phẩm tốt, có tính năng AI","1"
"Chưa có đánh giá","1"
"Sản phẩm sử dụng tốt, có tính năng AI","1"
"Sản phẩm dùng bình thường cho 4 sao","1"
"màu mè đồ đẹp , sản phẩm tốt","1"
"Lúc đầu khó đăng nhập tài khoản , giờ đã dùng bình thường","1"
"Sản phẩm sử dụng tốt","1"
"thấy ổn, màn hình ưng ý","1"
"sản phẩm ok , tốt","1"
"dùng ok, 10 điểm","1"
"sản phẩm tốt, không vấn đề gì","1"
"xài cũng được . màn hình đẹp","1"
"sản phẩm xài cũng được, màn hình đẹp","1"
"Sản phẩm tốt","1"
"đang vận hành tốt","1"
"sản phẩm thấy ok","1"
"Sản phẩm dùng tốt, đã giới thiệu người thân mua sản phẩm này","1"
"sản phẩm ổn","1"
"sản phẩm tốt","1"
"sản phẩm dùng được , hình ảnh âm thanh hay","1"
"Dùng ổn ok","1"
"Sản phẩm sử dụng tốt","1"
"âm thanh tốt, màu được","1"
"sản phẩm dùng tốt","1"
"Sản phẩm tốt","1"
"sử dụng tốt","1"
"sp tốt, sẽ giới thiệu cho người thân","1"
"Sản phẩm tốt 5 sao","1"
"sp ok, giới thiệu cho người thân","1"
"sử dụng ổn","1"
"Đang sử dụng tốt","1"
"Sản phẩm dùng ok","1"
"Bữa mở tivi vào app bị trắng màn hình, thoát ra app khác lên nhưng không vào mạng được xong để tới chiều sài bình thường chưa rõ do app hay tivi nhưng tivi tốt","1"
"sp ok, sẽ giới thiệu cho bạn bè","1"
"Màn hình rõ , nhưng có lúc mờ","1"
"Tivi dùng ok, cho 5 sao","1"
"Tivi sử dụng tốt , màu sắc đẹp , có điều hay bắt cập nhật phần mềm ...","1"
"Dùng tốt, nhà nhiều người sử dụng không thấy ai phản hồi kém","1"
"sp ok, sẽ giới thiệu bạn bè","1"
"sản phẩm dung tốt và do sp này công nghệ nên người lớn hơi khó dùng xíu ạ","1"
"sp ok, sẽ giới thiệu cho người thân","1"
"Hình ảnh thì nét có điều ngoại hình hơi dày hơn so với TV cũ của khách ,...","1"
"sp ok, sẽ giới thiệu cho ngươi thân","1"
"Sp Tốt, 4 sao","1"
"SP Tốt. Màu sắc nét","1"
"Tivi sài ok nhưng không có gì nổi bật chấm 4 sao thôi","1"
"sp ok, sẽ giới thiệu cho người thân","1"
"sp ok, sẽ giới thiệu cho người thân","1"
"sản phẩm tốt","1"
"sp ok, sẽ giới thiệu bạn bè","1"
"sản phẩm thông minh","1"
"mua cho con trai sử dụng, thấy ổn định","1"
"hình ảnh sắc nét, dùng ok","1"
"Âm lượng hơi bé hơn so với lúc với mới mua , nói chung được , 4 sao","1"
"Sản Phẩm Tốt","1"
"sp ok, sẽ giới thiệu đến bạn bè","1"
"Nói chung là ít khi sử dụng nhưng đánh giá chung là tương đối tốt . Cho đánh giá 5 sao","1"
"dùng tốt, nhưng mới mua nên tạm 4","1"
"Hình ảnh sắc nét , âm thanh tốt","1"
"nhân viên nhiệt tình , tivi sử dụng tốt","1"
"sản phẩm tốt","1"
"Sản phẩm sử dụng OK , Sẽ giới thiệu cho người thân mua","1"
"sản phẩm tốt","1"
"sp ok, sẽ giới thiệu bạn bè","1"
"sản phẩm cũng được , hình ảnh nét","1"
"Sản Phẩm Tốt ,màu sắc đẹp","1"
"sản phẩm được dùng tốt","1"
"Sản phẩm sử dụng bình thường, dùng ổn","1"
"Sản phẩm sử dụng tốt , cho 5 sao luôn","1"
"sử dụng ngon, tốt","1"
"Sản phấm tới giờ vẫn ổn định, coi bình thường nha","1"
"khách đánh giá sản phẩm tốt","1"
"sp ok, sẽ giới thiệu cho bạn bè","1"
"Sản phẩm tốt, cho 5 sao","1"
"Sản phẩm sử dụng ổn . Do mới sử dụng được vài hôm nên chưa có đánh giá được nhiều","1"
"","0"
"","1"
