"data","label","num_stars"
"ĐMX phục vụ quá tệ khi sản phẩm bị lỗi. Tủ lạnh mua 7/2023 nay bị đống tuyết kêu qua sửa bảo hành 45 lần rồi không xử lý hết. rồi báo tủ bình thường. đổ lỗi khách hàng dùng nhiều đá, nguồn điện không ổn định... không vệ sinh thường xuyên. Quá chán.Mong xử lý hết đống tuyết","0","1"
"Tủ đẹp hài lòng, nhưNg thái độ NV giao hàng tệ, bạn ấy bảo cửa nhà nhỏ, chị Kuma tủ chi quá lớn, mua cái tủ lớn nhất siêu thì còn j,Ủa tui thích tui mua, thân lơn nặng thì siêu thị dung bán nữa,Còn NV vô kiểm tra máy lạnh nói chuyện keu như muốn đánh lộn z ak chèn, bỏ tiền mua hàng mà mang bệnh tức,Tui hôi hận khi chọn mua ở DMX","2","4"
"Tủ chạy êm, làm lạnh tốt. Ngăn đông mềm xài thích lắm, tiện lợi khi nấu k cần rã đông. Ngăn mát rộng rãi thoải mái chứa được khá nhiều đồ. Ngăn đông tiện lợi với các khay riêng biệt. Tủ mặt gương sang trọng chỉ có khuyết điểm là dễ bám vân tay","2","5"
"Máy chạy êm,hơi tệ là mặt gương lúc nào nhìn vào thays dơ cần khắc phục","2","4"
"Dùng thấy rất OK nà khi nào có vấn đề gì trục trặc mình sẽ báo sau ạ","2","4"
"Tủ lạnh dùng rất ổn","2","5"
"Sản phẩm đẹp , giá rất rẻ, nhân viên giao hàng tận tâm","2","4"
"Tôi vẫn đang dùng và theo dõi","2","4"
"Xài máy chạy êm OK","2","4"
"Tủ thiết kế đẹp, chạy êm nhưng đóng cửa tủ nghe cộp cộp ở bản lề phía trên cửa cảm giác không đc chắc chắn lắm. Các viền mép kính mặt tủ không khít hẳn không biết có phải thiết kế kiểu vậy không","1","3"
"Mình vừa mua tủ lạnh này về sử dụng, qua tìm hiểu trên mạng thì biết dòng này có chức năng ""holiday"" nhờ điện máy xanh hướng dẫn mình sử dụng tính năng này.","2","4"
"Mới mua và chạy được 20 ngày nhưng thấy tấm nhôm tản nhiệt bị đọng nước thành giọt trong điều kiện sử dụng bình thường ban ngày, còn để qua đêm thì ít đọng hơn ạ","1","3"
"Mới sài được 4 ngày,tủ chạy êm gần như ko nghe tiếng ồn nào phát ra.làm lạnh nhanh ,thực phẩm bảo quản tốt.kiểu dáng rất sang trọng.Ai nhìn cũng khen vs hỏi mua ơi đâu mà đẹp thế.Độ bền thì Sài thêm mới kiểm chứng được.","2","5"
