"data","label","num_stars"
"Mua từ tháng 8 đến nay hư 3 lần","0","1"
"Cho m hỏi sao cái hộc để đồ nó giòn quá vậy bể hết m có được bảo hành ko","1","3"
"Từ mua vé thấy sai ok mà về sau ko biết sao. Vẫn cho 4 sao","2","4"
"mới mua tủ 3 hôm ad cho mình hỏi khai đá tự động khi nó làm đông đá rồi mà sao nó không tự rơi, mà mình mắc bấm nút nó mới rơi vậy ạ đây có phải là lỗi hay không ạ Sao trong quảng cáo có nói là nó tự rơi đá sau 4tiếng mà để mãi chã thấy rơi toàn tự bấm thì đá nó mới rơi xuống.","1","3"
"Hàng Sài ok","2","5"
"Xài tốt. Có phần cấp nước cho ngăn chứa để rót ra ly uống và ngăn cắp nước lm đá nếu có van cấp vào thì tiện sử dụng hơn","2","4"
"Tủ lạnh tôi mua ngày 05/04/2024 đến ngày 09/04/2024 gặp lỗi rỉ nước tại vòi lấy nước bên ngoài, liên hệ bên ĐMX đến kiểm tra nhưng không khắc phục được, đẩy sang hãng nhưng không thấy phản hồi thời gian đến kiểm tra. Mọi người nên cân nhắc khi chọn mua sản phẩm này để tránh lỗi như trên.","0","1"
"Cho m hỏi. Tủ nhà m mới mua đc 5 tháng. Đang lm đá tự động.qua mùa đông nhà m ko cho nước vào. Giờ cho nước vào nó ko lm đá nữa rồi","1","3"
"Sử dụng thấy OK ổn","2","5"
"Mới mua..mà cho tui hỏi cái chức năng làm đá tự động là đá tự rơi xuống khay hay s ạ..s tủ tui bấm nút mới thả đá xuống w ạ Mình có chỉnh chỗ nào thì chỉ tui với","2","4"
"Rỉ nước k ai giải quyết được . thất vọng","0","2"
"OK nha shop","2","5"
"Vòi lấy nước bị rỉ nước . Cánh cửa ngăn đá không chặt chẽ , nhưng chế độ làm lạnh tốt . Chính sách bảo hành Samsung rất tệ . Nvdmx nhiệt tình","1","3"
"Ngăn đông mềm linh hoạt Optimal Fresh+, Công nghệ SpaceMax tăng thêm dung tích sử dụng , hài lòng, sản phẩm tốt","2","5"
"Tủ lạnh dùng cũng ok","2","4"
"dùng tốt, làm lạnh được, mẫu mã cũng đẹp, có điều mình thấy vòi nước tự động hơi bất tiện một xíu, trẻ em nghịch lấy ra lấy vào nên hơi bẩn","2","4"
"Sản phẩm cũng ok","2","5"
"Ngăn đông mềm linh hoạt Optimal Fresh+, Công nghệ SpaceMax tăng thêm dung tích sử dụng , hài lòng, sp đầy đủ chức năng","2","5"
"Sản phẩm tốt, chất lượng","2","5"
"Tủ lạnh dùng tốt","2","5"
"mình từng mua mẫu này vào 2002, mà 2023 mua lại, thấy mẫu mã, màu sắc sp không đẹp bằng cái 2020, bên trong thì thấy mỏng mỏng dễ vỡ như đồ giả vậy, dùng thì vẫn giống cái 2020","1","3"
"Ngăn đông mềm linh hoạt Optimal Fresh+, Công nghệ SpaceMax tăng thêm dung tích sử dụng , sản phẩm bình thường , hài lòng","2","4"
"sản phẩm thấy cũng tốt, chất lượng","2","5"
"dùng tốt, dung tích rộng, làm lạnh được, nếu ai hỏi tới thì mình sẽ giới thiệu","2","4"
"Ngăn đông mềm linh hoạt Optimal Fresh+, Công nghệ SpaceMax tăng thêm dung tích sử dụng , hài lòng về sản phẩm","2","5"
"Sản phẩm tốt, vừa ý","2","5"
"Sản phẩm rất tốt, rất thích, sử dụng thấy rất ok","2","5"
"mới mua nên dùng được, dung tích rộng, thoải mái, nói chung ổn, để xem dùng lâu dài thì như nào","2","4"
"SP dùng tốt, tính năng Ngăn đông mềm linh hoạt Optimal Fresh+, Công nghệ SpaceMax tăng thêm dung tích sử dụng tiện ích","2","5"
"Sản phẩm tốt, chất lượng","2","5"
"Có tính năng Ngăn đông mềm linh hoạt Optimal Fresh+, Công nghệ SpaceMax tăng thêm dung tích sử dụng tiện lợi","2","5"
"Sản phẩm dùng tốt, ok. Tính năng Ngăn đông mềm linh hoạt Optimal Fresh+, Công nghệ SpaceMax tăng thêm dung tích sử dụng tiện ích","2","5"
"Thấy sản phẩm dùng cũng được, bình thường","2","4"
"Tủ lạnh rất đẹp","2","5"
"Tủ lạnh samsung giá bèo nhưng rất ok.máy chạy êm đủ chức năng, mẫu 2023 xịn sò.","2","5"
"tủ lạnh bị lỗi lấy nước . khay làm đá tự động","0","1"
"sản phẩm dùng ok còn tuyệt đối thi chưa góp ý hãng phần lấy nước thấy hơi nhiễu nước chưa kín","2","4"
"sử dụng tốt","2","5"
"sp xài tốt có ngăn đông mền tiện dụng","2","5"
"sp xài tốt đẹp","2","5"
"sp xài tốt mẫu mới đẹp","2","5"
"sản phảm xài đc","2","4"
"sản phẩm xài được tốt","2","5"
"sp xài tốt sẽ trải nghiệm tính ănng ngăn đông mềm","2","5"
"sp xài tốt xài ok","2","5"
"sp tốt đầy đủ tính năng hiện đại cso cấp ngăn đông mềm tiện lợi","2","5"
"Sản phẩm sử dụng điện tiêu thụ ít","2","5"
"hàng ngon giá tốt","2","5"
"Nói chung là ổn, Viền cách nhiệt mỏng tăng thể tích - ngăn đông mềm linh hoạt ổn.","2","4"
"Sản phẩm dùng tốt, mọi thứ sài ok","2","5"
"Độ lạnh cũng tốt, êm, mới dùng thấy cũng được Tính năng viền cách nhiệt mỏng tăng thể tích - ngăn đông mềm linh hoạt rất tiện ích","2","5"
"Sản phẩm dùng tốt","2","5"
"tủ lạnh chạy tốt","2","4"
"sản phẩm dùng tốt","2","5"
"sản phẩm dùng ok","2","5"
"sản phẩm tốt, dùng ok","2","5"
"Nói chung đội ngũ bên điện máy xanh chăm sóc khách hàng rất tốt tận tình chu đáo còn bên hãng sam sung không thể chấp nhận được","2","5"
"Tủ chạy êm, hàng mới mua nên chưa biết có tốn điện hay không. Làm đá lâu","2","4"
