"data","label"
"Máy lạnh mua dc 1 năm thì cục nóng bị thủng dàn xì hết gas lỗi thủng dàn nghiêm trọng mà gọi bảo hành thì nhân viên xuống ú ớ không check rõ đc lỗi mình còn phải tự thử bơm gas mới phát hiện ra lỗi xì gas thủng dàn nóng . Nv hãng xuống đổi dàn nóng thì hãng làm việc chậm trễ thời tiết nóng mà chờ mãi không thấy hãng gửi đổi cục nóng thay thế cho khách sử dụng","0"
"Máy của tôi đã lắp mà không được nhân viên Tận Tâm không hút chân không như đã giới thiệu","0"
"may lanh sao on qua co khac phuc duoc khong","0"
"Lúc mua dùng 1 tuần cụm nong rất ồn, sau đó thì liên hệ bảo hành và được đổi cụm nóng khác, vừa mới đổi cụm nóng xong. Mà thời gian liên hệ rồi được đổi thì cũng gần 2 tuần. Đổi xong hết ồn liền. Đánh giá ĐMX về thái độ rất tốt,nhiệt tình, báo ồn thì liên hệ liền.Nhân viên trung tâm bảo hành cũng ok, nhiệt tình, mà lên bảo hành lại đổ thừa cho cái máy lạnh khác của nhà tui ồn chứ ko phải cái máy Aqua ồn.Nói chung là máy ổn, làm lạnh nhanh lắm, nhiệt độ lạnh hơn so với dòng Samsung đang dùng ở nhà.","1"
"Máy lạnh chạy ù ù ồn quá ngủ ko được, có cách nào cho chạy êm hơn không","0"
"Mua gần 2 tháng máy chạy lúc kêu lúc không, kêu như máy cày, gọi BH thì nói máy bình thường, BH xuống 2 lần vẫn ko khắc phục được đến giờ vẫn kêu ầm ầm","0"
"Máy mới mua mà chạy kêu như máy cày","0"
"Lúc mua thông tin máy ghi mức tiêu thụ điện 0,87 kw/h Về dùng tiền điện tăng nhiều gấp mấy lần lúc nhà kg có máy lạnh,tăng khoảng 6700k tiền điện sau khi lắp máygọi nv xg kiểm tra đo thì nv báo mức tiêu thụ điện 1kw/h, nv nói trên máy ghi 2,6kw/h ,nếu đo trong vòng 1h sử dụng có 1kw là kg bị vấn đề gì.vậy ac LH lại tư vấn dùm e vấn đề này với.cảm ơn","0"
"Ok","1"
"May lanh mua duoc hon 3 thanh sao gio lanh yeu qua ban oj","1"
"Máy lạnh dsd nhưng sử dụng rất tôt. Hài lòng","1"
"Rất ok","1"
"Ok","1"
"Mua chưa được 2 tháng, giờ máy cứ lỗi lên lỗi xuống. Cục nóng lúc chạy lúc không, gọi nhân viên bảo hành xuống thì kiểm tra qua loa xong bảo máy chạy bình thường ko vấn đề gì. Mua hàng ĐMX cũng nhiều rồi, nhưng đây là lần đầu tiên cảm thấy thất vọng về dịch vụ chăm sóc khách hàng bên ĐMX","0"
"Cục nóng của máy kêu ồn quá, trong phòng nghe ồm ồm luôn ý. Có cách nào khắc phục không .","0"
"Mua về có dùng được đâu mà tốt hay không tốt ạ","0"
"Bị rè khi bật chế độ quạt mạnh","1"
"Ok. Trước mắt thấy chạy ổn, êm. Giá phù hợp.","1"
"ok","1"
"Máy lạnh e xài khi hoạt động cánh quạt bị rè tạo ra âm thanh lớn có cách nào khắc phục k ạ","0"
"Cục nóng bị chảy nước cần người tới kiểm tra.. liên hệ điện máy mà khôg ai trả lời","0"
"Cục nóng kêu như máy cày Sai lầm khi mua máy này","0"
"Ok","1"
"Sản phẩm rất tốt","1"
"Sản phẩm chạy êm,mát mẻ và ít tốn điện.","1"
"Mua để đó cho khách sài.Chứ mình cũng chưa dùng","1"
"Bên lắp đặt lắp model cục lạnh và cục nóng khác nhaunhư trong hình mà vẫn lắp cho khách cho được. Với lại không biết những đánh giá sản phẩm trên web dienmayxanh.com này như nào, nhiều bài viết đánh giá máy chạy tốt, làm lạnh nhanh nhưng khi tôi dùng thì gần như hơi lạnh k có chỉ có gió thổi là nhiều, làm lạnh phòng rất lâubật 16 độ sau 6 tiếng bắt đầu mới thấy rét. Và cũng hỏi là hơn 150 đánh giá trên web đmx về sản phẩm này có thực sự là những đánh giá thật của người thật hay chỉ là những đánh giá ảo, rate fake để dẫn dắt người mua mua hàng không vậy","0"
"Mua 6 tháng bảo hành 2 lần chưa xong","0"
"Khuyên mọi người đừng mua máy này. Của mình mới mua được tháng nó kêu như máy cày vậy.","0"
"Máy thì tốt nhưng nhân viên thì ko hài lòng","1"
"Tốt","1"
"Máy lạnh mới lắp nhưng sử dụng không mát, nhân viên không hút chân không","0"
"Máy chạy ồn quá ạ","0"
"Mình cũng mua của ĐMX máy lạnh thì ok còn cực nóng nó kêu như máy cày dù đã đt bên ĐMX cũng đã đến xem như cũng âu vào đó nếu bt trước cục nóng ồn như máy cày thì mình đã ko mua loại này","1"
"Rất tệ không làm lạnh gọi bảo hành thì hẹn 3 ngày sau đến hẹn 5 ngày để hãng bh không hiểu kiểu j mua cũng 89tr chứ có ít gì khônh biết nóng nực hay gì á niếu không đc thì đổi cho ng ta đi thà hẹn một lần chứ đừng có kiểu hẹn hai ba lần sản phẩm thì ok còn bảo hành rất tệ còn nói bảo hành 730 ngày hư đổi các kiểu tệ hơn chữ tệ","0"
"máy chạy êm, tốt nhé","1"
"máy mới mua về dùng chạy đang tốt, sẽ theo dõi thêm","1"
"dùng rất tốt","1"
"máy chạy êm, dùng ok nhé","1"
"sản phẩm tốt, chạy êm","1"
"Máy làm mát nhanh, chạy êm, nhưng cục nóng ồn quá, có cách nào khắt phục không","1"
"Cục nóng hơi ồn....nếu biết ồn v không mua đâu","0"
"Thiết kế đẹp, máy chạy êm, vừa túi tiền","1"
"Làm lạnh nhanh, lạnh sâu","1"
"máy xài êm, mát","1"
"OK tốt ak","1"
"Máy kêu quá lớn","0"
"Máy ồn như máy cài","0"
"Máy lạnh e xài khi hoạt động cánh quạt bị rè tạo ra âm thanh lớn có cách nào khắc phục k ạ","1"
"Cục lạnh xài êm, làm lạnh nhanh. Giá 8tr7 phát sinh thêm 3m ốbg đồng 170k 1m. Cục nóng có khi hơi ồn. Đã mua 2 cái","1"
"Cục nóng máy lạnh kêu to quá, có cách nào khắc phục k ạ","0"
