"data","label"
"Cho em hỏi cửa hàng mình có nhận vệ sinh + tra keo tản nhiệt cho laptop không ạ","1"
"mình mua máy tầm tháng 10/2025 đến nay tháng 7/2026 thì sài xem thì loa máy bắt đầu bị rè thay lỗi thay sao ấy , mình phải thoát ra rồi vào lại mới hết , lo rè rất ồn và khó chịu , máy thì có 1 quạt nên sài rất rất rất là nóng mọi người lưu ya trước khi mua , theo mình thì không đáng tiền mua lắm .","0"
"Máy pin tụt nhanh. Không cắp sặc sài tác vụ thông thường tầm khoản 1 tiếng là hết pin. Pin quá yếu. Máy 1 quạt nên xử lý tác vụ nặng rất nóng. Gpu bị bóp còn 45w nên không được mạnh lắm","0"
"Mình mới mua máy tháng trước 19/03. Có chọn gói khuyến mãi gói Microsoft 365 Personal 1 user 32bit/x64 All Languages APAC EM. Có nhờ nhân viên nhập key cho mình vào tài khoản microsoft nhưng nay mở word lên báo active key. Thì mình liên hệ ai để được hỗ trợ ạ. Vấn đề là mình truy cập xem lại chi tiết đơn hàng mua key thì ko có lưu key mình đã mua nên không có cách nào check lại.","1"
"Sao chơi game đột kích nó bị văng ra khỏi màn hình thế á , khó chịu thật sự","1"
"Cho em hỏi chiếc này Win 11 là bản quyền đúng không ạ. Nay máy tính báo activate window.","1"
"máy mới mua nhưng mỗi lần quạt tản nhiệt khởi động phát tiếng tẹc","0"
"Pin sao nhanh hết quá z có cách nào khắc phục hk","0"
"pin nhanh tụt quá","1"
"Máy choi game nóng qa","1"
