"data","label"
"Máy của anh bị chảy nước","1"
"Tốt","1"
"Cục nóng kêu rất to","0"
"Êm ạ","1"
"Ok","1"
"máy chạy êm, tốt nhé","1"
"máy chạy tốt, ổn, giá tiền phù hợp","1"
"máy bình thường, không có gì đặc biệt","0"
"máy xài ngon, tốt hơn mấy hãng khác mình đã dùng","1"
"máy bình thường, tạm được, ổn","0"
"máy xài rất tốt","1"
"nv tư vấn nhiệt tình, máy chạy êm","1"
"máy xài rất tốt, mình cho máy 5 sao","1"
"máy xài ổn định, bình thường","1"
"xài cũng được, bình thường","1"
"phòng nhà mình rộng nên máy lắp vào không thấy mát lắm nhưng mà máy chạy êm","0"
"máy chạy êm","1"
"máy hơi hao điện","1"
"xài cũng được, bình thường, không có vấn đề gì","1"
"mình đang xài thấy bình thường, tốt","1"
"tốt, ổn định","1"
"Máy chay tốt, mát","1"
"mình gắn máy trong phòng khách, cũng ít sử dụng, khi dùng thì thấy máy chạy cũng êm, mát","1"
"máy mới mua về dùng nên mình cũng chưa đánh giá kỹ được nhưng tạm thời máy chạy ổn, chưa phát sinh gì","1"
"nói chung máy mua về dùng tốt","1"
"máy chạy nhanh lạnh, êm, còn lâu dài thì chưa biết , tạm thời mình cho 5 sao","1"
"máy lạnh chạy êm, mát","1"
"máy xài tốt. không có gì phát sinh","1"
"đánh giá về sản phẩm thì mình thấy máy chạy tốt, mát","1"
"máy tốt lắm","1"
"máy chạy êm, xài được","1"
"nói chung máy dùng tốt","1"
"máy xài bình thường, nhưng mà hơi hao điện","0"
"máy dùng tốt, ok","1"
"máy xài ổn định, tốt","1"
"bình thường, tốt, chạy êm","1"
"bình thường, ổn","1"
"máy mình mới mua về, mình đi công tác nên cũng ít dùng nhưng thấy máy chạy ok, tạm thời mình cho máy 5 sao","1"
"Mình xài thấy máy chạy tốt, mình có giới thiệu cho người quen mua cũng hãng này, ok nhé","1"
"Máy chạy êm, tốt, ok nhé","1"
"Máy xài bình thường, ổn, mà mình thấy hơi hao điện, mình sẽ theo dõi thêm","1"
"Máy mình mới mua mấy tháng thấy chạy bình thường, ổn, sẽ theo dõi thêm","1"
"Máy xài rất tốt, êm, mình cho 5 sao","1"
"trời nóng quá nên mình mua máy về xài, máy chạy êm, ok lắm","1"
"Máy mình mới mua, mình cũng ít xài nhưng thấy chạy êm, tốt","1"
"Máy tốt, ok nhé","1"
"Ổn","1"
"Đã dùng được hơn tuần, máy làm lạnh nhanh, đội ngũ lắp đặt nhiệt tình, đúng kỹ thuật,","1"
"Mát lắm","1"
"Sản phẩm tốt","1"
"máy sử dụng tốt","1"
"","1"
