"data","label","num_stars"
"thái độ nhân viên kĩ thuật rất thái độ vs khách của mình, mình có mời nước 2 bạn kĩ thuật nhưng họ nhìn vào chai nước nhưng rất lâu họ mới nhận chai nước mình đưa làm cho mìn rất không thích thái độ đó, thậm trí còn nạt nộ khách của mình để mình phải đích thân mình đi xin lỗi khách của mình, rất mong 1 lời giải thích từ nhiên viên KT nói riêng, và Cty Điện Máy Xanh nói chung","0","1"
"Đặt hàng tối hôm trước sáng hôm sau muốn chuyển sản phẩm khác bắt mua chênh với giá tại cửa hàng gần 2triệu chênh so với bên ngoài gần 4triệuHuỷ thì bắt trừ hơn 400 hoàn tiền 57 ngàyKiểu ép buộc ý, ngày khủng bố liên tục điện thoạiNói thật mọi người ra ngoài mà mua","0","1"
"Mình muốn vệ sinh máy lạnh thì gọi sdt nào ạ","1","3"
"Máy lạnh êm để nhiệt độ 26 27 là mát, cục nóng kêu hơi to","2","4"
"Mấy ngày đầu mát lạnh nhanh, mấy hôm sau ni thấy kh mát lắm vs cục nóng kêu hơi to","2","4"
"Máy chạy êm mình dùng 1 năm rồi mới đánh giá. Quan sát đồng hồ điện thì 1kg/tiếng. Cũng ko rõ là tốn điện k, máy lạnh, thường là mở 28 là lạnh rồi","2","4"
"1 tháng trai nghiệm thì hiện tại tui thấy rat hài lòng Chac do tui hên tui thấy moii thứ tốt","2","5"
"Bảo hành bên TCL quá tệ, báo lỗi thì nói nếu giờ xuống kiểm tra mà không phải lỗi của nhà sản xuất thì mất phí kiểm tra 500k Là sao Đáng lý mình báo lỗi thì bên điện máy xanh phải xuống kiểm tra xác nhận lỗi chứ , đằng này kêu mình xuống kiểm mà k phải lỗi nhà sản xuất thì mất 500k tiềm phí . Như vậy thì sao chấp nhận được. Cần lời giải thích của cửa hàng","0","2"
"Nói chung lạnh cũng ok chỉ tội tín hiệu với remote yếu mới dùng 1 tháng mà có lúc bật 16 độ mà ko thấy lạnh phải ngắt cầu dao khởi động lại vài lần chẳng hiểu lý do . Mình nghĩ ai coa nhu cầu nên mua aqua sẽ ok hơn","1","3"
"Xem giùm mình sao đơn hàng 00006SO xxxx0851769 Mình mua có chuyển đổi trả góp mà chưa thấy đã 14 ngày rồi hỏi bên chăm sóc khách hàng thì nói chỉ 7 ngày và kêu chờ phản hồi khongk biết tới khi nào","0","1"
"có bất tiện về đèn nền của điều khiển điều hoàkhông giống như các hãng khác khi nhấn nút là đèn nền sáng mà con này phải nhấn giữ tầm 35s mí sáng quá bất tiện","2","4"
"Mạnh lạnh sâu êm mỗi tội cánh đảo gió tỏng ko hoạt động","2","5"
"Chạy rất tốt, gias rẻ laij được app mã khuyến mãi nữa, rẻ hơn chổi khác có chính sách sau bán hàng tốt ,lần sau sẽ ứng hộ và giới thiệu bạn bè nữa, cám ơn điện máy xanh","2","5"
"máy mạnh, mát nhanh. mua 1.5hp diện tích phòng nhỏ rất lạnh luôn. mới dùng đang ổn về sau chưa biết nha","2","4"
"Bảo hành cực tệ","0","1"
"Bị chảy nước cục nóng.gọi hoài hứa sẽ qua đổ lổi không nghe điện thoại.tôi mới mua chưa được 2 tuần đã như vậy rồi vài tháng sau nó mà có hư hỏng gì chắc tự bỏ tiền ra mà sửa","0","1"
"Có thể nói là ngon bổ. ,rẻ","2","5"
"Máy chạy êm. Mát lạnh","2","5"
"Không lạnh lắm chắc do phòng rộng","1","3"
"máy 1.5 nhưng có vẻ yếu hơn mấy hãng khác. làm lạnh lâu","1","3"
"Với phân khúc này, tầm giá này thì tôi thấy máy chạy rất ổn định, lạnh rất nhanh, cục nóng chạy rất im không nghe tiếng ồn như nhiều bạn nói. Có thể là máy mới, về lâu dài chất lượng thế nào Chờ mình trải nghiệm tiếp...","2","5"
"Máy chạy tốt, ổn định, không biết lâu dài thế nào","2","4"
"Máy lạnh nhanh , lúc đề lên mấy rất êm không nghe tiếng ồn","2","5"
"ok ổn không tốn điện lắm","2","4"
"chạy oke. cục nóng hơi ồn. mà dòng này chạy hơi hao điện đấy nhé","2","4"
"Máy cực kì tệ hại, không nên mua, máy 16 độ không mát bằng máy 27 độ của hãng Funiki đang dùng dù cùng công suất, cùng kích thước phòng. Chăm sóc khách hàng không hỗ trợ được nhiều, mất thời gian giản quyết gần 1 tuần vẫn không được kết quả phù hợp.","0","1"
"Giá cả cạnh tranh hàng hàng đẹp","2","5"
"máy lạnh làm lạnh nhanh","2","4"
"Cục nóng hơi kêu, mong dịch vụ xuống xem hộ mình ạ","1","3"
"Máy chạy êm rất ok","2","4"
"Không bằng máy 9000BTUGa ít cục nóng bé tí , có sự cố máy vẫn hoạt động bình thường","0","2"
"Sài hôm giờ được hơn 2 tuần. Thấy khá ổn","2","5"
"Máy bị kêu lách tách khi hoạt động","1","3"
"tôi đã cọc 599k khi giao hàng đến vẫn thu cả tiền cọc k nhận sẽ mang về , và hiện tại tôi vẫn chưa được hoàn trả số tiền là 599k","0","1"
"Mệt mỏi với chính sách chăm sóc khách hàng của ĐMX và hãng TCL, liên lạc từ 9.5 lịch hẹn từ hệ thống 8h, 18.5.2025Nhưng chưa hề có 1 liên lạc nào để biết thời gian cụ thể.Mình mua máy TCL từ cuối năm 2023, chính sách bảo hành thì được niêm yết đầy đủ trong miêu tả sản phẩm. Tuy nhiên, chỉ 56 tháng sử dụng thì máy bị lỗi bo của dàn nóng theo kiểm tra của kỹ thuật ĐMX. Tuy nhiên, khi CS của TCL liên lạc thì cứ xoay quanh vấn đề do chưa vệ sinh máy lạnh trong vòng sau 3 tháng và kỹ thuật TCL có xuống kiểm tra xác nhận cùng vấn đề mà máy đang gặp phải do lỗi bo dàn nóng. Sau đó CS của TCL có liên lạc để hẹn 34 ngày sẽ có liên lạc đổi mới. Tuy nhiên, tôi vẫn ko hài lòng về cách CS của TCL luôn đổ cho khách hàng rằng chưa vệ sinh máy theo định kỳ, trong khi cả kỹ thuật TCL và ĐMX đều xác định vấn đề ko liên quan đến vệ sinh máy. tôi có thể trả tiền để vệ sinh và kiểm tra, miễn sao nhanh gọn trong cái thời tiết nắng nóng hiện tại, chứ tôi ko cần sự trì trệ và đổ lỗi.Tuy nhiên đến tận hôm nay hơn 1 tuần vẫn chưa có bất kỳ thông tin gì.Trước đây mình có đặt 1 máy Daikin của ĐMX thì sau gần 1 năm máy gặp vấn đề vẫn được xử lý sữa chữa, thay mới nhanh chóng trong ngày. Bên cạnh đó, chính sách bán hàng nêu rõ 1 đổi 1 do lỗi kỹ thuật trong 1 năm. Ấy vậy mà ĐMX và TCL đều có cùng câu trả lời 1 đổi 1 lỗi trong 1 tháng. Vậy hợp đồng thương mại của ĐMX và TCL quy định như thế nào","0","2"
"Máy chạy không ổn định. Mới đầu bật lên lạnh nhưng về sau không mát nữa, phải gọi kỹ thuật nhờ kiểm tra rất nhiều lần. Gọi TCL yêu cầu bảo hành thì hẹn mập mờ không cho ngày giờ cụ thể đến lúc nào, đợi vài ngày khách hàng gọi điện nhắc thì tiếp tục hẹn và cuối cùng là không thấy đâu. Sản phẩm kém chất lượng, còn chăm sóc bảo hành rất tệ. Không nên mua hàng của hãng này","0","1"
"Máy hoạt động tốtlàm lạnh nhanh,chạy êm còn bền hay không cần thời gian..","2","4"
"Máy giao bị móp","0","2"
"Làm lạnh ok,","2","5"
"Êm nhất trong các hãng từng mua, không nghe 1 tiếng gì. Về kích thước máy lại thuộc dạng nhỏ gọn, nhẹ nhất.","2","5"
"Sp tốt máy chạy êm,nhanh mát","2","5"
"Chưa gì đã bị chãy nước của cục nóng rồi mà kêu xuống coi không ai xuống","0","1"
"Các thợ lắp bảo máy này bềnGia chủ cảm thấy làm lạnh nhanh sâu","2","5"
"Mình thấy 1.5 HP tcl làm lạnh tốt, khá nhanh cục nóng chạy êm. Nước ra cũng không nhiều lắm. Tuy nhiên dùng máy lạnh độ ẩm sẽ rất thấp, mọi người nên tăng cường thêm độ ẩm trong phòng.","2","4"
"Mát lạnh phù hợp với những ngày nắng nóng","2","5"
"Máy làm lạnh lâu, muốn đổi hiệu khác được không Nhân viên lắp ráp không để cục nóng treo trên tường mà bắt khách phải mua đế lót để cục nóng dưới sàn . Kêu nhân viên quay lại sửa, nhân viên đòi thêm phí sửa","2","4"
"Nhân viên lắp kiểu gì k hiểu luôn","0","1"
"Tôi mua được một tuần giờ muốn đổi qua máy khác thì làm như thế nào","1","3"
"Ad cho hỏi vì sao remote khi gắn pin vô thì có đèn nền, để lát nó tắt, sau đó nó không sáng nữa, nhấn nút nào cũng không thấy sáng","1","3"
"Mọi thứ tạm ổn nhưng cánh đảo gió bị kêu rất khó chịu. Nhân viên lắp đặt đi đường ống xấu quá","1","3"
"Hiện tại máy 1.5 xài cũng ok","1","3"
"Mới sài có 1 tuần tạm ổn so với giá này ..hy vọng sài lâu dài ok","1","3"
"Không lạnh ,báo nhân viên kt nói k sao mà máy k lạnh tí nào luôn , cách ứng xử nhân viên rất tệ","0","1"
"Mua từ 31/3. Máy ko lạnh, lúc đấy là máy đảo gió tự động đa chiều trên, dưới, trái, phải. Đến ngày 23/4 bảo hành xuống đổi cái mới, mẫu y chang, nhưng ko đảo chiều trái, phải chỉ đảo trên dưới còn trái, phải thì gạt tay. Báo về zalo cửa hàng ở ngã 3 Trị An, Trảng Bom, Đồng Nai thì bên đó bảo là mẫu này ko có đảo chiều trái, phải. Chỉ đảo chiều trên, dưới Làm ăn sống nhăn v Rất tin tưởng đmx, tgdd cho đến khi mua cái máy lạnh này. Thật sự quá tệ.","0","1"
"Đmx hẹn lịch bảo hành đổi mới cho tôi sao đến ngày hôm nay hơn 1 tuần rồi vẫn không có ai đến bảo hành vậy Mua nhiều thứ lắp đặt mới thì nhanh còn bảo hành thì cứ hẹn mãi không thấy đâu cả.","0","1"
"Rất hài lòng lam mat rất nhanh","2","5"
"sản phẩm tốt","2","5"
"Máy lạnh dùng rất tốt, nhưng chưa biết có tốn nhiều điện không hi","2","5"
