"data","label","num_stars"
"Hàng chưa dùng được 1 tháng đã lỗi làm lạnh ....Mua hàng nhanh . hàng lỗi thì đợi chờ .xử lý thì chậm chạp hỏi sao khách hàng không khó chịu","0","2"
"Máy chạy siêu êm, tiết kiệm điện, giá quá rẻ so với chất lượng","2","5"
"Rất ổn, chỉ là gắn ở phòng trọ tiếng hơi ồn thật, không khí cũng trong lành, lọc mùi được thiệt nha. Khá tiện vì miễn có 4g thì bật được trên điện thoại. Tiết kiệm điện thì cũng chưa đủ wow lắm","2","4"
"Máy làm lạnh nhanh, cục nóng chạy êm, kĩ thuật lắp nhiệt tình vui vẻ, có hút chân không kĩ,","2","5"
"Máy làm lạnh yếu ko đều","1","3"
"Máy hoạt động êm","2","5"
"Máy lạnh mới mua chưa dc 10 ngày mà mới đầu chạy êm nay chạy ồn quá trời. Nằm trong phòng mà cách 2 bức từng nghe kêu rè rè luôn","1","3"
"May làm lạnh nhanh,khong ồn lắm,phòng minh 16m2 ma lạnh ngon lành.remote va máy lanh nhin sang trọng va cứng cáp hơn máy caper.thấy okla rồi đó.độ bền thì thời gian moi biet dc,","2","5"
"Thật sự hài lòng, Bật máy tầm 5 phút là cả phòng đã mát đều, mà không hề bị ồn hay khó chịu. Ấn tượng nhất là khoản tiết kiệm điện. Dùng được một tháng rồi nhưng tiền điện không bị tăng quá nhiều.","2","5"
"Thương hiệu mới nhưng xài rất ổn định, tiết kiệm điện thấy rõ. Mát dễ chịu, không bị khô, bật cả đêm mà rất êm ái","2","5"
"Xài máy lạnh này rồi mới thấy khác biệt rõ rệt, phòng mát cực nhanh mà không hề bị khô da. Máy chạy siêu êm, hầu như không nghe tiếng gì luôn. Ngủ cũng ngon hơn","2","5"
"Máy êm lạnh nhanh giá cũng ok","2","5"
"Máy lạnh dùng rất ok, êm ru à, làm lạnh nhanh, không ngờ giá bình dân mà sở hữu dòng máy lạnh thương hiệu Châu Âu êm vậy luôn, tiết kiệm điện quá trời, có kết nối wifi với điện thoại khá tiện","2","5"
"Lắp ráp xong chưa đc 24h, tôi muốn thay đổi vị trí cục nóng mà định tự làm thì thợ báo không được tự ý đụng vào dây đồng sợ sư hỏng, hẹn thợ đmx vô chuyển giùm thì mất phí 400k chưa kèm vật tư phát sinh. Quá thất vọng về thái độ chăm sóc khách hàng của dmx. Đây là lần cuối cùng tôi mua hàng ở đây.","0","1"
"sao thợ lắp không hút chân không j hết làm thì nhah nhah cho xog rồi đi","1","3"
"Mình lắp cục nóng trên máy nhà . Không thấy đmx tặng cặp EKE như đã nói . Cục nóng chạy cũng ồn không biết là do trên máy nhà hay như nào .","2","4"
"Mình mua 2 máy 1 lúc nv tới lắp nhưng không hút chân không. Nv nói đường dây ngắn nên không cần hút chân không. Máy lạnh hiện tại độ lạnh không sâu mong a chị xuống ktra lại dùm e","2","4"
"Sam pham ko lạnh. Nhan viên kiem tra thi noi binh thường khach hàng ko su dung dc vẫn ko thay doi ji chán","0","1"
"Thợ j gán máy lạnh nghiên một bên khi khách nói thì bảo gán như vậy cho nước chảy ra Máy lạnh nào mà gán nghiên 1 bên vậyCon keu về gắn cao lên khỏi gèm 1 tất thì bảo không được gắn theo ý tư vấn tao lao","0","1"
"Sao em ko thấy hút chân không là sao vậy ac ơi","2","4"
"Máy êm không ồn, không có lỗi lầm, dùng ứng dụng trên điện thoại rất tiện, nhưng cảm thấy mát không được sâu lắm, nhưng nói chung là tốt, không biết lắp ráp có hút chân không chưa nữa, mong không gặp trục trặc gì","1","3"
"tại sao không sài mà vẫn tiêu thụ điện ngày 0,06kwh vậy","2","4"
"Hôm bửa a mua máy lạnh bên e nói là bao lắp đặt và hút chân không nhưng khi thợ đmx qua lắp đặt xong hết. mà sao a ko thấy hút chân không là sao vậy","0","2"
