"data","label","num_stars"
"hàng kém chất lượng","0","1"
"Mới mua về được 1 ngày, máy bị nhiễu nước...nhân viên lên xuống xử lý N lần...sau đó hãng cho thay linh kiện. Tình trạng tiếp theo là máy chạy rất ồn, lại xuống xử lý theo dõi tiếp....liên hệ tổng đài ĐMX thì đẩy qua hãng...Thất vọng với dịch vụ DMX và dịch vụ của hãng. Mua từ ngày 1/5/2025 đến ngày 22/05/2025 vẩn chưa xử lý thoả đâng cho khách hàng.","0","1"
"Tủ lạnh gì mà ngăn mát k mát để kiến bò vô cả tủ chán k nói nên lời . Bỏ tiền ra mua mà nhận về hàng kém chất lượng","0","2"
"Máy mới mua, không đông đá, đổi cái mới chạy 1 tuần cũng chưa có cục đá nào uống, ngăn mát cũng tương tự, ngăn nước ướp lạnh mà như uống nước lọc. Cuối cùng đổi luôn hiệu khác bị phạt hết 20% mặc dù thời gian đổi mới 15 ngày đầu.","0","1"
"Ngăn đá k đông. Ngăn lạnh k lạnh. Bảo hành rùi vẫn bị vậy. Rất bực mình luôn. Vui lòng giải quyết sớm giúp tôi. Hoặc có chính sách nào hỗ trợ đổi hàng khác không","0","2"
"Sản phẩm ok","2","5"
"Dung đươc 1 3 thang thi ngăn lanh không lanh ngăn đông không đông goi bao hanh thi hen lên hen xuông ca thang nay. Bât tiên vô cung. Luc mua thi hoi nhân viên sao tu lanh nay nhiêu đanh gia k tôt vây, giai đap đu thư đê minh yên tâm giơ cha biêt noi sao luôn qua thât vong hôi hân khi mua","0","1"
"Mới mua . Quạt kêu như máy lúaLh bảo hành ko nghe máy","0","2"
"Hàng dùng tốt nói chung là cũng cần thời gian sử dụng nữa","2","5"
"Lúc mới chạy nghe có tiếng kêu, hoạt động bình thường lại thì rất im lặng. Good","2","5"
"Dùng đôi tháng thì bong roong cao su Dùng đc hơn 1 năm thì chết lạnh gọi đmx thì nhân viên đến bảo chuyển cho hãng , gọi hãng thì chờ cả tuần k thấy nhân viên đến gọi lên tổng đài hangz cũng chỉ ậm ừ bảo báo chi nhánh . Cạch hãng này ra nhé dịch vụ quá tệ","0","1"
"Ngăn đông mềm không có tác dụng. Rất bực mình .ko nên mua máy này . Khuyên chân thành.","0","2"
"Lâu lâu lại kêu rè rẹt chỗ mặt sau tủ trên chỗ cánh quạt , gọi bảo hành vào chữa chữa mà sau vẫn bị như vậy , máy kém chất lượng.","0","2"
"Xai rât tôt","2","4"
"tủ lạnh dùng tốt","2","5"
"Khuyên chân thành không nên mua loại này nhé điện máy xanh làm ăn mất uy tín quá. Bán hàng hư cho người ta ban đầu mua về thì bị lỗi roan không khớp ngăn đông. Được đổi lại cái khác thì ngăn đông bị lỗi không đông và đông chậm kỹ thuật xuống kiểm tra thì nói do mình bỏ nhiều đồ ngăn lại nhưng thật sự tủ rất ít đông và ngăn mát thì không mát ngăn đông mềm ko có tác dụng không đông không mát gì hết lại còn bị lỗi kêu to rất toa gầm gầm tạch tạch. Kỹ thuật xuống đo thì nói vẫn nằm trong thông số xuỗng rồi lại về đâu lại vào đây mình sài tủ lạnh bao nhiêu năm chưa hề gặp trường hợp như vậy. Thật sự quá thất vọng về Toshiba và Điện máy xanh nếu có 0 sao mình cho 0 sao luôn","0","1"
"Xài được 3 tuần tự nhiên không lạnh cả ngày qua hôm sau lại lạnh kêu rất to","0","2"
"Sản phẩm kém chất lượng","0","1"
"Tủ bị lổi đóng tuyết kẹt quạt kêu như máy cày mà khi nhân viên toshiba đến kiểm tra thi nói là tại thời điểm ktra ko nghe kêu rui thao tủ ra thi bị đóng đá mà bảo la tủ ko lổi rui do bị ẩm.. lý do các kiểu nhưng khi hỏi độ ẩm bao nhiêu la chuẩn thi ko trả lời đc nói chung là kỹ thuật hãng quá tệ và từ nay se nói ko vơi toshibaVà mìn đã chấp nhận mất 20% phí để đổi dòng khác. Góp ý thêm cho DMX la trong 1 thang nếu tủ lổi thi cho đổi dòng khác và ko mất phí luôn đi chứ ko ai muốn sdung lại thuong hiệu lổi dù là đã đổi spham khác","0","1"
"Sản phẩm tốt, ưu đãi tốt khi mua online. Nhân viên vui vẻ , 10 điểm","2","5"
"Máy chạy tốt","2","5"
"Hài lòng với sp","2","5"
"Còn một số vấn đề chưa ok","2","4"
"Tiện .tốt .thân thiện.","2","4"
"Hôm trước sau khi giao hàng thì 2 bên không kiểm tra kỹ khay chứa nước lấy ngoài (bị nứt nên không thể chứa nước nên không thể trải nghiệm tính năng lấy nước bên ngoài ,đó là điểm nhấn của sản phẩm, nhưng đã được bảo hành 1 đổi 1 vào 2 ngày sau, tôi đánh giá cao trách nhiệm của bộ phận bảo hành sản phẩm","2","4"
"Sản phẩm tốt, Nhân viên nhiệt tình! Chúc điện máy xanh ngày càng nhiều khách hàng lựa . Cảm ơn!","2","4"
"OK. Dmx hỗ trợ rất tốt khi có vấn đề. Luôn mua sp bên dmx giá cao nhưng chất lượng phục vụ quá OK, cần nhất thái độ phục vụ. Chỗ khách mua đồ mùa thêm cục tức","2","5"
"Nhân viên giao hàng thân thiện Hàng hóa chất lượng và ko bị lỗi","2","4"
"Máy chảy ổn rất em làm lạnh nhanh.","2","5"
"Sản phẩm tốt","2","4"
"Tủ lạnh made in ThaiLand có khác, lúc khởi động máy chạy ồn nhưng 24h sau rất là im, nhờ công nghệ inverter tủ tầm trung mà rất tiết kiệm điện, tủ có lấy nước ngoài rất tiện lợi,nv giao hàng thân thiện ok, mua online giá hời chưa đến bảy củ. Tks đmx","2","5"
"Nhà mình mua từ này từ 21/3/2022, dùng được vài tháng đã phải đổi máy mới do lỗi không đông đó mn. Rồi lại dùng máy mới gần một năm thì cũng bị y chang. Mà lần này gọi điện bảo hành thì đuọc ktv tới xem xong bảo sẽ đem máy về sửa, cũng gần 1 tuần rồi mà vẫn chưa thấy tới đem tủ đi, cũng không thấy liên hệ phản hồi lại gì cả. Tệ thật chứ 🙂","0","1"
"Sử dụng được","1","3"
"Khi đưa về sử dụng 2 -5ngay đầu ngăn lạnh không lạnh và ae kỹ thuật xuống cùng không xữ lý được tới 7ngày mới bắt đầu lạnh.","0","2"
"Hiện tại mới nên đang chạy êm k tiếng ồn. Thời gian sẽ kiểm chứng tiếp","2","4"
"Ngăn tủ đông dung tích hơi bé","1","3"
"quá tệ với dịch vụ của dmx","0","1"
"Ban lê cua bi giat điên.luc chay rat ôn","0","2"
"Giao sản phẩm chầy xước","0","1"
"Rất hài lòng","2","5"
"Giao hàng nhanh","2","5"
"Tủ mát chia hơi nhiều ngăn, khoảng cách giữa các ngăn hơi thấp 1 chút","2","5"
"Cơ bản ổn định","2","4"
"Máy dùng ổn định","2","4"
"Rất hài lòng","2","5"
"Tủ lạnh to đẹp nha mn","2","5"
"Bị bung roon ngăn đông lạnh. Nhờ Điện Máy Xanh bảo hành giúp Tôi","0","2"
"Tốt , máy làm lạnh ok giữ thực phẩm luôn tươi ngon. Cám ơn hãng tủ lạnh Toshiba và Điện máy xanh.","2","5"
"Nếu thêm cho khách hàng một món quà tặng thì sẽ thấy vui vẻ hơn vì dịp gần tết - xxxx928396","1","3"
"tôi mới mua tủ lạnh hôm 19/1, chiều 21/1 tôi đổ nước vào khay đựng nước, tối 21/1 đến sáng 22/1 nước rò rỉ từ vòi lấy nước cả đêm, mới sáng m1 tết đã phải dọn dẹp lau sàn, mà điện máy xanh mùng 4 tết mới làm việc lại, muốn xử lý cũng không biết kêu ai,","0","1"
"Máy chạy êm","2","5"
