"data","label"
"Đã nhận được hỗ trợ ... Rất tuyệt vời","1"
"Sản phẩm tốt. Hình ảnh ,âm thanh tốt.","1"
"tivi mới dùng thấy chưa có vấn đề gì","1"
"dùng bình thường, ổn định","1"
"tiếng nghe êm, hình ảnh sắc nét","1"
"đang sử dụng bình thường, không có vấn đề phát sinh","1"
"tivi dùng tốt, đẹp, âm thanh hay","1"
"mình dùng đa số là sản phẩm của Sony, Sony dùng tốt ok","1"
"Hình ảnh sắc nét, âm thành hay","1"
"Hình ảnh nét đẹp, âm thanh hay","1"
"màu tivi không đẹp, âm thanh thì nghe hay","1"
"màu sắc thì đẹp, nhưng âm thanh nghe tạm, không được trầm ấm","1"
"tivi dùng ổn","1"
"tivi không có vấn đề gì, màu đẹp, âm thanh rõ, lâu lâu bị lag","1"
"Màu sắc và chất lượng đẹp","1"
"Hình ảnh đẹp, trung thực và rõ nét","1"
"Hình ảnh sắc nét, thực tế, âm thành sống động","1"
"tivi dùng bình thường, tốt","1"
"về màu sắc cũng như âm thanh thì tất cả đề tốt","1"
"Chất lượng hình ảnh tốt, dùng tốt","1"
"tivi xem tốt, âm thanh nghe rõ","1"
"tốt, chưa có vấn đề gì","1"
"màu sắc rõ nét, âm thanh nghe tốt","1"
"màu cũng đẹp, tivi xài bình thường","1"
"âm thanh nghe hay, nhưng màu sắc của tivi không được sáng lắm","1"
"đang dùng rất tốt, màu đẹp, màn hình sáng, coi đá banh tốt, nhưng thỉnh thoảng bị lag","1"
"cũng được, dùng bình thường","1"
"Hình ảnh đẹp, trung thực và rõ nét","1"
"tivi mới mua nên dùng tốt, oke","1"
"Hình ảnh nét đẹp, Âm thanh rõ","1"
"tốt, tivi xài ổn định","0"
"Ti vi chạy tôt hình ảnh đẹp","1"
"mình mới mua tivi về thấy xài ok , tốt, hy vọng dùng được lâu dài","0"
"sản phẩm tốt, cho 5 sao","1"
"tivi dùng bình thường, tốt","1"
"dùng bình thường, hình ảnh đẹp, trung thực và rõ nét","1"
"nhà đang dùng, cũng tốt, cho 5 sao","1"
"Màu sắc và âm thanh rõ","1"
"Chất lượng hình ảnh tốt","1"
"Mới dùng thấy chưa có vấn đề gì, tốt","1"
"bình thường, dùng ok, tivi dùng cũng được, không nét lắm","1"
"Hình ảnh sắc nét, âm thành sống động","1"
"tivi dùng tốt, mọi thứ đều tốt","1"
"sản phẩm tốt hết","1"
"Tốt rất ưng ý","1"
"Hình ảnh sắc nét, âm thành sống động","1"
"tivi dùng thì nét, tốt,","1"
"tốt, tôi rất hài lòng về sản phẩm ti vi này","1"
"Màu sắc và chất lượng đẹp","1"
"Nhìn chung ổn. Lâu dài thì chưa biết ntn","1"
"Sản phẩm tốt trong tầm giá, chưa được nét như mong muốn","1"
"Hình ảnh sắc nét, âm thành sống động","1"
"sản phẩm tốt mà, chất lượng","1"
"chưa có vấn đề gì, dùng tốt","1"
"sản phẩm tốt, chưa có gì phát sinh","1"
"ok, dùng tốt","1"
"Mới dùng thấy chưa có vấn đề gì, tốt","1"
"ổn, không có sự cố gì","1"
"Tôi rất hài lòng về sản phẩm ti vi này","1"
"màu sắc thì đẹp nhưng âm thanh hơi nhỏ","1"
"tivi dùng bình thường, không có vấn đề gì, tốt","1"
"tivi màu đẹp, sắc nét","1"
"tốt, hình ảnh đẹp, trung thực và rõ nét","1"
"Nhìn chung ổn. Lâu dài thì chưa biết ntn","1"
"tốt, chất lượng","1"
"mình mua về cũng ít dùng, nhưng mở xem thấy màu sắc đẹp, rõ","1"
"bình thường, dùng ok","1"
"đầy dủ chất lượng, tivi gần như hoàn hảo , tốt","1"
"Hình ảnh sắc nét, âm thành sống động","1"
"tivi dùng bình thường, không có gì phát sinh, sẽ theo dõi thêm","1"
"sản phẩm tốt, không có vấn đề gì","1"
"tivi dùng tốt, ok","1"
"tivi sử dụng bình thường","0"
"tivi xem đẹp, màu đẹp, mình mua cho mẹ xem là chính, ok nhé","1"
"Hình ảnh đẹp, trung thực và rõ nét, ok lắm","1"
"Mới dùng thấy chưa có vấn đề gì, tivi ok","1"
"tivi sony xài tốt, đẹp hơn nhưng hãng khác, hi vọng dùng được lâu dài","1"
"tivi dùng tốt, chất lượng, ok","1"
"Ti vi chạy tôt hình ảnh đẹp","1"
"tivi dùng mượt, tốt, không có gì","1"
"dùng tốt, sản phẩm tốt trong tầm giá","1"
"Màu sắc và chất lượng đẹp","1"
"Tôi rất ok về sản phẩm ti vi này","1"
"Hình ảnh nét đẹp, âm thanh hay, tivi dùng ok","1"
"tivi đẹp, Sony dùng tốt, mở tivi hơi chậm xíu","1"
"mình được bạn bè giới thiệu mẫu này, sony thì xài ok, đẹp","1"
"Hình ảnh nét đẹp Âm thanh hay","1"
"Sản phẩm hay bị lỗi giọng nói, đăng nhập mail và wifi rất chậm..xài time hay bị lỗi vặt lắm","0"
