"data","label","num_stars"
"Mới mua chưa dc 1 tháng giờ còn 9tr.","1","3"
"Tôi đặt compo có hút chân không mà không thấy thợ lắp đặt hút chân không bây giờ xì ga đống tuyết ống đồng ko thấy lạnh như lúc mới lắp mới lắp đc 4 ngày","2","4"
"Máy lạnh dàn nóng chạy êm, tiết kiệm điện, làm lạnh nhanh","2","4"
"Nhân viên lắp đặt không có máy hút chân không mà báo có hút rồi, lắp khay remote thì bị bể không ngay ngắn. Máy bật chạy ok, trãi nghiệm không được tốt","1","3"
"Rất tốt trong phân khúc giáChạy êm ái và làm lạnh nhanhĐội ngũ kỹ thuật phú nhuận làm việc tốt, nhiệt tình","2","5"
"Gree là thương hiệu điều hoà lớn nhất thế giới nên không có gì phải bàn về chất lượng độ bền có thể sánh ngang với các sản phẩm nhật bản hàng đầu với chế độ bảo hành 5 năm cho toàn bộ máy thì đây là sự lựa chọn hoàn toàn xứng đáng đội ngũ lắp đặt của điện máy xanh rất chuyên nghiệp 10 điểm không có nhưng","2","5"
"Trong thời gian tôi đi công tác, thợ đến lắp máy lạnh này. Nhà ở nông thôn, không gian lắp cục nóng không bị hạn chế nhưng không hiểu sao thợ ĐMX lại lấp cục nóng cao hơn khoảng 30cm so với cục lạnh. ĐMX cần kiểm.tra và lắp lại đúng kỹ thuật","0","2"
"Máy chạy êm, mới sử dụng nên chưa biết bền ko","2","4"
"Làm lạnh nhanh .toả mát đều.để 30 độ cũng mát lạnh luôn","2","5"
"Tạm ổn mẫu mã k ưng lắm","2","4"
"Mua ở ĐMX máy chạy tốt độ ồn vừa phải lắp đặt nhanh gọn","2","4"
"Máy lạnh sâu, chỉ bật 28 độ là đã mát lạnh rồi. Mỗi ngày mình bật tầm 8h, 10 ngày đã sử dụng tầm 60 kí điện, không biết như vậy là máy đã tiết kiệm điện tốt chưa","2","4"
"Sài tốt làm lạnh nhanh, nhân viên lắp máy nhiệt tình","2","5"
"ĐMX xử lý về sản phẩm không thỏa đáng khi giới thiệu quá trong khi thực tế lại không có. ĐMX nên xem lại","0","1"
"Tạm thời cục nóng chạy êm, máy làm lạnh nhanh, nhân viên lắp đặt nhiệt tình mặc dù vị trí cục nóng khá chật hẹp","2","4"
"Thái độ phục vụ rất tệ","0","1"
"Máy chạy êm, làm lạnh nhanh","2","5"
"Máy lạnh không kèm theo màng lọc..không biết máy không có hay nhân viên k lắp.","0","2"
"Hiện tại dùng tốt, còn độ bền thì chưa biết. Có ưu điểm là nhìn thấy số nhiệt độ trong tối.","2","5"
"Mới lắp thì thấy ok. Để dùng một tg xem có tốt hơn phiên bản gree cũ không","2","5"
"Máy làm lạnh tốt","2","5"
"Máy lạnh hơi bị nhanh nha shop, lạnh đều, ngon đấy, giá mềm, còn vấn đề hao phí điện thì chưa để ý lắm Chờ hoá đơn điện tháng này phản hồi tiếp","2","4"
"Kĩ thuật lắp đặt như mèo mửa, lắp lệch méo sẹo thì kêu do nhà không thẳng, lắp xong cũng không thèm hút chân không. lắp dàn ống ra ngoài lốc thì không có đóng cố định để quơ quơ vài hôm chắc gãy.","0","2"
"Máy chạy tốt","2","5"
"Sản phẩm rất tuyệt với.","2","5"
"Máy này tôi lắp cho bố mẹ. Sau khi dùng khoảng 1 tuần tôi thấy máy này ko làm mát đều cả phòng. Chỉ thấy rét buốt khó chịu ở vị trí điều hòa thổi gió xuống. Còn lại các chỗ khác hầu như ko lạnh mấy. So với máy panasonic ở nhà tôi thì kém xa. Máy panasonic ở nhà tôi đứng ở vị trí gió thổi xuống thấy mát dễ chịu ko lạnh buốt như máy gree này. Và máy panasonic ở nhà tôi hơi lạnh hầu như tỏa đều khắp phòng. Tôi hi vọng điện máy xanh có thể cho tôi đổi sang hãng panasonic được ko ạ. Thật là một trải nghiệm thất vọng. Từ sau chỉ mua sản phẩm thương hiệu lớn","0","2"
"Chăm sóc khách hàng chu đáo.","2","5"
"Máy chạy êm","2","4"
"Dùng ok nhân viên nhiệt tình chăm sóc khách hàng tốt","2","4"
