"data","label","num_stars"
"Máy mới mua mấy ngày bặt lên kêu như máy cày xới lúa muốn lấy búa đập luôn","0","1"
"Đánh giá 1sao nó báo lỗi, máy tệ lắm mn","2","5"
"Máy chạy rất im","2","5"
"Máy chạy kêu rất to, run cả tường, kêu còn hơn tiếng máy cày. Hãng bảo hành vòng vo. Đỗ thừa nguồn điện này nọ né bảo hành, trong khi các máy khác trong nhà, trong khu sử dụng cùng lúc thì không kêu như vậy.","0","1"
"máy mua duoc 4 ngày lúc lắp trời mua nên ko nghe tiếng ôn qua hôm sau mở về đêm cục nóng đe tren mái nhà ôn ko thể chịu đuoc.cục nóng kêu đúng to","1","3"
"Loại này chỗ nối póng gaz với cục nóng ko có đồ chụp lại à shop","1","3"
"Điện Máy Xanh Thị Trấn Cái Nước, Cà Mau lại cửa hàng mua nhân viên thách giá lên 1tr đồng trên sản phẩm kết thúc giá 7tr990 là đến hết 31/8/2025 lận, mà mua tại cửa hàng 3/8/2025 thách giá 8tr990 mà cửa hàng chỉ bồi thường 400k mua hàng còn lại 600k sẽ đi về đâu.... Thật sự thất vọng quá..Thật sự thất vọng quá","0","1"
"Sau khi dùng được 1 năm thì bị xì ga ống đồng mà hãng thì vòng vo chưa chịu xử lí đã gần 10 ngày rồi mà để như thế này đây","0","2"
"Máy lạnh lắp ngày 17/7/2025, tuy nhiên, muốn mát phải có máy quạt hỗ trợ thêm chứ 1 mình máy lạnh chạy ko thấy mát chứ đừng nói tới lạnh, dù mở 16 độ, được cái nhân viên lắp đặt rất ok, nhiệt tình vô cùng tận. Còn về chất lượng của sản phẩm, tệ","0","2"
"Mua được 10 tháng. Chất lượng tệ, hỗ trợ kém, bảo hành rất rất rất tệ","0","1"
"Đúng kiểu bán hàng mập mờ lừa khách hàng. Mua trên web báo tổng giá 1 kiểu, tới nơi lắp muốn khoan tường gọn đẹp thêm phí, không có phí này khoan sẽ vỡ tường, xấu. Lắp xong hỏi tổng tiền thanh toán xong xuôi thì ngày mai liên hệ tới thì mới đòi thêm tiền công, không hóa đơn, không bảng giá, gọi tổng đài thì kêu tự thương lượng giá với kỹ thuật","0","1"
"Mua xài đúng 1năm hao điện quá","0","2"
"Kêu um xùm không ngủ được","0","1"
"Rất tệ từ sản phẩm đến bảo hành của Samsung. Máy mới mua dùng chưa đến 1 tháng thì máy bị lỗi dàn lạnh. Kỹ thuật ĐMX đến kiểm tra xong đẩy lỗi qua cho hãng. Hãng thì hẹn 5 ngày chưa đến sửa, trong lúc nhà có con nhỏ trời nóng nực ảnh hưởng đến sức khoẻ. Quá thất vọng","0","1"
"Mình mới lắp, máy chạy cũng êm, làm lạnh nhanh,","2","5"
"Lần đầu mua cũng như lần cuối sử dụng samsung máy lạnh dàn nóng kêu như cái máy cày. Liên hệ bảo hành bảo là kêu cọc cọc là bình thường thì chịu rồi. Thử hỏi mua hàng về tối ngủ phải tắt đi mở quạt ngủ là biết nó kêu thế nào rồi. Rất tệ từ bảo hành đến sản phẩm","0","1"
"Máy lạnh kêu ồn, nhờ hổ trợ giùm","1","3"
"Máy chạy rất ồn luôn","1","3"
"Máy điều hoà chạy êm ái, làm lạnh rất nhanh, điện năng tiêu thụ rất ít, I LOVE SAMSUNG","2","5"
"Xài tốt nhé","2","4"
"Làm lạnh hơi lâu tí","2","5"
"Máy quá tệ, căn phòng 9m2 mà chẳng lạnh. Gọi bảo hành đmx,cho nhân viên đến xem xét rồi về. Việc bảo hành giao lại hãng. Có cảm giác như đmx bỏ con giữa chợ.","0","1"
"Máy lạnh mà mở phòng chưa đc 2m vuông bên lạnh bên không. Quạt đảo gió đang sài tự gãy bung ra mà kêu do vật lí không bảo hành mà kêu bảo trì hẹn tới hẹn lui, lúc mua thì nhanh lắm tới vấn đề thì lâu lắc bị một lần thôi không dám mua lần 2, ai có ý định mua điện máy xanh tốt nhất đừng mua thái độ phục vụ rất tệ chỉ biết lấy tiền khách hàng thôi","0","1"
"Tốt sẽ mua thêm","2","5"
"Máy lạnh hiện lỗi C4 22 là bị sao ạ. Máy e mới mua sài đc 1 tuần thôi","1","3"
"Máy chạy êm,nhân viên lắp ráp nhiệt tình.thấy các bạn nói kg lắp cao su chân máy nhưng anh nhân viên lắp đặt mình đầy đủ,tư vấn nhiệt tìnhTiết kiệm điện hay kg thì chưa biết,mới sử dụng chưa dc nửa tháng","2","5"
"Giàn nóng rung và ồn","1","3"
"Dàn nóng rung không có cao su giảm chấn","0","1"
"chưa sử dụng hết vật tư trong combo nhưng không được hoàn phiếu mua hàng như đã cam kết trong combo lắp đặt + vật tư 1 triệu","0","2"
"Máy xài êm lắm nha.","2","5"
"Cục nóng kêu to","0","2"
"máy nóng ồn hơn các máy lạnh khác","0","1"
"Mua con này là con thứ 4 ở điện máy xanh rồi.Mua ngày 27/4/2024. Mà thật sự quá tệ.dùng được 30 ngày thì báo lổi C4 22, máy lạnh không có 1 tý hơi lạnh nào. Không khác gì bật quạt mặc dù cục nóng cục lạnh chạy ầm ầm. Gọi bảo hành thì bên đmx đến kiêu bình thường, nói anh không thấy mát là do cơ địa anh, kiêu lấy máy đo thì kiêu em có đem đủ đồ nghề hết nhưng em không đo. Anh muốn lạnh thì mua đaikin chứ đừng mua samsung. Chán luôn. Sáng hôm sau thì bên bảo hành sam sung đến kiểm tra báo thiếu ga, đổ lổi do điện máy xanh không hút chân không nên dùng 30 ngày thì hết ga. Nhưng xui là quên mang đồ nghề, hẹn chiều đến bơm ga cho. Vậy mà chiều đó mất tiêu luôn. Đến ngày tiếp theo có 1 người khác bên sam sung đến kiểm tra báo thiếu ga, hư bo mạch phải bơm ga và thay bo mạch. Thay xong vẫn vậy vẫn không mát và báo lổi C422. Chịu cho cho cái máy lạnh này. Giờ máy lạnh không mát, sửa không được, trả thì mất 30% do đã dùng từ ngày 27/4/2024 đến ngày 2/6/2024. Bỏ tiền ra mang cục tức vào người.","0","1"
"Máy êm , tiết kiệm điện","2","5"
"Cho mình hỏi máy lạnh mình mua đc 1 tháng rưỡi mình muốn đổi qua dòng pana thì mắc khoảng bao nhiêu phần trăm","1","3"
