"data","label"
"Mới đặt mua đợi hàng về mà muốn đổi qua 16Cửa hàng báo mất phí gần 6 triệu chán","0"
"Sạc 310 lần xuống 88%","0"
"Sao mỗi lần mà khởi động lại máy là bị tuột mất 3% pin","0"
"Mình muốn lấy số hóa đơn đã mua ở đâu ạ tại vì giấy mua đã bị mất","1"
"Pin hao nhanh, sử dụng nghe gọi bình thường máy rất nóng, tôi mua máy từ ngày 04/10/2024 đến nay sạc Pin được 142 chu kỳ, Pin hao còn 96%","0"
"pin đang 100% nhưng mới gần đây trong chưa đầy 1 tuần đã tuột 3%","1"
"Dùng 6 tháng . Sạc 268 lần bị giảm 7% pin . Còn 93%","0"
"Mua ip 15pr max xài được 5 tháng, vẫn còn hạn bảo hành,sạc 54 lần mà pin xuống 99%, máy nhanh nóng dù mình dùng ít, không cài game gì hết,chỉ thao tác gọi và nhắn tin bình thường","0"
"Tui sài 4 tháng sạc 65 lần còn 99% pin vậy có ổn không cho tui biết với","0"
"Mua máy dùng ok. Màu đen đẹp. Sạc 200 lần vẫn 100% pin","1"
"Thấy sài cũng ok , k nóng lấm lâu lâu nóng vô lý thôi kkk","1"
"Sao mỗi lần có cuộc gọi đến lúc bị đơ không vuốt nghe được lúc thì không bị có cách nào khắc phục không, điện thoại quang trọng nhất nghe gọi mà cũng lỗi cuộc gọi đến không chạm được lát thì chạm được","0"
"Đt pin mau tuột quá","0"
"Sao máy mình thỉnh thoảng có cuộc gọi đến là bị đơ máy không cảm ứng được ạ","1"
"Pin trâu, mượt, máy không nóng khi sạc hoặc dùng liên tục nói chung là hài lòng","1"
"Mới mua dc 1 tháng sạc 25 lần mà tuột pin đã tuột 99% rồi","0"
"Đã mua iphone 15pro max hàng đã qua sử dụng tại Thế Giới Di Động, tuy nhiên sản phẩm không phải mã VN/A mà là mã PA/A Indonesia .Quá thất vọng vì nhân viên không nói rõ sản phẩm không phải của Việt Nam.Ngay cả trên website trong mục thông tin của sản phẩm cũng không đề cập tới sản phẩm của nước nào, tại sao không nói rõ cho người mua biết để người mua cân nhắcTôi mua hàng tại TGDĐ bởi vì tin tưởng sản phẩm Iphone này là của thị trường Việt Nam, tuy nhiên lại nhận được sản phẩm của nước ngoài, nếu muốn mua iphone của nước ngoài thì có thể lựa chọn rất nhiều hệ thống của các nhà bán lẻ khác chứ đâu cần mua của TGDĐBản thân tôi đã mua khá nhiều hàng cũ của TGDĐ, ĐMX, tuy nhiên lần này tôi thực sự thất vọng, và có lẽ sẽ cân nhắc thay đổi nơi mua hàng.Tạm biệt nơi đã từng đặt niềm tin","0"
"Mình mua điện thoại 26 tháng 11 năm 2024 sử dụng tới ngày 11 tháng 2 năm 2025 thì bị sụp nguồn. Bây giờ phải gửi đi bảo hành chờ đợi mất bao nhiêu thời gian và dữ liệu. Đúng ra những lỗi lặt vặt thì nên gửi đi bảo hành chứ lỗi sập nguồn là phải đổi ngay cho khách một điện thoại khác. Bỏ ra 30 triệu mua điện thoại mà trải nghiệm dở tệ.","0"
"Tôi mua ngày 16052024 sản phẩm ok nhưng nay là tháng 22005 thấy sạc có vấn đề không biết có đổi dc không mong ad tv","1"
"Mới mua 3 tháng sạc 37 lần mà pin tụt còn 98%, tệ thật sự","0"
"Đặt giới hạn sạc 95% sao vẫn sạc lên được 96% vậy ạ","1"
"Sao máy mình thỉnh thoảng có cuộc gọi đến là bị đơ máy không cảm ứng được ạ","1"
"Mới mua 1 tháng, hay bị lỗi cuộc gọi đến bắt máy ko đc là sao vậy","0"
"mua về xài 2 thang máy chơi được tầm 1 tiếng là nóng máy. pin con 98% thôi có bảo hành kiểm tra hay đổi được không","0"
"Mình mới đập hộp tgdd nhưng để qua đêm pin tụt 45% dù đã tắt wf 3g. Cần hỗ trợ","0"
"máy mới mua được 1 tháng ở tgđ giờ đổi qua 16 pro max thì bù bao nhiêu nữa bạn ơi","1"
"Iphone mình mua t4. Bấm soạn thảo vban hay bị đơ","1"
"Tôi mua điện thoại 15promax sài hơn 5 tháng mà dây sạc bị hư sạc lúc dô lúc k dô là sao làm như mua dây sạc đểu vậy","1"
"Mới 1 tháng 15 ngày mà đã tuột 3% có sao kh ạ","0"
"Sạc 54 lần pin còn 98%, pin tụt nhanh, máy nóng","0"
"Tại sao tui mới mua được 1 tháng 4 ngày sạc 35 lần mà pin lại tuột xuống 99%","0"
"Vợ tôi tặng ip 15prom , tôi cảm thấy nó khá giá quá cao so với kinh tế gđ , giờ tối muốn đổi sang sp khác được k , tôi k sử dụng nhìu tác vụ nặng nên vẫn chưa cần thiết cấu hình cao","0"
"Mới mua chưa được 3 tháng , chỉ sử dụng lước fb, tiktok 2 ngày sạc lần mà giờ xem lại sạc 26 lần mà pin xuống còn 99% trong khi mua cuc sạc chính hãng tgdđ quá chán thấy thất vọng thật.","0"
"Xài tạm đc.H muốn lên đời 16prm thì bù them bao nhiu tiềnMáy xài ch đc 2 tháng","0"
"Mua chưa đc 1 tháng mà lúc có cuộc gọi tới thỉnh thoảng bị đơ màn hình, thỉnh thoảng còn bị đơ máy nửa","0"
"Cho hỏi ở tiệm mình có dán PPF ko vậy","1"
"Máy mua mới sạc được 4 lần.. không dùng để qua đêm cứ bị tụt 5% pin","0"
"15pro max dùng ok ko bị nóng máy lắm chỉ ấm ấm có dán decan bảo vệ máy nữa mình đang ios 17.5.1 sạc 36 lần các bạn mua củ sạc chính hãng ip dùng nó sẽ sạc ổn định máy hơn","1"
"Mua máy đc hơn 1 tháng. Điều đánh giá đầu tiên là dù promax nhưng k thích bằng 13 thường trc đó tôi sử dụng.1 là dù ram 8G nhưng xử lý chậm, hay bị đơ, nếu thao tác bấm nhanh thì y như rằng đt lác theo luôn, phải ấn phím tắt rồi thoát ứng dụng ra vào lại.2 là zalo, hình ảnh chụp trực tiếp trên ứng dụng zalo quá dở tệ. Độ nét thua xa con 13 trc tôi sdung3 cũng là zalo. Việc chụp nhiều hình ảnh ở camera bên ngoài, sau đó vào luôn zalo để chọn gửi đi, thì thôi xong nó auto lác. Ảnh k load đc ngay mà phải chờ vài phút or đứng hình luôn.Với số tiền 30tr bỏ ra thật k đáng mua chút nào","0"
"Mới mua dc 1 tháng sạc 25 lần mà tuột pin tuột 99% rôi","0"
"Thế giới di động lúc nào cũng chênh giá cao hơn nhưng cửa hàng khác , nghĩ là uy tin thì vào mua . Lỗi 1 đổi 1 , Mua đc 2 ngày Máy lỗi do NSX khi mang đến đổi thì đùn đẩy , lằng nhằng lắm","0"
