"data","label"
"Sản phẩm ổn, nhân viên tư vấn tại siêu thị và nhân viên lắp đặt tốt, nhưng cách giai quyết nhân viên chăm sóc sau sale không hiểu ý khách hàng.","0"
"Phải nói là rất tệ mua hàng như hàng tốn kho vậy. nếu đã là hàng chợ thì đừng có dua ra siêu thị bán . Tội nghiệp cho người dùng. Nói một câu là sản phẩm quá tệ","0"
"sản phẩm đáng tiền. nhân viên giao hàng, lắp đặt quá tệ. lắp rất cẩu thả, thiếu trách nhiệm, hỏi gì cũng bảo không biết, nói chuyện cọc cằn.","0"
"Khi tắt tivi xong, mở tivi lại phải cài đặt ngày giờ hệ thống thì mới xem được YouTube","0"
"Thỉnh thoảng hạt bị sọc màn hình","0"
"Tốt ổn định","1"
"Mang cái đầu tiên đến thì ko nhận wifi . Mang đến cái thứ 2 thì ngày hôm sau remot không nhận , ko bấm được. Báo trung tâm bảo hành cả tuần rồi ko thấy phản hồi , không biết cho mấy sao","0"
"Tốt tư vấn tận tình.","1"
"Tôi mới mua thấy rất tốt,","1"
"Rất hài lòng với sản phẩm.","1"
"Nhân viên lắp đặt nhanh, ti vi xài tốt, hình nét, âm thanh rõ.","1"
"Rất tốt","1"
"Ok","1"
"Tivi sài rất ok","1"
"Thuyết minh cứ đọc tên video rất phiền. Nhờ đmx chỉ giúp .","0"
"Sản phẩm chất lượng","1"
"Sản phẩm khách hành mua mới mà giao như hàng tồn kho hang lỗi đem tới 3 cái cái đổi cái nào cũng lỗi ngay lúc giao giờ bên DMX yêu cầu muốn đổi phải tốn phí . 11tr chứ 1 tr tôi đập cho rồi. Đi tới lui 10 lần k giải quyết dc rất phiền phức. Rất bực mình.","0"
"Tốt lắm","1"
"Màu sắc tốtâm thanh sống động mình rất ưng ý khi sử dụng Tivi Sony 4K 43 inch KD","1"
"Tôi hài lòng","1"
"Nhân viên tư Vấn nhiệt tình vui vẻ.","1"
"Trải nghiệm cực kì tệ với DMX.Thời điểm mua hàng CTKM ghi rõ được tặng kèm bộ 3 tk vip xem tivi tuy nhiên thực tế không có.Báo bộ phận CSKH thì lại đẩy trách nhiệm cho hãng Sony và từ Sony lại đẩy sang Vieon. Rất lòng vòng tốn thời gian.Tổng gần 20 ngày từ lúc mua chưa được kích hoạt tài khoản.NV CSKH có xu hướng đổ lỗi cho khách cực kì thất vọng.","0"
"Xài tốt","1"
"Tivi màu đẹp sắc nét. Âm thanh nghe hay nhiều tiện ích trên tivi","1"
"Ok","1"
"San pham rat tot","1"
"Hình ảnh tốt âm thanh trung thực tốt gửi nè","1"
"Hình ảnh đẹp âm thanh hay","1"
"Ok","1"
"Rat tôt","1"
"Âm thanh màn hình rõ tốt ạ","1"
"","1"
"","1"
"","1"
"","1"
"","1"
"","1"
"","1"
"","1"
"","1"
"","1"
"","1"
"","1"
"","0"
"","1"
"","1"
"","1"
"","1"
