"data","label"
"Pin yếu, máy mới nhưng pin chỉ được gần 2 tiếng","0"
"Mua hôm thứ 6 ngồi kiểm tra tới lui, giờ mới phát hiện tay đổ mồ hôi chạm vô vỏ nó tê tê, dùng bút thử điện chạm vào thì nó sáng đèn, giờ không biết có bảo hành hay không","0"
"Oke","1"
"Rất tốt","1"
"Sản phẩm sử dụng rất tốt.","1"
"Nhân viên tư vấn nhiệt tình, sản phẩm đẹp và ưng ý🥰","1"
"rất hài lòng với sản phẩm","1"
"Rất tốt","1"
"Đã mua sử dụng rất mạnh mẽ, core i7 gen 12 màn 15,6 full kim loại. Con này nằm trong top rẻ nhất so với cấu hình.","1"
"ok","1"
"Tốt","1"
"Good","1"
"Sản phẩm HP ổn định","1"
"","1"
"","1"
"","1"
"","1"
