"data","label"
"Pin tụt rất nhanh, màn hình HD+ nhoè nhoẹt, tốc độ xử lý tác vụ không nhanh, camera éo ủi ,chán . Không cho đổi trả , CSKH hãy liên hệ lại cho tôi","0"
"Sạc nhanh tận 2,5 tiếng. Quá tệ","0"
"Pin sạc đầy lúc 10h tối để tới 6h sáng mất 5% pin có coi là tụt pin nhanh không.","0"
"Điện thoại mới mua đc 10 ngày lõi gọi Zalo k thấy hình ra yêu cầu đổi lại máy khác thì điện máy xanh k chịu. Rồi bảo hành rùi cũng k đc. Mất lòng tin quá","0"
"Mua từ thời ms ra mà h giá vẫn vậy.sau 10t dùng thì thấy pin khoẻ máy mát....có tí mình ko thích là camera to quá sấu, độ sáng tốt ngày mở chỉ 20 đêm thì mở tầm 10% mà mở tự động thì hơi tối.tự động xoay ko thích kiểu đó mà mình thích kiểu khoá ngang khoá dọc cơ .ghi âm cuộc gọi muốn kín kín thì báo CUỘC GỌI ĐANG DC GHI ÂM thì đầu bên kia nghe mẹ tiếng rồi.","1"
"Tôi mua điện thoại được 3 ngày. Cảm thấy xài không ok. Thế giới di động có thu lại không ạ","0"
"Tốt bền","1"
"Ổn trong tầm giá chỉ có điều thằng khốn nạn nào nghĩ ra trò khoá tạp chí tắt không được khó chịu cực kỳ","1"
"Mình rất bực mình vì sản phẩm không tệ nhưng mình bực vì bên nhân viên tư vấn bán hàng tính cho mình khoản mua trả góp có lãi suất trong khi trong trang online của cửa hàng lại để rất nhiều ngân hàng hỗ trợ trả góp sản phẩm này không lãi suất không phí hồ sơtrên trang ghi 1 đằng nhân viên bên ngoài tư vấn 1 nẻo,làm mình trả trước 1 triệu rồi góp 6 tháng mỗi tháng 832k nữalúc mua mình quên tính thử xem thế nào,giờ hối hận ghê.","0"
"Em muôn pass lại máy mua đc 15 hôm ở bên mình giờ thứ lại dc bn vậy ạ","0"
"Tối thấy nhân viên làm việc rất tốt nhân viên tên Hoàng Bách tuyệt vời","1"
"Sử dụng cuộc gọi video trên tai nghe bluetooth trên màn hình báo loa của bạn bị lỗi cảnh báo","0"
"Cáp sạc có được bảo hành hông ạ","1"
"Xạc cả buổi không đầy pin","0"
"Nhờ ad chỉ mình cách khóa máy tức thì khi bấm nút nguồn oppo a60 với, đt mình bấm nguồn xong đợi 30s mới khóa máy.","1"
"Máy thiếu chức năng thông dụng của điện thoại, camera thì tệ chưa từng thấy. Chụp hình thì vàng, chán ko muốn nói luôn","0"
"Em sử dụng chưa được 1 tháng bên cửa hàng thu lại mất 10% đúng không ạ","1"
"Mới mua hôm mùng 5 tết mà vô đăng hình k đc ,ra thế giới di động đã mua hỏi thì NV và quản lý ko giải quyết dc, quản lý đua máy cho nhân viên của Oppo giải quyết cho mình cũng k đc mà còn nói chuyện vs Thái độ kiểu...trong khi vẫn đang còn thời hạn đổi trả trong 31 ngày ... nhưng thái độ thấy ghét wa nên mình lấy lại đt bỏ về lun","0"
"Tôi tắt màng hình rồi,xong nó tự mở lên , xong nó lại tắt , liên tục như vậy","0"
"điện thoại giá 5triệu mà còn thua cái điện thoại 3 đến 4tr thất vọng chơi PUBG thì cảm biến con quay bị lỗi nhân viên thì tư vấn hay lắm đến khi dùng thì không như mong đợi bỏ ra 5triệu để lấy cái điện thoại cùi bắp","0"
"E vừa mua hôm qua nhân viên bảo ổn định nhưng về chơi game rất lag và tác vụ đa nhiệm kém mặc dù đã cập nhật phiên bản mới nhất","0"
"Điện thoại ko có chức năng lưu sđt trên sim hay sao á chỉ lưu được trên gmail bỏ sim qua đt khác thì ko có số vừa lưu trên đt này","0"
"Lướt tiktok hay bị lag","0"
"Sao camera sau chụp cảnh nhìn cứ ảo ảo ko thực lắm ạ","0"
"Kháng nước tệ","0"
"dien thoai chán lắm.đổi cái mới roi mà van lỗi.cu vao nt zalo.messenge...cac thu deu bị out ra màn hinh chinh..","0"
"Pin xuống khá nhanh","0"
"Ko có NFC hướng dẫn mở NFC ạ","1"
"Máy chụp hình rất đẹp,xem Youtube rỏ nét","1"
