"data","label"
"Dien máy xanh đánh mất lòng tin của khách hành. Tôi mua sản phẩm tv QA65QN90B hàng mới nhưng ĐMX lại bản cho tôi tv cũ Vậy tôi đề Nghị ĐMX Có lời giải thích và bồi thường lại cho tôi theo Thoa thuan mua bán giữa tôi và ĐMX","0"
"Bình thường","0"
"Rat tot","1"
"Sản phẩm rất tốt và đẹp","1"
"Tivi dễ sử dụng, chất luoengj hình ảnh đẹp nét","1"
"Thực ra cũng ổn nhung khi mới mua về không có sách hướng dẫn điều chỉnh nên màu kg đẹp và kỹ thuật chỉnh chưa tối ưu . Nếu muốn hài lòng thì phải mất cả tháng mầy mò mới chỉnh được theo ý muốn được","1"
"Rất tốt","1"
"Màu sắc đẹp rõ nét","1"
"Sp tốt","1"
"","1"
"","0"
"","1"
