"data","label","num_stars"
"Máy chạy có tiếng ò rất to là lỗi gì..mong hỗ trợ sớm","0","2"
"mua được gần 1 năm 3 tháng đầu tiên tủ lạnh kêu to, phải bảo hành tổng cổng 4 lần, cuối cùng phải tháo sửa thay quạt mới hết lỗi. dùng thêm được vài tháng nay lại mất lạnh tủ ngăn mát, mua tủ mới mà như ôm cục nợ vào người vậy. Điện máy xanh nên thêm chính sách nếu trong 1 năm mà 1 sản phẩm đồ điện tử phải bảo hành sửa chữa trên 56 lần thì được đổi trả.","0","1"
"Tủ sài được 9 tháng giờ nghe kêu như máy phát điện, inverter mà giờ chạy suốt không ngừng luôn, vui lòng đến bảo hành","0","1"
"Mình mua hàng ĐMX từ đó giờ lần này là lần thật sự trải nghiệm quá tệ. Lỗi do nhà sản xuất mình đã rất hỗ trợ cho sửa chữa không đổi do đã quá hạn đổi máy mới nhưng chỉ 1 lỗi mà sửa thay 34 lần giờ thì chở máy về trạm chắc banh cái tủ lạnh. Hiện giờ mình cảm thấy không hài lòng mình muốn đổi tủ mới thì bảo do bên mình đã quá hạn đổi muốn đổi thì mất 40%. Hàng không chất lượng lỗi do nhà cung cấp mà khách hàng phải chịu thiệt.","0","1"
"Tủ lạnh đang chạy mà mở cửa ngăn đông ra nó kêu như tiếng đổ nước lạnh vào vật nóng là bị gì vậy shop","2","4"
"Tủ giao trầy xước tè le, nói đổi cho đã, giờ còn kêu gọi xác nhận xuống kiểm tra","0","1"
"Cho hỏi lỗ này là lỗ gì ạ","2","4"
"2 tuần đã hư","0","1"
"Tủ lạnh bị lỗi ko nhận lỗi đổ lõi cho người dùng","0","1"
"Ngoại hình đep, mọi thứ ổn, nhưng cánh quạt máy có vấn đề, cánh quạt kêu quá to, yêu cầu nhân viên điện máy kiểm tra lại tủ","1","3"
"Có ngăn đông mềm nhưng để thức ăn vào mấy ngày không đông mềm lại luôn nha. Y như ngăn lạnh vậy. Hơi tệ","0","2"
"Phía sau có lỗ là lỗ gì vậy","1","3"
"Rất ngon luôn","2","5"
"Lỗi nhà sản xuất bị kêu quạt xả đá to lắm , ĐMX hổ trợ đổi tủ mới , không biết cái sau có bị lỗi không , nhưng nhân viên hỗ trợ đổi trả nhanh OK","2","4"
"Ngăn mát lạnh yếu mặc dù đã để độ lạnh cao nhất","1","3"
"Tủ lạnh chạy rất êm, làm lạnh nhanh, tiết kiệm điện, tôi rất hài lòng","2","5"
"Tủ lạnh mua bị lỗi ngay gọi điện rất nhiều lần vẫn chưa xử lý đổi trả cho khách hàng","0","1"
"Giao tủ lạnh cho khách mà xem như bao cátthả ầm ầmLúc giao mình ko có nhà để kiểm tra khi về thấy bên trong cánh cửa bị trầy xước giống bị va đậpko biết là do khâu đóng gói gây ra hay là đem hàng trưng bày giao cho khách.","0","1"
"Mới mua ở ĐMX hôm qua . Ở sau tủ có cái lỗ là sao vậy ạ . Với chân sau dựng không sát đất","2","4"
"Chạy êm .ko nge tiếng j luôn. Tiết kiệm điện.ok","2","5"
"Tủ xài rất ok","2","5"
"Ok với giá tiền","2","5"
"Hiện tại thấy ok.con về sau chưa bt","2","5"
"Mới mua tủ lạnh bên ĐMX hôm qua,mặt sau có lỗ này là lỗ j z ak","1","3"
"Cho e hỏi.. tủ lạnh loại này có cần dây nối đất k ạ","2","4"
"Cánh tủ mát hơi khó mở, giống như nam châm dính chặt, để tgian xem có dễ mỡ k, còn lại mọi chức năng khác tốt","2","4"
"Làm ăn tệ hại. Giao hàng ko đúng giờ cũng chẳng nt hay gọi thông báo. Dm làm đợi và mất thời gian. Lên tận nơi mua phàn nàn thì nhận dc đâu giờ mới nhìn thấy đơn hàng dm làm ăn như cc họ, sau thì xin lỗi là xong quá nhẹ nhàng. Đéo hiểu nổi. Đổ thừa giao hàng té xe. Dm sao ko đổ thừa kẹt xe mẹ cho r","0","1"
"Hàng rất la ko","2","5"
"Quá tuyệt vời nhân viên thân thiện tư vấn nhiệt tình","2","5"
