"data","label"
"hình ảnh nhìn không đẹp lắm","1"
"mới dùng thì thấy nét lắm, sau này chưa biết","1"
"rất rất tốt","1"
"OLED này thì dùng tốt rồi không phải bàn, rất ok","1"
"mẫu mã đẹp, dễ sử dụng","1"
"sử dụng cũng được, tốt","1"
"dùng không vấn đề gì","1"
"9 ĐIỂM, SỬ DỤNG TỐT","1"
"tivi dùng tốt rất hài lòng","1"
"dùng rất ok","1"
"âm thanh hình ảnh độ phân giải cao, sản phẩm chất lượng","1"
"dùng cũng được không vấn đề","1"
"độ phân giải cao, màu sắc đẹp, rõ nét","1"
"TỐT","1"
"tốt, hình ảnh rõ nét, màu sắc sinh động","1"
"SỬ DỤNG HỔM GIỜ KHÔNG CÓ VẤN ĐỀ GÌ, RẤT HÀI LÒNG","1"
"máy dùng được nhưng kết nối mạng hơi yếu, hay lỗi","1"
"máy dùng tốt","1"
"màu sắc đẹp, tốt","1"
"hình ảnh âm thanh sắc nét sinh động","1"
"tivi hãng này sài thì quá ok rồi","1"
"màu đẹp, sắc nét, mượt mà","1"
"âm thanh lúc lớn lúc nhỏ, còn lại thì vẫn ok","1"
"HÌNH ẢNH ĐẸP, SÁNG","1"
"SẢN PHẨM TỐT","1"
"","1"
"","1"
"","1"
