"data","label","num_stars"
"Máy mới mà như đồ qua sử dụng . Máy mới thường chạy 6 đến 8 tiếng là ngắt . Này chạy hơn 12 tiếng mới ngắt đc 1 lần sau đó chạy suốt đến khi viết bình luận là hơn 6 tiếng chưa ngắt block . Liên hệ bảo hành thì mấy tiếng sau mới gọi rồi hướng dẫn lòng vòng . Người ta liên hệ bảo hành thì phải để chuyên viên kỹ thuật tư vấn chứ ai mà cần nghe mấy bạn ko biết gì kỹ thuật nói tốn thời gian mà ko đc việc","0","1"
"Sao ngăn mát mình chỉnh 1độC mà nó lạnh cứ hiu hiu ko có lạnh sâu gì hết , ngăn đông thì lạnh quá tr buồn ghê","1","3"
"Nv giao hàng nhiệt tình, tủ lạnh đẹp.","2","5"
"Tủ lạnh kêu to, đóng đá 2 ngày còn k đông lại được","0","1"
"Dạ cho mình hỏi là cái tủ này nó ko có chế độ dừng ak .chạy hoài ngăn đông lên tuyết luôn rồi , hay là phải chạy như vậy tới lúc máy ổn .mong dc giải đáp","1","3"
"Tủ lạnh ngăn mát mức 1 độ C là lạnh nhất, mà nhân viên gọi điện bảo là mức 7 độ C mới là mạnh nhất, mình để mức 7 như nhân viên nói, nó còn không có hơi lạnh luôn đấy, nhắn tin cho nhân viên tư vấn thì trả lời được câu rồi im luôn, hỏi lại không thèm rép, chán chả buồn nói","0","1"
"Tủ mua 0912 2024 chạy đến 15tây thì ngăn mát tủ không lạnh lại bị tươm nước .còn ngăn đông làm đá thì chạy trên 13 tiếng nước mới đông thành đá cục.riêng phía bên trong lỗ thông hơi gió ngăn đá thì tủ bị đóng tuyết trắng xóa giầy hết cả xung quanh.mình đang chờ bên hệ thống bán tủ lạnh điện máy xanh xử lý tủ lạnh máy hư lỗi không lạnh ngăn mát mát mà ngăn đá thì tủ bị đóng tuyết trắng xóa","0","1"
"tủ mới dao hôm qua cắm điện chạy đến hôm nay chũa thấy nghỉ đá đã đông cứng mà tủ chạy 24/24 mong dc hỗ trợ","0","1"
"Tại sao khi tôi thanh toán là 7360 mà hóa đơn lại là 7160. Khi hỏi hóa đơn thì bảo máy lỗi chưa in được hóa đơn","0","2"
"Tủ nóng, tiếng kêu to khó chịu. Mới mua, yêu cầu kiểm tra xử lý.","0","2"
"Tủ lạnh thì ok, giao hàng nhiệt tình. nhưng không quét mã tích điện đc, liên hệ với nhân viên thì không được phản hồi...","2","4"
