"data","label","num_stars"
"Mua máy nên cân nhắc kỹ vì bảo hành rất rườm rà và nhảm nhí . Lúc bán không sao chứ cái hãng trời đánh này bảo hành thì làm việc lúc 9h sáng mà nghỉ cả T7 và CN. Lần đầu tiên thấy kiểu làm dịch vụ mà giờ giấc kiểu này luôn . Khi xưa không biết chứ biết có ngày lằng ằng như này thì không có chuyện mua cái hãng này rồi .","0","1"
"Tôi muốn vệ sinh máy lạnh theo gói khuyến mãi","2","5"
"lắp điều hoà mới đc 5 ngày mà bật kêu thì to chẳng thấy mát tí nào. nv dmx tư vấn phòng nhà t nhỏ cứ tư vấn toàn cái to không có chuyên môn nghiệp vụ. vớ vẩn","0","1"
"Xin cảm ơn bạn Trịnh lan Anh ớ st dmx xóm 3 , thôn hội xá rất nhiệt tình tư vấn cho mình mua đc nhiều sản phẩm tốt","2","5"
"Tôi muốn thay đổi vị trí cục nóng, xin được hỗ trợ","1","3"
"5 sao cho sản phẩm 1 sao cho dịch vụ cskh htr kĩ thuật mới đặt mua cuối tuần lắp đặt báo đánh giá dùm e 5 sao tưởng sao ko sài được tới hôm nay gọi đt nhờ htr thì báo nay nhân viên bận giao hàng ko htr được hôm nay mình đã dặn báo sớm trước 1h cho người htr do mình bận và mua mới để sử dụng chứ ko phải đợi sửa đến h này 1226p ko có 1 tin nhắn cuộc gọi về xử lí cho tôi cả các bạn phục vụ hổ trợ như vậy sao hay mua online là ko cần quan tâm giải quyết nhanh hay chậm , mik mua lần thứ 2 về sp thấy rất oki h mua bị lỗi người nhà mik tự leo lên xử lí kết quả lí do do chưa tháo miếng mủ ở đâu trên cánh quạt là máy nó ko có làm lạnh được tự lên tháo ra là nó lạnh phà phà mất thời gian quá chừng ..... tệ quá tệ","0","1"
"Tôi muốn huỷ đơn 100017869 . Để chuyển qua mã khác","2","5"
"Mới mua về thì lạnh, sau cứ phải để 16 độ cả đêm. Gọi bảo hành thì nv đến đo xong báo thông số bt. Một trải nghiệm rất tệ.","0","2"
"Dùng mới 45 tháng đã hỏng board, liên hệ bảo hành từ 1/8 đến 6/8 mới có linh kiện thay, vừa thay xong đã gặp lỗi khác, gọi bảo hành thì cứ hẹn mà không thấy ai đến kiểm tra lại, kể cả bên hãng, đề nghị đổi sang hãng khác thì cứ bắt chờ không muốn cho đổi. Mọi người không nên mua.","0","1"
"Ơ mấy cái mình mua mà người ta k lắp thì k thấy đưa cho mình tiền mình bỏ ra mua mà k lắm mà cầm luôn bịp thật mà k thấy hút chân không nhỉ làm ăn kiểu gì không biết, đã thế dây đồng tối tiểu 3m nó cắt bớt còn hơn 2m mà của mình được hẳn 5m cơ mà","2","4"
"Không biết nhân viên lắp Ntn hay máy bị sao . Mới vừa mua lắp vô chảy nước đầy nhà .","0","2"
"máy lúc khởi động kêu to 30p sau mới kêu êm lại cần hỗ trợ .dùng combo số 2 nhưng thợ lắp không thấy hút chân không.","1","3"
"Nv nhiệc tình, lắp nhanh chất lượng","2","5"
