"data","label"
"Cái gemini quá phiền phức. Cứ gắn tại nghe vào là nó hiện chả sử dụng tiktok được. Tắt không được.","0"
"Mới mua hôm qua.goi điện mesinger hay bị lác.gui hình và xem hình k dc.mong admin giải quyết dùm","0"
"Mua được 1 tháng rùi. Ổn trong tầm giá pin trâu","1"
"cái này cái khóa màng hình o đâu vậy ak","0"
"Pin xài lâu hết, lướt mượt xài cơ bản thấy hài lòng, nhân viên nhiệt tình","1"
"Mình mua được 1 tháng rồi chơi game cả ngày mới hết pin sạc rất nhanh nha hơn 1 tiếng rưỡi 20100 xem","1"
"Sao loa nghe chát quá vậy ta k có tý pass nào","0"
"Em mới mua được 1 tháng em múa bán lại được không","1"
"Máy pin trâu, mình xài hơn 2 ngày mới sạc, lướt mượt Loa to Nói chung ok phù hợp","1"
"Sài quá chán","0"
"Dùng rất tệ","0"
"Mình mới mua 1 tháng mình muốn bán lại bên mình có thu lại không ạ","1"
