"data","label"
"Thợ đến lắp câu dây điện làm cháy dây điện phải tốn tiền mua dây mới","0"
"Ko hài lòng, trước giờ mình và người thân bạn bè mua hàng bên dmx thôi, mà lần này cái bạn nv lắp máy mình cũng ko hài lòng, vừa lắp xong máy chạy 5 phút thì nước bắn tung ra,mua ngày 24,03 đến ngày 13/04 máy ko hoạt động nữa ko lạnh đến ngày 23,/04 mình yêu cầu bảo hành thì nv kiểm tra nói máy lỗi, vậy tại sao ko chịu đổi 1 đổi 1 như đã cam kết với khách hàng, nếu giải quyết lần này ko thỏa đáng e ko bao giờ mua hàng ở dmx nữa, thân","0"
"Mọi người hãy cẩn thận với bọn lừa đảo nhé, chính sách đổi trả 30 ngày khi hàng lỗi. Nhưng chúng nó không chịu hàng có lỗi đâu. Tránh xa máy lạnh sam sung ra. Nhân viên samsung rất mất dạy. Máy lạnh sau khi lắp dàn lạnh kêu hù hù như cái quạt hơi nước, cục móng kêu to như cái máy nổ. Nhưng tụi nó bảo như vậy là bình thường, gọi lên gọi xuống, gửi bao nhiêu video hình ảnh chỉ mất thời gian thôi. Đừng mua samsung nhé. Ai cần video nhắn t gửi cho xem để biết nó tệ cỡ nào.","0"
"sao kỹ thuật bên mình tệ quá vậy máy mua về chạy nhiệt bên ngoài 31 bên trong để 24 độ mà chạy làm lạnh khoảng 1 tiếng là tự ngắt chỉ quạt gió nóng đã báo xuống coi 2 lần ko tìm ra lỗi .mong sớm kiểm tra khắc phục giúp tôi.","0"
"ĐMX chối bỏ trách nhiệm, dùng 1 tháng, cục lạnh phát ra tiếng kêu, NV lắp đặt làm hư dây đồng. Hẹn đến không đến, biên bản ghi rõ chưa giải quyết, gọi đến khách hàng báo máy không vấn đềĐây là chất lượng dịch vụ hậu mãi của ĐMX","0"
"tôi mua máy đc hơn 1 tháng máy có mùi hôi đã báo đmx nhiều lần mà chưa đc giải quyết tôi rất thất vọng về đmx","0"
"Nhân viên giao hàng, lắp đặt nhiệt tình. Điều hòa dùng ổn","1"
"Máy xài rất tệ, khuyen ae dg mua","0"
"Có nhận dc hàng đâu mà đánh giá hẹn mà ko giao hàng làm ăn ko uy tín Đã huỷ đơn.","0"
"Dvbh tệ thôi rồi luôn,báo xuống bảo hành kiểm tra 2l ko xuống lần nào chỉ có bán thoii ko có bảo hành đúng ko,","0"
"máy mua về 2 bữa máy báo lỗ xài không được tự động tắt cánh quạt,không đáng mua","0"
"Máy chạy siêu êm .nhân viên đmx lắp đặt rất chuyên nghiệp .có cái làm lạnh hơi chậm. cái trước xài 8 năm mới hư mà do thằn lằn hại .","1"
"Mới lắp đc 05 ngày Cục nóng chảy nước thành dòng dưới lốc máy. Gọi bảo hành nhân viên đmx rồi hãng bảo cục nóng chảy nước là bình thường. Rất tệ. Không nên dùng mọi người ạ.","0"
"Máy lạnh bị lỗi c4 đổi lại cái mới cũng lỗi nửa cục nóng kêu như máy cày.. bỏ máy chịu lỗ 20% đổi qua sài pana luôn .. nên khuyên a.e đừng mua samsung nhé ..","0"
"khuyên không nên mua vì rất tốn điện xài 1 giờ là hết 1 số điện","0"
"Tại sao ko có nắp bảo vệ chỗ này vậy","1"
"Sản phẩm sử dụng tốt. Nhân viên phục vụ nhiệt tình.","1"
"Rất tốt và êm nữa","1"
"Cục nóng máy lạnh kêu rất to. Không ngủ được đã nhiều lần liên hệ di dời cục nóng nhưng tình hình vẫn như cũ. Kĩ thuật thái độ kém lắp đặt gian dối tính tiền cục cao su chống rung nhưng không lắp cho khách. Tổng đài điện máy xanh nhá máy rồi nhắn tin không liên lạc được với khách hàng. Trải nghiệm 1 lần mua hàng của điện máy xanh chữ chán kéo dài","0"
"Máy chạy rất êm lạnh nhanh mà thích nhất là có màn hình nhiệt độ hiện lên trên máy lạnh dễ dàng nhận biết máy đang bao nhiêu độ. Nói chung là rất hài lòng về sản phẩm này nha","1"
"oke","1"
"Đang ổn, để xài thêm 1 tháng nữa rồi đánh giá tiếp.","1"
"","1"
"","1"
"","1"
"","1"
"","1"
"","1"
