"data","label"
"4 sao tốt","1"
"sp tốt 5sao","1"
"5sao sản phẩm ok","1"
"5sao tuỵet đối","1"
"sp ok tốt","1"
"sản dùng ổn nếu âm thanh lớn hơn nữa sẽ tốt hơn","1"
"san pham 5 sao man hinh đẹp am thanh sống động","1"
"sản phẩm ok 5sao","1"
"4sa0 , máy mới chưa trai nghiệm nhiều nên đánh gái 4sao","1"
"5sao sản phan tốt","1"
"Các con xem ổn định tốt","1"
"sử dụng oki","1"
"sử dụng tốt, màu sắc ạm thanh được","1"
"Sử dụng tốt","1"
"sử dụng ok , xài tốt","1"
"trẻ con xem tivi màn hình thích , sử dụng ổn định","1"
"Sp Tốt","1"
"sp dùng tốt, được","1"
"Sản phẩm cũng được","1"
"sử dụng tốt cho 5 sao","1"
"hàng tốt","1"
"sp tốt, giới thiệu đến người thân","1"
"Dùng tốt, cho 5","1"
"sản phẩm tương đối ổn","1"
"Sản phẩm sử dụng được","1"
"sp tốt, giới thiệu sp đến người thân","1"
"tốt","1"
"sử dụng bình thường , ổn","1"
"sản phẩm dùng tốt","1"
"Sản phẩm đáp ứng được cơ bản nhu cầu của khách , Ban đầu mới mua về hình màu hơi vàng nhưng mình đã tự điều chỉnh được rồi...","1"
"san phẩm ok","1"
"sản phẩm dùng tốt","1"
"hình ảnh sáng, sử dụng tốt","1"
"Dùng tốt","1"
"sản phẩm tôt giới thiệu cho bạn bè","1"
"sản phẩm bình thường , ổn định","1"
"Sản phẩm tốt","1"
"hài lòng sản phẩm","1"
"sản phẩm sử dụng được, hình ảnh đẹp","1"
"sản phẩm tốt , âm thanh hay","1"
"SP Tốt","1"
"sản phẩm dùng tốt","1"
"sản phẩm dùng ngon","1"
"sản phẩm dùng ổn định","1"
"sản phẩm dùng tốt","1"
"5 sao . sản phẩm tốt","1"
"Tivi sài êm, tốt","1"
"SP Tốt","1"
"dùng ổn định","1"
"Hài lòng và sẽ giới thiệu sản phẩm cho bạn bè, người thân","1"
"sp tốt chất lượng hình ảnh tốt","1"
"Dùng tốt","1"
"Màn hình đẹp. Sử dụng ok","1"
"Sản phẩm dùng tốt, rõ chưa có phát sinh gì","1"
"sản phẩm cũng ổn định","1"
"Sp tốt, màn hình đẹp , nhân viên giao hàng nhiệt tình ,vui vẻ ,chu đáo .","1"
"Thấy bình thường,ổn, không có gì nổi bật hay xuất sắc","1"
"sản phẩm dùng được","1"
"sản phẩm tốt 5 sao","1"
"giới thiệu cho bạn bè","1"
"sản phẩm dùng tốt","1"
"Sp Ok","1"
"Sản phẩm ok","1"
"sản phẩm dùng tốt, màu không đẹp lắm","1"
"Sản phẩm dùng tốt","1"
"Dùng ok tốt","1"
"5 sao sản phẩm ok","1"
"Sản Phẩm OK","1"
"Dùng tốt, ổn định","1"
"sản phẩm ok, độ bền ko biết có lâu ko","1"
"Nét, sử dụng dễ dàng , Sau này thì chưa biết thế nào chứ hiện tại thì hài lòng","1"
"Sp tốt","1"
"sp tốt, sẽ giới thiệu cho người thân","1"
"sp sài tốt","1"
"Hiện tại sử dụng thấy tivi nét, ai tới nhà xem cũng khen, sau này thì chưa biết thế nào , cho đánh giá 5 sao","1"
"Sản phẩm tốt, sài ổn","1"
"màn hình đẹp, sẽ giới thiệu cho người thân","1"
"sản phẩm ổn , chưa phát sinh gì","1"
"Thấy bình thường, sẽ giới thiệu sản phẩm cho bạn bè, người thân","1"
"Rất hài lòng , hình ảnh đẹp sắc nét","1"
"Sản Phẩm tốt","1"
"âm thanh tốt, giới thiệu đến người thân","1"
"SP tốt","1"
"tv sử dụng được, âm thanh nghe hay","1"
"sản phẩm sử dụng tốt","1"
"sản phẩm dùng tốt","1"
"sản phẩm mới dùng rất tốt","1"
"đa phần oke, mạng hơi yếu","1"
"sản phẩm trên cả tuyệt vời","1"
"5 sao cho sản phẩm . Mới sử dụng thì nhiều chức năng chưa quen nhưng giờ thấy bình thường rồi . Về hình ảnh thì cảm nhận bình thường ...","1"
"sản phẩm dùng tốt","1"
"Dùng tốt, cho 5 sao","1"
"Sản phẩm tốt","1"
"Tốt","1"
"sp chất lượng hình ảnh sp dùng ổn","1"
"Sử dụng tốt","1"
"Sản phẩm OK","1"
"sản phẩm tốt","1"
"tivi tốt, hình ảnh đẹp","1"
"Sử dụng tốt","1"
"xài vẫn ok , hình ảnh được","1"
"Sử dụng tốt","1"
"Sản Phẩm OK","1"
"sản phẩm ok , màn hình được, gia đình hài lòng","1"
"Sản phẩm sử dụng nhìn chung là OK hết không có gì chê ..","1"
"sử dụng bình thường , tốt","1"
"sản phẩm dùng tốt","1"
"sp tốt, sẽ giới thiệu cho người thân","1"
"sản phẩm sử dụng tốt chất lượng","1"
"khách đánh giá tốt","1"
"Sử dụng Bình Thường","1"
"sản phẩm dùng tốt","1"
"tivi ổn định","1"
"Cũng oki","1"
"vào mạng nhanh, tv sắc nét","1"
"sản phẩm dùng tốt","1"
"màu tivi coi êm","1"
"sản phẩm dùng tốt","1"
"dùng ổn, mới dùng vài bữa","1"
"Sử dụng tốt, mẫu mã đẹp","1"
"sản phẩm bình , màn hình ổn","1"
"dùng bình thường","1"
"Sử dụng tốt","1"
"Sử dụng tới giờ tốt","1"
