"data","label"
"Tivi này có dò các kênh VTV được không","0"
"tại sao TV aqua 50in khi tắt bằng romote.Rồi mở lại bằng romote ko đc. Phải mở bằng nút trên TV ,TV lên hình rồi romote bấm mới đc. Cho m hỏi có cách khắc phục nào ko ak. Hay là hãng nó làm thế. Romote có Bluetooth.","1"
"Sử dụng được gần 1 tháng. Mọi thứ đều ổn ngoại trừ phản hồi remote tv chậm và lâu lâu bị mất kết nối mạng","1"
"Mới mua hơn tuần cảm thấy dùng rất ok ... về độ bền thì chưa biết","1"
"điều khiển bị chậm nói chung cũng không có vấn đề gì, còn lại thì xài tốt","1"
"tivi tốt, màn hình cũng được tương đối","1"
"tivi xài tốt lắm","1"
"tivi hoạt động tốt","1"
"tivi tốt, xài ok","1"
"xài ok, êm, tivi tốt lắm","1"
"xài êm, tivi đẹp","1"
"màn hình sáng đẹp, dùng ok","1"
"tivi tốt, hình ảnh đẹp, ổn định","1"
"tivi cũng được, tốt","1"
"sản phẩm tốt","1"
"tivi hoạt động tốt, ổn","1"
"tivi tốt, hình ảnh đẹp, ok","1"
"sản phẩm tốt, xài ok, coi đẹp","1"
"tivi hoạt động tốt, hình ảnh tốt","1"
"tivi xài ổn, ok","1"
"tivi độ phân giải không sắc nét, âm thanh ổn","1"
"tivi tốt, hình ảnh bình thường","1"
"tivi mình xài thấy cũng được, bình thường","1"
"tivi hoạt động tốt, đẹp lắm","1"
"tivi xài tốt, hình ảnh đẹp","1"
"tivi đẹp lắm, xài rất tốt","1"
"tivi âm thanh hay, ảnh đẹp lắm","1"
"tivi đẹp, nói chung cũng được","1"
"tivi hình ảnh sắc nét, nói chung ok","1"
"tivi hoạt động tốt, xài ok","1"
"tivi hoạt động tốt, xài ok","1"
"tivi hình ảnh đẹp, âm thanh hay ok","1"
"hình ảnh sắc nét, âm thanh hay","1"
"tivi tốt, đẹp","1"
"tivi hình ảnh đẹp, xài tốt","1"
"tivi hoạt động tốt","1"
"sản phẩm tốt, xài ok","1"
"với giá thành như vậy thì mình rất hài lòng, sản phẩm rất tốt, xài ok","1"
"tivi hoạt động tốt, xài ok","1"
"tivi hoạt động tốt, con mình rất thích","1"
"tivi hoạt động tốt, hình ảnh âm thanh xài ok","1"
"sản phẩm đẹp, tivi xài tốt","1"
"tivi mẫu mã đẹp, hoạt động bình thường 4 sao rưỡi","1"
"xài ok, tivi mẫu mã, hình ảnh đẹp","1"
"tivi tốt, xài ok","1"
"Tivi đẹp hoạt động tốt trong tầm giá còn độ bềnh dùng lâu mới biết","1"
