"data","label"
"Dùng cũng ok, thấy máy cũng chạy Windows 11 cũng mượt mà, mở đa cửa sổ ok mà khó làm việc khi mở nhiều cửa sổ.. Pin tầm 5h dùng liên tục.","1"
"Quạt tản nhiệt không hoạt động đc","1"
"Đang sử dụng vân tay bình thường tại sao lại không sử dụng được nữa, cần tư vấn xử lý vấn đề này","0"
"dùng còn bảo hành bị sập tắt nguồn, còn bảo hành mà đi bảo hành báo do ẩm máy không bảo hành, trong khi máy dùng hàng ngày. Dịch vụ quá tệ","0"
"Hay lag đơ lắm không biết đổi máy khác được không hối hận","0"
"mình chủ yếu sử dụng cho tác vụ văn phòng, lướt web máy xài mượt, ổn định. Sử dụng khoảng 2 tháng chưa gặp bất kì lỗi gì","1"
"Quá tệ nhân viên kĩ thuật không hỗ trợ. Chiều nay ngày CN.06.7.2025 đến ở Điện máy xanh TGDD ở khối 4 Diễn Châu Nghệ An. Để yêu cầu hỗ trợ cài đặt lại office cho máy tính Asus mua ở chi nhánh 110 Nguyễn Văn Linh, Đà Nẵng cách đây 2 tháng. Nhưng nhân viên bảo dùng cái WPS đi. Chứ không giúp được ích gì cho khách hàng. Vốn dĩ đến để định xem mua iPhone 15prmax để phục vụ cv. Vậy mà không hỗ trợ gì nên t về luôn. Chán. Quá tệ. Nghiệp vụ kém Thái độ tệ","0"
"ok phết dùng mượt mà mà cho hỏi có chip intel i mấy ko","1"
"Mình dùng được 2 hôm thì mật khẩuvà vân tay bị lỗi","0"
"mới mua 1 chiếc máy tính phục vụ các phần mềm cơ bản như word excel ppt,dc giới thiệu máy này,thấy mọi chức năng ổn,sd 1 khoảng thời gian xem chất lượng ntn","1"
"dùng được 1 thời gian không mở khóa bằng vân tay được","0"
"quá Ngon rẽ dung lượng cao","1"
"sao maý nhanh hết pin vậy ạ","1"
"Mình rất hài lòng về sản phẩm. Không biết anh/chị nào có thể tư vấn về cổng Type C trên máy được không ạ. Cổng này có dùng làm sạc cấp cứu máy quên đem Củ sạc được không ạ Nếu có thì dùng nguồn bao nhiêu W ạ P/s Anh/chị tư vấn có thể link em sản phẩm Sạc chính hãng của dòng máy này với ah","1"
"máy không có đèn bàn phím ạ","1"
"Máy xài vài tháng thấy không ổn lắm thỉnh thoảng còn lag đơ","0"
"Màn hình quá tệ. Mình muốn đổi máy khác.","0"
"Mở đèn bàn phím ở đâu","1"
"tốt","1"
"Máy rất hay lác, bật máy mà hình đen thui mặc dù mới sài được tuần, chờ 6-7 phút pmáy chưa tắt dù đã cập nhập hết phần mềm. Restart máy nửa tiếng chưa xong.","0"
"Máy chạy êm, nhanh, pin dùng lâu nha.","1"
"Laptop mới mua được 9 ngày, mỗi ngày dùng 30p 1 tiếng, đèn báo sáng mà màn hình đen thui. Sản phẩm này không xứng đáng với cái sao nào cả.","0"
"may nhanh het pin hoi lag ti","0"
"Máy mình mua được 10 tháng mà dễ bị đứng máy lắm","0"
"Sài ok lắm","1"
"tốt","1"
"Máy này có nhận diện khuôn mặt không","0"
"Chị xài máy được hơn hai tuần rồi và thấy rất okay, máy chạy êm, chị hai lòng với sản phẩm này.","1"
"Sản phẩm tốt","1"
"Sản phẩm tốt nha mn, bạn nào xài đa tách vụ cùng lúc là hợp lắm","1"
"Rất ok.","1"
"Giúp em với ạ. Máy mua được 1 tuần thì lại mở máy kh lên.","0"
"Màn hình đẹp, xài tác vụ cơ bản ok, game nhẹ nhàng, ram 16gb + ssd 512gb là 2 điểm cộng lớn cho 1 con laptop gần 13tr, chip ryzen 5 7520U hơi yếu thôi. Nói chung là 8/10 ạ","1"
"vào face book trên cốc cốc xem video một tí là bị đơ máy . có bị như mình không","0"
"sản phẩm xài rất tốt , nhân viên tư vấn cũng nhiệt tình","1"
"Tốt","1"
"Máy mới mua có 5ngay chỉ coi phim này 1h mà nay mở máy đèn thì sáng mà màn hình kh lên","0"
"Máy chạy mượt, nhanh, đẹp. Chỉ mất điểm là máy nhanh hết pin và nhanh bị nóng máy.","1"
"Máy chạy mượt","1"
"Chậm","0"
"Ok","1"
"Sản phẩm sử dụng rất tốt 5 sao","1"
"","1"
"","1"
"","1"
"","1"
"","1"
"","1"
"","1"
"","1"
