"data","label"
"Máy dùng 1 tháng có nhiều quảng cáo tự động tăng ánh sáng màn hình cách khắc phục 2 lỗi trên","0"
"Tôi đang dùng máy này. Đã mua hai chiếc máy này rồi. Máy này thỉnh thoảng đang dùng thì màn hình tự tăng độ sáng lên cao trong khi tôi không để chế độ sáng tự động. Chỉnh lại độ sáng trên thanh thông báo thì lại trở lại bình thường. Không biết về lâu về dài có gây lỗi màn rồi phải thay màn hình không","0"
"Trải nghiệm loa kép khi video call không lọc tạp âm rất tệ","0"
"vấn đề không phải ở điện thoại mà bài đánh giá này 1 sao là do nhân viên cực kì tệ, tư vấn hời hợt, sai thông tin về sản phẩm , mình đã mua con máy này tại số 2 Nguyễn Sinh Cung, TP Huế. Giá thành đã cao hơn ở ngoài mà các ưu đãi thì khó áp dụng, thay vì đẩy giá thành lên cao để tăng ưu đãi thì hạ giá thành xuống cho hợp lý, không cần phải tăng ưu đãi để kích thích việc mua thêm các sản phẩm khác đâu. Khách hàng đến mua SP là do sự uy tín, giờ cảm thấy lựa chọn các cửa hàng khác có uy tín vẫn tốt hơn khi đến đây","0"
"Mua sau 2 tháng bắt đầu lỗi màn hình,tự tắt màn hình rồi sáng lại,rất ức chế. Số lượng bị theo thời gian sử dụng ngày bị vài lần.","0"
"Điện thoại bắt wifi yếu lắm, mình muốn bên TGDD có hướng hỗ trợ cái này nhé.","0"
"Mới mua 2 ngày .Mạng hay bị giật lag","0"
"Mình mua máy hồi 23th7, bây giờ bên tgdd thu lại bao nhiêu ạ","1"
"Tui ms dùng đt hãng này có mấy tháng mà đt đã lag dật phải khởi động lại ms ổn định đc","0"
"Lúc tôi mua đt có mua gói bh 1 đổi 1 trong 11 tháng. Giờ đt t mua đc 5 tháng thì bị lỗi pin mang ra cửa hàng thì nv bảo ko cho đổi vì từ tháng thứ 2 trở đi dù có lỗi rõ ràng đi nữa cũng phải gửi về hãng. Vậy sao lúc t mua bh ko tư vấn cho t vậy đi mà bảo 1 đổi 1 trong 11 tháng Giờ là t quyết định mang đt về xài hư t mua cái mới và sẽ ko ủng hộ ở đây thêm một lần nào nữa","0"
"Sau 10 ngày sử dụng thì vẫn thấy ok.có điều màn máy note 14 này so với con note 13 nó cứ vàng vàng sao ấy, như kiểu bị ám vàng hay sao..","0"
"Mới mua về ngày đầu sài thấy ổn qua ngày 2 cập nhật lên máy bị tình trạng hao pin tuột pin mặc dù ko sử dụng đang dùng tự nhiên máy khởi động lại , máy mua hôm 19/7 , mình muốn đổi máy mới","0"
"Hqa mình có mua con này. Nhưng lúc láy máy, bạn nhân viên lấy máy trong tủ nhưng đã khui sẵn. Mình có hỏi thì bạn kêu do còn 12 con có khui cho khách xem, nhưng máy mới hoàn toàn. Nhưng mình thấy k an tâm, nên mún đổi 1 con khác còn nguyên seal lun thì sao.","0"
"Máy e mới mua dc 1 tuần mà loa nghe rè lúc nghe dc lúc ko nghe dc giờ đổi lại máy khác dc ko ạ","0"
"Mình mới mua ngày 29 tháng 6, nhưng cứ hiện quảng cáo trong điện thoại hoài, rất bực. Giờ đổi qua samsung a16 có được ko shop","0"
"Sao điện thoại redmi note 14 không có hiển thị phím ảo vây","0"
"Tôi có thể biết về thông tin máy này, trước khi mua về mọi người đừng nâng lên bản hyperOS 2.0 đây là bản chưa được tối ưu hoàn toàn, nếu mà lên có thể gặp rất nhiều lỗi như là hao pin và máy chơi game sẽ không mượt như trước thay vào đó nó sẽ chạy tác vụ ngầm mà sao khi lên bản 2.0, nên mọi người chú ý, tôi thì test được 1 tháng nên chả bị lỗi nào hay bất cứ cả, với lại tôi có rành công nghệ sửa đồ nên mấy cái này tôi điều biết, nên mọi người đừng đánh giá tiệu cực gây ảnh hưởng tới người khác cũng như khi mua máy về mọi người phải tìm hiểu phần cứng với phần mền rồi mới tính, chứ vừa mua về là mọi người nâng lên hyperOS 2.0 rồi bị lỗi là đúng rồi.","1"
"Sau 2 tháng trải nghiệm thì mình có 1 vài điểm ko thể ưng được trên con máy này1. Cảm ứng màng loạn hết cả lên, chạm tay nhẹ thôi cũng giật nữa2. Mình ko biết là lưng máy nó cong hay là pin phồng mà cái vỏ lưng đt mình bị nhô lên, mình chạm vào cứ kiểu như nó đàn hồi vậy á 3. Máy lag cực và nó nóng nhe. Vỏ nhựa nhưng mình cảm nhận đc nó nóng và khi nóng thì đt nó lag luônTrải nghiệm lần đầu xài Xiaomi redmi chắc tởn","0"
"Em vừa mua đc 3 hôm thì thấy sài hay bị mất wifi chập chờn phải vô bật lại mới có thì là bị gì v ạ","0"
"Loa ngoài rung ốp rung cam thì có sao không ạ","1"
"dmx có red mi turbo 3 thì ok máy này ngon mạnh bền đẹp","1"
"Dùng tốt so với giá tiền","1"
"Khuyên mọi người đừng mua loại máy nầy , loa nghe rung ốp lưng rung luôn cả camera phía sau , tình trạng nầy trước sau loa cũng rè thôi đó mình ko test máy trước mua luôn về mới vở lẻ ra thua cả Xiaomi note 12 thì sản xuất làm gì nhỉ","0"
"Mua từ tháng 1/2025 về xài chán thật sự, cứ lag tắt nguồn","0"
"Thế giới Di Động cơ chính sách 1 đổi 1 trong 1 tháng phải ko ạ","1"
"Mạng 4G thật sự rất rất cần thiết sử dụng điện thoại, máy mới mua mà bị kiểu này thì chịu thua, máy mua chắc tầm 3 tháng 1 tháng gần đây xảy ra hiện tượng rớt mạng liên tục, tưởng bị sim đem ra mạng Viettel thì kiểm tra sim ko bị gì, bảo nhân viên lắp sang máy sang máy khác test không bị gì hết, cuối cùng giờ cắn trái đắng, nếu mà đem máy bảo hàng thì ko có máy sài, làm đủ cách ko hết khôi phục cài đặt gốc xuất xưởng ko hết, rất bực mình, thay vì gọi zalo messenger thì phải gọi số thường tốn tiền, khỏi gọi video lun chán chả bùn nói","0"
"cskh cho mình hỏi có cách nào để hạ hệ điều hành về như lúc mới mua máy k ạk","0"
"Dùng 3 lần máy được mỗi cái máy hài lòng là Samsung galaxy a03s còn hai cái máy Samsung galaxy a05s với cả Xiaomi 14 note làm ăn quá chán Samsung galaxy a05s bảo hành tháng rời nói thật không bao giờ hài lòng còn bảo hành cứ để đấy lúc nào có lỗi lầm gì mới mang đi không bao giờ mua máy của thế giới di động đang nói thằng bực mình","0"
"Mọi thứ ok nhưng để không . không Sài cx tuột pin mới mua 3 ngày","1"
"Mình vừa mua hôm 8/5 để đt qua đêm thấy tụt 3% pin qua ngày 10/5 cũng tụt 3% pin","0"
"Tốc độ mạng đi động yếu hơn khi sài so với máy củ Oppo f9","0"
"mình vừa mua xiaomi redmi note 14 ạ . cho minh hỏi làm thế nào để tắt bớt quảng cáo trên xiaomi redmi note 14 ạ . mỗi lần vào app hay tải ứng dụng về quảng cáo quá nhiều ạ. mình cảm ơn ạ","0"
"điện thoại chính hãng nhưng bị miss thông báo, hmm sao shop không nhập hàng xách tay luôn v","1"
"Máy mình mua hồi tháng 1 mà cứ xảy ra lỗi hoài đến giờ thấy chán luôn. Máy thường xuyên đơ lag, cảm ứng thì không nhạy, đến giờ thì bị liệt cả ứng một góc, phải nhấn mạnh mới ăn được. Không biết bảo hành thế nào đây. Biết vậy ngay trong tháng đầu trả máy luôn cho rồi.","0"
"Mua đến ngày thứ 3 phát hiện loa rè sau lưng máy. Phần loa chính nghe k rõ bằng sau lưng. Máy đơ. Coi video FB thoát ra vào lại video cũ đang coi trước đó đen sì, âm thanh video vẫn nói bình thường. Cam chụp ảnh k sắc nét. Chụp flash tối bị mờ nhoè..","0"
"Mình mua máy từ tháng 01/2025 đến hôm nay thì máy bị liệt cảm ứng từ giữa máy trở xuống, trường hợp này bảo hành như thế nào","1"
"Máy lỗi gửi bảo hành hẹn 14 ngày là xong. Gửi ngày 28/3. 3/4 gọi hẹn 7/4. 5/4 gọi báo lễ hẹn 10/4.10/4 báo dự kiến 16/4. 11/4 gọi lên bảo dự kiến 20/4. Ủa vậy hẹn 14 ngày là 14 ngày như thế nào. Là bảo hành dữ chưa","0"
"Màn hình chỉnh chỉnh đi chỉnh lại rất tối.k đc HD kém so với thực tế mong đc tư vấn xem lại","0"
"Mới mua xài gần 1 tháng. Màn hình hay bị đơ. Chạy tùm lum. Muốn đổi lại được ko. Quá bất mản","0"
"Mình đang trả góp máy náy , nhưng muốn nâng lên con 5G không biết có được không nhỉ","1"
"Toi moi mua. Tai sao ghi RAM 8,0 +4,0 G","1"
"Tối mới mua giá 5tr490k,sau 1 đêm dậy vào xem lại giá chỉ còn 5tr290k, đau lòng.","1"
"Máy mới chưa cài đặt nhưng app hệ thống nhảy quảng cáo liên tục. Khi nhân viên TGDD khui hộp mở nguồn máy đã bắt đầu nhảy quảng cáo, mấy a nhân viên loay hoay làm mãi không hết, gần cả 1 tiếng sau tần suất quảng cáo có giảm nhưng chưa hết mà mấy a cũng làm lơ.","0"
"Lỗ thoại với lỗ chọc sim sát nhau quá dễ nhầm lẫn.Phím nguồn với phím âm lượng cũng gần nhau","0"
"Mình có mua 1 máy ở điện máy xanh thới lai cần thơ. Khi mua thì nv đưa máy đã khui seal. Về xài đc vài ngày thì khi lướt tik tok loa bị rè. Đem lên bảo hành thì nói muốn 1đổi 1 thì đợi test máy 15 ngày. Với lại do ứng dụng tik tok chưa cập nhật phần mềm. Về xài thêm thì lại bị nv, mình ra bảo hành nv lại nói do đt 2 loa nên rè, bịch lại 1 loa, và do ng quay clip xài hệ điều hành khác nên clip nghe rè.. M ng nếu có mua máy dòng này nên cân nhắc kĩ dòng đt này. Để đt thiết kế 2 loa mà bị rè thì cũng như ko.","0"
"Lúc lên nhận máy không thấy nhân viên nói gì đến voucher 50k khi mua simmặc dù trong sản phẩm có đề cập đến voucher đó ạ","1"
"Không game thì mọi thứ ok trong tầm giá","1"
"MÁY XÀI OK NHƯNG KHÔNG MỞ ĐƯỢC QUAY MÀN HÌNH","1"
"Mình mua khoảng hơn một tháng giờ máy xuất hiện hiện tượng loa bị rè, mình có khởi động lại nhưng không được cho mình xin cách khắc phục ạ","1"
"máy thỉnh thoảng lát nhảy loạn lên","0"
"Máy ok tốt, sẽ giới thiệu cho bạn bè.","1"
"Vừa mua hqua, máy lỗi pin pin nhanh hết có được đổi máy vào ngày hôm sau không","0"
"Không biết máy sạc bao lâu đầy vậy ạ, sao em sạc từ 16% lên 59% tận gần 50p, đã bật sạc nhanh","0"
"Không hiểu sao khi xem trực tiếp trên facebook xem toàn màn hình ko dc máy note 11 cũng bị máy note14 mới cũng bị y chang Ai am hiểu về cái này ko","1"
"Mình mới mua k biết tgdd có thu lại k ta","1"
"máy xài ổn định ko bị dung lắc","1"
"Mua máy khoản 1 tháng xài rất ok","1"
"Máy khá tốt , cam sau chụp khá nét, có điều máy khi sạc pin chỉ tới 80% r ngừng, mk đang thắc mắc vấn đề này","1"
"Mình vừa mua được 1 ngày , hình thức sp tốt nhân viên TV nhiệt tình , nhưng test chưa được kỹ hôm nay mở nghe nhạc mới phát hiện loa bên dưới bị rè rất khó nghe .","0"
"cũng tạm ổn cho bản 8gb ram, nhẹ","0"
"Màn hình cảm ứng có lúc bị đơ , bấm hai ba lần mới nhận ứng dụng.giờ muốn hoàn tiền.mua hôm mùng 5 Tết","0"
"Mới mua hôm kia cảm nhận cá nhân máy cũng tạm mượt chụp hình xấu nhược điểm hao pin cực kỳ","0"
"Máy mua 21/1 dùng máy lâu lâu bị đơ em muốn đổi máy","0"
"Xài oke lắm nhà mượt mà","1"
"Cảm biến vân tay không nhạy lắm còn những thứ khác rất tốt . Sạc siêu nhanh chỉ khoản 30 phút . Nhân viên thế giới di động rất nhiệt tình","1"
"Mình mua sản phẩm này ở thegioididong thái bình trước Tết. Sử dụng OK lắm với tầm tiền bỏ ra","1"
"","0"
"","0"
"","0"
"","1"
"","1"
