"data","label"
"Mới bắt máy sử dụng kém mát. Thợ đến ktra kêu thiếu ga. Tiếp theo thợ đến bơm ga. Rồi ktra lại kêu thông số gió đầu vào gió đầu ra không đúng với nhà sz đưa ra. Rồi tiếp theo kết luận là bị tắt ẩm. Nhưng máy mới nguyên nhân là do máy hay do lắp đặt. Ktra đi ktra lại nhưng vẫn k mát rồi hết thời gian bảo hành ai sẽ chịu trách nghiệm","0"
"Máy mới lắp, hôm lắp chạy thử 15p không sao, hôm sau bật lỗi CH05 luôn.","0"
"nhân viên lắp đặt không hút chân không, khi được hỏi sao mấy a không hút chân không thì nhận được câu trả lời là đã hút chân không rồi. Nhưng không thấy a nhân viên cầm cái máy hút chân không gì hết. Chưa kể xài trong 2 tuần tôi cám nhận nhiệt độ của máy không bằng những máy khác tôi đang xài. Hiện tại đẫ và xài 4 con LG rồi và đếu rất hài lòng nhưng đến con này thì lại không.","0"
"hôm 10/5/2025 mình có mua 1 con máy lạnh hiệu LG 1.5hp IEC12M1 mình chọn combo cao nhất, khi đến lắp thì Thợ không có hút chân không ống dẫn gas cho mình,,mong dc phản hồi sớm nhất","1"
"Mới lắp đc 20ngày máy chảy nước mất lạnh,xì gas.thất vọng với cách làm việc của thợ","0"
"Nhân viên kỹ thuật lắp đặt không đúng quy trình, không bơm chân không","0"
"Mình mua với giá 12,587,000 VND + thêm 1 triệu so với gói chỉ giao hàng bao gồm cả ống và công lắp đặt, nhưng khi làm nhà mình đã làm ống âm tường sẵn rồi, nên không cần ống của điện máy xanh nữa, vậy nhưng khi nhân viên lắp đặt lại thu thêm 340k tiền kiểm tra ống lắp sẵn của mình. vậy có khác gì tiền công lắp đặt là 1tr340k chưa bao giờ có trải nghiệm tệ đến vậy tại ĐMX","0"
"đã mua 2 máy được c 1 tuần..phòng 40m2 bật 812 tiếng ban ngày..1 ngày bật 28 độ là mát rồi lúc cao điểm bật 26 độ..máy đo 1 ngày hết 2,5 số điện/1máy..quá tốt so với kì vọng..hị vọng dùng lâu dài mức điện vẫn như cũ","1"
"Đã sử dụng hơn 1 tháng. Tiết kiệm điện, làm lạnh tương đối nhanh.","1"
"Máy mua mới sài được 2 tháng đã lỗi uổng quá","0"
"Trải nghiệm được 3 ngày thấy tốt, nhiều ứng dụng online hay tiện íchTiếc là mới mua sau 3 ngày lại giảm 400k","1"
"Máy mới lắp khoảng 1 tuần bấm remote 3 lần máy mới hoạt động là lỗi gì","0"
"Mới lắp đc 30p thì máy báo lỗi . K hoạt động . Nghe nản thật","0"
"","0"
