"data","label","num_stars"
"Chăm sóc khách hàng tốt , quạt ok","2","5"
"Quạt kêu rất ồn","0","2"
"ko đặt giờ đc, quạt chạy yếu, chân bập bênh","0","1"
"Cổ quạt,không bẽ xuống thấp được cay","0","1"
"Gió hơi yếu","1","3"
"Quạt chạy rất tốt","2","5"
"Quạt mua về sử dụng 1 thời gian tốc độ quay rất yếu, mặc dù bật số lớn nhất nhưng vẫn không quay nổi, quá tệ","0","2"
"Quạt xài rất tốt","2","5"
"Quạt bàn Lifan B398 45 w tốt lắm.","2","5"
"quạt đẹp, chạy mát, có hẹn giờ có đèn","2","5"
"Quạt mạnh, đủ mát cho phòng 15m2Tiếng ồn ở mức chấp nhận được","2","5"
"Tuyệt vời quạt mạnh","2","5"
"Quạt êm ok, kiểu quạt truyền thống ngày xưa","2","5"
"Quạt mát nhưng khi quay tiếng kêu cót két, tôi mới mua chiều qua, muốn đổi loại khác đc k","0","2"
"Quạt chạy êm chất lượng mình Không cần mạnh mình muốn mạnh thì thay 3 cánh bao mạnh","2","5"
"Ok trong tầm giá","2","4"
"Rất tốt ..xài hỗm rày thấy ok","2","5"
"Máy quạt tốt lắm nha OK luôn","2","4"
"Sản pham tốt","2","4"
"Quạt chạy tốt","2","4"
"Chất lượng sản phẩm quá tệ. Hư tùm lumLúc trước xài cây quạt điều hòa mấy triệu vài tháng đi bảo hành 2 lần. Bực quá đi thanh lý luôn mua lại cây quạt này.Cây quạt xài được vài tháng hết muốn quay gọi điện vẫn 1 thông tin như cũ đem ra cửa hàng các bạn kiểm tra và đợi 2 tuần.thời gian công sức tôi ai đền cho không dám quay lại mua sản phẩm.","0","1"
"Ko nên mua1. Vừa cắm điện đã chập làm cúp điện cả nhà2. Nan nhựa quá nhỏ ko vừa lồng quạt phải lấy quạt cũ thay thế3. Hàng ko hỗ trợ bảo hành tại nhà. Phải tự vác quạt ra ĐMX gần nhất. Thật sự quá phiền. Nên ra cửa hàng đồ điện test rồi mua luôn.","0","1"
"Không như mong đợi","0","2"
"Quạt mát chạy êm","2","5"
"B212 và B398 đều bị lỗi. Khi quạt xoay tạo ra âm thanh cót két và tiếng ồn lớn. ĐMX đã đổi sản phẩm mới thì: B212: chạy bình thường (không còn âm thanh cót két và tiếng ồn lớn). B398: không còn âm thanh cót két, ngoài âm thanh của gió do quạt tạo ra vẫn còn tiếng ồn lớn.","0","2"
"Tạm thời xài tốt","2","4"
"Quạt gió mạnh nhưng tiếng to nếu là quạt ngủ hay cần yên tĩnh ban đêm thì không nên dùng","1","3"
"OK .NV Giao hàng vv nhiệt tình","2","5"
"Quạt này ồn quá, mặc dù mức gió thấp nhất, để ở phòng khách chứ không phải phòng ngủ vẫn ồn. Mình mới mua 1 ngày có thể đổi sang loại khác của Senko hoặc Asia êm hơn không?","0","2"
"Bình thường","2","4"
"Quạt kêu khá to","1","3"
"Sản phẩm ok nhé","2","5"
"Mua về thỉnh thoảng dùng mà 2 tháng thì hư( quay lờ đà lờ đờ) DMX dạo này toàn treo đầu dê bán thịt chó. Thị phần lớn cái là toàn bán hàng kém chất lượng.","0","1"
"Quạt đẹp, bền, máy tốt, chạy êm","2","4"
"chưa được 1 tuần hư","0","1"
"Tốt . Xịn xò . Mát . Nhưng bật số lớn hơi ồn","2","5"
"Khi quay quạt bị rè","1","3"
"Sản phẩm chính hãng,dùng rất tốt","2","5"
"Quạt kêu to nên không mua nữa","0","1"
"Giá cả hợp lí dùng tốt ok","2","4"
"Hinh thức đc , chạy hơi ồn. Giá 520 ngàn đắt so với dòng quạt khác!","1","3"
"Quạt mới mua về mở lên rất ồn, kêu rất to","1","3"
