"data","label"
"Rất ok","1"
"Rất tốt","1"
"Hình ảnh rõ nét trung thực Google tìm kiếm giọng nói hơi chậm","1"
"Tôi đã mua và sử dụng TV này khoảng 3 tháng, tôi khá hài lòng về sp, hình ảnh rất đẹp, nhất là khi xem Netfix với chuẩn hình ảnh Dolby Vision, khi để màn hình chờ màu đen thì khg thể bằng dòng TV Oled, nhưng mà hình khg bị sáng ở 4 góc, đó là điểm cộng của TV này, chúng ta khg thể đòi hỏi chất lượng hình ảnh như TV Oled, với giá này thì TV đáng để mua, nó đáp ứng mọi y/cầu của tôi. Tôi cũng rất thích kết nối bluestooth của TV, cho phép tôi kết nối với loa bluestooth, bàn phím rất nhanh và dễ dàng hát karaoke, phần điều khiển thông minh Google Assistant cũng khá tốt, nhận lệnh bằng giọng nói tiếng Việt khá ổn. Điểm trừ là khi bật TV, kết nối với Netflix, youtube hoặc các ứng dụng dùng kết nối internet hơi chậm, trên điều khiển khg có nút bấm nhanh để chuyển sang xem các kênh TV cable (TV Sony có nút này). Tôi đã sd 2 cái TV Oled LG, nay tôi phải đổi sang TV này vì cả 2 cái Oled quá nhạy cảm, cả 2 cái bị hỏng vì sét đánh (trong khi các TV khác trong nhà khg bị hỏng). Tổng quan, tôi chấm TV đạt 4.7/5.0, rất đáng để mua, tôi đã giới thiệu cho người. Hà mua 1 cái cùng dòng này nhưng 55 inch thay vì 65 inch như của tôi","1"
"Mọi thứ điều ổn, riêng lúc bật khởi động hơi bị lâu","1"
"Ok","1"
"Quá hài lòng, mình mua ngay đợt giảm còn 13tr490 còn đ tặng phiếu mua hàng 500k. Nhân viên lắp đặt và thu dọn tận tình. Nên mua nha mọi nha mọi người","1"
"Màn hình đẹp sống động âm thanh tốt","1"
"Sản phẩm mới . Có nhiều tính năng iu Việt . Hình ảnh rỉ nét và chân thật , giá cả hợp lý . Nên mua hãng này nha mọi người. Mình dùng thấy mọi thứ rất Ok","1"
"Sản phẩm tương ứng với giâ tiền . Nhược điểm mỗi khi bật tv khởi động rất lâu độ chễ của bộ sử lý thấp . Còn tất cả oke","0"
"","0"
"","1"
"","1"
"","1"
"","1"
"","1"
