"data","label","num_stars"
"Sự hợp tác giữa điện máy xanh và nhãn hàng Sharp không biết như thế nào mà chính sách bảo hành rất tệ, từ lúc báo tủ lạnh sharp bị lỗi đến nay đã một tháng mấy mà đến giờ vẫn bảo hành chưa xong, cứ gọi hứa ngày để đến bảo hành nhưng đến ngày không đến được thì cũng không gọi cho khách hàng hay để khách hàng phải chờ, đã mấy lần hứa rồi thất hứa nhưng không hề thông báo cho khách hàng, khách hàng phải đi làm nữa chứ, làm vậy rồi mất bao nhiêu thời gian của khách hàng, đã hẹn ngày mà không đến bảo hành được thì thông báo cho khách hàng một tiếng cũng mát lòng.","0","1"
"Mới dùng chưa đc 1 tháng thấy tạm ổn. Kiểu dáng đẹp, giá hợp lý. Mỗi tội trải nghiệm giao hàng lần này ko tốt.","1","3"
"Sản phẩm ok . Dùng ổn . Giá hợp lý","2","5"
"Sp tốt , mẫu mã đẹp","2","5"
"Mau sac sang trong may chay rat tot. Cac ngan tu su dung. Rat tien loi. Noi chung ok","2","5"
"Moi mua 2 ngay tu dong no kinh cuong luc bao cho cty cty ko giai quyet lam an ko ra gi","0","1"
"Sản phẩm ổn","2","4"
"Vừa hết thời gian bảo hành thì hư mạch đèn led báo nhiệt độ, gọi tổng đài chuyển hết bên này tới bên kia mà chưa báo nổi cái giá và kiểm tra.","0","2"
"Tủ lạnh xài chưa được 4 tháng đã bị tình trạng mặt kính cửa tự nứt vỡ, hãng từ chối bảo hành với lý do “do tác động bên ngoài” (trong khi đó chỉ cho thợ xuống chụp hình đúng 1 lần, gọi xuống xem lại thì không xuống). Mọi người nhìn hình là tự biết là nó tự nứt hay bị va đập đúng không? Nếu bị va đập thì các vết nứt phải xuất phát từ 1 điểm, còn tự vỡ thì các vết nứt đều nhau. Mua 1 lần thôi chứ sau né hãng này ra","0","1"
"Mình mua hàng trưng bày về bị lỗi không lạnh, kỹ thuật điện máy xanh đến kiểm tra rất nhanh chóng, kết luận có vấn đề, chuyển qua bên hãng sharp để xử lí mà đến nay gần 1 tuần vẫn chưa có kỹ thuật sharp tới. Mình rất hài lòng với điện máy xanh nhưng còn hãng sharp thì từ nay mình xin né ra bởi vì khắc phục sự cố quá lâu.","0","1"
"Tủ dáng đẹp, chạy ổn định, nhân viên phục vụ nhiệt tình, chưa biết độ bền ra sao nhưng trước tiên là thấy hài lòng","2","5"
"Tủ lạnh thiết kế đẹp. Tuy nhiên rất ồn khi vận hành. Nếu được chọn lại sẽ chọn loại khác.","1","3"
"Sp tốt, dịch vụ tôt.","2","4"
"Mình sài chưa được 1 tháng mà rau để trong tủ đọng mồ hôi thành giọt làm thực phẩm rất nhanh úng, tủ trước mình sài hãng khác k bị kiểu này, gọi bảo hành sharp xuống thì bạn báo như vậy là bình thường, dòng này nó vậy làm mình bực ghê. Nếu lúc bán tư vấn cho mình thì mình k chọn rồi. Mua tủ trữ thực phẩm mà nó làm úng đồ ăn vầy k biết mua làm chi.","0","1"
"Chưa có bill điện nên chưa biết hao không nhưng theo dõi trên app điện lực thì điện năng có vẻ giảm khi xài tủ mới (tủ cũ 5 năm). Tủ êm làm đá nhanh, xài thích. Rất ưng và đang giới thiệu bạn mua","2","4"
"Tủ lạnh mua xài gần 3thang thì bị đổ mô hôi quá tệ","0","1"
"Tủ mua chưa đc 2 tháng , khuya nổ 1 phát bể kính cường lực luôn , giờ phải chờ hãng xuống đánh giá là lỗi do tủ hay do ng xài . Tủ mua hơn 20tr mà dở hơn cái tủ mua 6tr","0","2"
"Hệ thống máy ổn ko có vấn đeef chỉ là máy kệ tủ hơi dở mới sài mấy tuần bể mất r","1","3"
"mới mua thì thấy ổn dùng được gần 3 tháng thì bảng điều khiển cảm ứng kêu và nháy chế độ liên tục (trong khi mình không bấm nút). chế độ bảo hành đến giờ vẫn chưa giải quyết được. đề nghị điện máy xanh giải quyết. Nếu không hãy đổi sản phẩm bởi vì đây là lỗi của nhà sản xuất!","0","2"
"Mình có mua tủ này được gần 2 tháng, nhưng có chút vấn đề không rõ tại sao, sau khoảng 1 tuần sử dụng bảng hiển thị thường xuyên tự nhảy chế độ...lúc thì tắt, lúc tự động chuyển lần lượt các chế độ hoặc báo khoá nhấp nháy kêu tít tít trong khi mình ko bấm gì cả, nó thường xuyên kêu kể cả nữa đêm..ko hiệu do bảng đó bị chạm chập hay lỗi gì ko ạ","1","3"
"Mua tủ từ 15/9 bị lỗi báo bảo hành mà đùn đẩy nhau từ ngày 23/9 đến tận bây giờ không thấy giải quyết . Bên hãng sharp thì gọi điện báo sửa chữa mua tủ thì mua tủ mới lại bắt đi sửa k ai đứng ra giải quyết đùn đẩy trách nhiệm cho nhau . Không biết hẹn đến bao giờ .","0","1"
"Tủ làm lạnh nhanh, bảo quản rau củ thịt cá tươi ngon. Tiết kiệm điện, hình thức đẹp, bố trí khoang lạnh, ngăn mát hợp lý, dễ sử dụng. Mua đúng dịp khuyến mãi nên được giá tốt, hơn 14 triệu đồng.","2","5"
"Sản phẩm dùng tốt. Bảo quản thực phẩm có tốt không Tôi thấy hài lòng và yên tâm","2","5"
"Tủ nói chung OK -mới mua hơn tháng nên chưa thấy gì khác ! Sharp thì dòng dùng bền rồi !nhưng may mắn k dính hàng bị lỗi !😆","2","5"
"Sản phẩm tốt, chất lượng cao, phù hợp với nhu cầu sử dụng . Tiết kiệm điện, làm lạnh nhanh","2","5"
"Tủ nhìn sang, đẹp, giữ lạnh khá tốt, để được nhiều hàng hoá, đồ ăn, khá tiết kiệm điện","2","5"
"Hàng của sharp thì khỏi chê rồi,nhà mình trừ mỗi tivi samsung,với điều hòa pana,còn thì combo của sharp hết,lò vi sóng đến máy xay sinh tố.","2","5"
"Tủ lạnh hoạt động êm, tiết kiệm điện, tốt trong tầm giá, sẽ giới thiệu cho người thân mua","2","4"
"Tủ rất đẹp. Hai ngăn đông khá Tiện nghi khi phân định đồ sống và đồ chín. Tủ chạy rất êm. Giao hàng nhanh.","2","5"
"Tu lạnh chạy êm, thực phẩm được giữ tươi lâu. Tôi sẽ giới thiệu cho người quen sd","2","4"
"Sp vận hành êm ái, chất lượng tốt, làm lạnh nhanh chóng, rất đáng tiền .","2","5"
"Mới mua chưa được 1 tháng nên chưa biết độ bền như thế nào, nhưng khả năng bảo quản hoa quả tươi lâu. Tủ rộng rãi, nhiều ngăn nên sắp đặt rất gọn gàng.","2","5"
"Dùng ok , sản phẩm rất tốt ......... nên dùng thử , rất ok","2","5"
"Máy đẹp, dùng rất ổn định. Gia đình mình mua 2 cái ( chị mình mua cùng). Thể tích rất lớn, các ngăn sắp xếp rất tiện ích.","2","5"
"Dùng rất rộng và đẹp lại tiện dụng. Rất phù hợp với giá thành Làm lạnh nhanh, máy chạy êm Quan trọng tha hồ để đồ Mặt kính sạch sẽ dễ lau chùi","2","5"
"Kiểu dáng đẹp xài rất ok, tiết kiệm điện, chạy rất êm không nghe tiếng ồn, bảo quản thức ăn tốt","2","5"
"Tủ lạnh rất tốt, kiểu dáng đẹp. Sẽ giới thiệu thêm cho banh bè đồng nghiệp. Khi hoạt đông chạy rất êm, mau đông đá","2","5"
"Sản phẩm tốt, nên mua, tiết kiệm điện, mẫu mã đẹp, có 4 cánh tiện lợi, rộng rãi chứa được nhiều đồ","2","5"
"Tủ lạnh đời mới thiết kế rất đẹp, sang trọng, máy chạy êm và tiết kiệm điện, tôi sẽ giới thiệu cho b.bè ng thân về sp này","2","5"
