"data","label","num_stars"
"Sản phẩm còn bảo hành. Từ ngày báo hư 20 ngày chưa giải quyết xong. Cứ đổ về bên trung tâm bảo hành samsung vậy tôi mua hàng ở dmx làm gì.hẹn 4 lần cứ hẹn ngoài câu thông cảm ra thì vấn đề cư như vậy Khách hàng lâu năm lần đầu thất vọng đến như vậy","0","1"
"Tôi không biết là tủ nào cũng vậy hay mỗi tủ của tôi. Nhưng lâu lâu tủ sẽ có tiếng nổ thật to, đôi khi nghe lụp bụp rất khó chịu. kéo dài cả tháng nay rồi. Báo bảo hành thì cũng không biết báo kiểu như thế nào được do lâu lâu mới kêu. Kếu ngay máy sau lưng tủ","1","3"
"Máy có lắp âm được không nhỉ Shop","2","4"
"Hôm nay mình phát hiện roong tủ bị rách và đã gọi trung tâm bảo hành. Có nhân viên tới chụp vài tấm hình rồi về, sau đó có nhân viên bảo hành gọi tới và nói là rách roong là do khách hàng làm rách có thể bỏ vật gì đó cấn và không được bảo hànhThứ nhất nếu mà đổ lỗi là do khách hàng thì nên nói tại chổ chứ đùng đùng về rồi tự phán quyết.Thứ hai chỉ đổ lỗi mà không chứng mình có thể do đặt vâtn gì đó cấn, mình đã chứng mình vị trí đo không thể để vật cấn được và nếu có vật gì đó ở đó thì không thể đóng tủ được nhân viên không quan tâm Mình kiểm tra đánh giá thì cũng thấy trường hợp tương tựTừ nay chắc không dám mua hàng samsung nữa.Mình đã kháng cáo lên điện máy xanh, nếu ĐMX không đòi được công bằng chắc cũng chả ưu tiên hơn những tiệm điện máy bình thường khác","0","1"
"Tủ làm lạnh tốt. Khử mùi hiệu quả, không bị ám mùi cá hay thịt từ ngăn đông sang ngăn lạnh nhờ có 2 dàn lạnh độc lập. Với ngăn làm đá cũng không bị hôi mùi thịt cá khi làm đông đá. Mọi người nên mua nha. Do vận chuyển lắp ráp trầy xíu không đáng kể. Lúc mua mọi người bảo nv vận chuyển kỹ chút sẽ ok","2","5"
"Vòng đệm cánh tủ mở ra bị bung ra , nhét vào được mấy hôm lại bị thoát nhiệt đóng tuyết","0","1"
"Tủ mới mới mua 2 tháng thì đã thay hết . như lốc máy . quạt .... Nhưng ngăn đông đá cũng đông rất chậm . từ 10h đêm 6 giờ sáng ngăn đông vẫn còn nước .nay nhân viên theo dõi 12 h ko mở xin nhấn mạnh ko đc mở tủ tủ lạnh ở chế độ 24 độ c . để đồ ít.thì ngăn đông mới đông . Thất vọng","0","1"
"Nhìn cơ bản đẹp. Sd ok. Điểm trừ hạng chế là k có ngăn đông mềm","2","4"
"Tủ sang,lm lạnh nhanh","2","5"
"Cũng được lắm em. Cảm ơn em đã quan tâm","2","5"
"Máy đẹp, chạy êm nhưng k biết cách tắt tiếng báo mở tủ kiểu gì Mở cái đã kêu rồi, k ăn vụng đc","2","5"
"Dùng phê lắm,ngăn rộng","2","5"
"Sài thấy cũng tối","2","4"
"Rất tốt. Đáng mua","2","5"
"Hiện tại thì tủ dùng rất ổn, chưa có vấn đề gì cả, nói chung là hài lòng","2","4"
"Chất lượng tủ quá tệ mới mua dùng 2 tháng đã phải bảo hành 3 lần, 3 lần bỏ đồ ăn trong tủ vì không lạnh. Gọi điện để khắc phục thì hứa hẹn r đến xem xong về chờ hãng, tủ này là tủ để đồ chứ ko phải tủ lạnh vì cả hay ngăn ko hoạt động. Hãng đến BH 2 hôm thì lại hư ko hiểu nổi sp này","0","1"
"Tủ mua gần 1 tháng thì tấm ở ngăn mát bị tróc sơn nhìn rất mất thẩm mĩ","0","2"
"có bán chân để tủ lạnh ko dmx.","2","4"
"2 bên thành tủ hơi nóng ạ.","2","4"
"Mới mua dc 2 ngày . Hình ảnh ở tủ đông như vậy có pải bị đông tuyết k. Nhờ kỹ thuật hỗ trợ dùm.","2","4"
"Tủ lạnh chạy êm . Làm lạnh nhanh","2","5"
"Mình rất hài lòng","2","5"
"Mới mua, kiêủ dáng rất đẹp","2","5"
"Ko có nổi bùn nào hơn mới mua hôm trước thì hôm sau giảm hẳn 1tr đồng","2","4"
"Thiết kế khay để đá k có tác dụng, coi như bỏ khay đá đi kèm tủ. Mọi người mua nhớ xem kĩ công năng của nội thất trong tủ","0","2"
"Tạm thời mới sử dụng chưa biết chất lượng OK hay ko. 1 thời gian nữa mới biết đc","2","5"
"Khuyên cả nhà đừng mua. Hãng làm ăn gian dối khi bán cho khách hàng sản phẩm lỗi. Mới mua nhưng gioăng cửa thoát nhiệt và chảy nước nhưng nhân viên kỹ thuật báo như vậy là bình thường.","0","1"
"Cảm ơn sản phẩm dử dụng ổn","2","4"
"Dùng tôt lạnh nhanh tiêt kiêm điên","2","4"
"Đẹp và sang dùng ok","2","5"
"Sản phẩm dùng rất tốt","2","5"
"Tủ lạnh chạy rất êm","2","4"
"Tủ lạnh mau lạnh lắm","2","4"
"Sản phẩm dùng tốt. Rộng rãi","2","5"
"chế độ cảnh báo khi quên đóng cửa sau bao nhiêu phút sẽ hoạt động nhỉ. chuông cảnh báo không được to lắm và không kêu được liên tục.","2","4"
"Sản phẩm tốt","2","5"
"Sản phảm dùng rất tốt","2","4"
"Đến thời điểm hiện tại dùng đc khoảng 1 tuần, cơ bản thấy ổn. Hài lòng. Nhân viên ĐMX nhiệt tình. Hi vọng chế độ BH sau này ổn áp nữa là 5* 🤗","2","4"
"Sp dùng tốt trong phân khúc","2","4"
"Nó chạy phát ra âm thanh rất to Với rất nóng","2","4"
"Tủ chạy êm , dùng ok , rộng rãi cho gia đình đông người","2","5"
"Mình mới rùng cũng thấy oke ko biết sau này ra sao","2","4"
"Dịch vụ tốt, giao hàng nhanh","2","4"
"Tủ lạnh dùng tốt","2","5"
"Giao hàng nhanh. Tủ lạnh tốt","2","5"
"Hiện tại rất tốt","2","5"
"làm lạnh tốt.","2","5"
"Dùng khá ok","2","4"
"Sử dụng gần 2 tuần thấy mọi thứ đang rất ổn định.","2","5"
"Sản phẩm xài tốt - tiết kiệm","2","5"
"Tu thiet ke dep rat ok","2","4"
"Máy lạnh sam sung sài tốt thật đó nhé.","2","4"
"Ko có ngăn đông nhẹ","1","3"
"Rất phù hợp với nhu cầu GĐ.","2","5"
"Mua máy mới bóc nhưng vẫn bị vỡ chút chắc do vận chuyển","1","3"
"Sản phẩm tốt,nhưng nv giao hàng kém","2","5"
"Khay đá bé,ngăn làm mát trên bề mặt nhanh trầy xước","1","3"
"Khay làm đá thiết kế quá bất tiện. Còn lại ổn","2","4"
"Đẹp, chạy êm","2","5"
"Tủ lạnh dùng ok","2","5"
"Hiện tại dùng rất tốt","2","5"
"Xài thấy im","2","4"
"Sản phẩm tốt","2","5"
"Sản phẩm tốt.giao hàng tận tình chu đáo","2","5"
"Máy chạy êm làm lạnh nhanh 👍","2","4"
"Tủ đẹp, chất lượng phục vụ tốt","2","5"
"SẢn phẩm tốt","2","5"
"Vỏ bọc của tủ lạnh không giữ được nhiệt độ.ngăn đá tiết hơi nước tạo sương ở mặc cửa đá (lúc nhiệt độ ngoài trời mát ta nhìn thấy rất rõ)","0","2"
"Mới mua tủ dùng thấy tốt.","2","4"
"Tủ lạnh hay bị nóng sờ cảm giác rát tay luôn","1","3"
"Tủ lạnh rất tốt. Mình rất hài lòng.","2","5"
"đẹp. làm lạnh nhanh giá hợp lý. cho 5sao","2","5"
"Tủ lạnh bị chảy nước, cứ 3-4 ngày lại có 1 vũng nước phía dứoi","1","3"
"Đang dùng chưa thấy vấn đề khác xảy ra","2","4"
"Máy chạy êm, tủ lạnh đông đá nhanh","2","5"
"Chất lượng quá tệ. Dịch vụ quá tệ. Mình mua về sử dụng 2 tuần bị tiếng kêu như nước sôi. Gọi ĐMX thì hẹn tới hẹn lui. Gọi riết kêu chờ hãng","0","1"
"Chạy êm làm lạnh rất tốt","2","5"
"Khử mùi ko tốt, đồ ăn bỏ trong tủ lấy ra nấu hôi mùi tủ lạnh ko ăn nổi","1","3"
"Đẹp tiện ích","2","5"
"Tủ cũng đang hoạt động tôt","2","4"
"Tủ to rộng rãi làm đá nhanh","2","4"
"Tủ lạnh chạy rất êm,các chức năng ok.Nhìn đẹp sang trọng.","2","4"
"Được nhân viên của hàng tu ván tôi mua sản phẩn này hiện đang dùng oke","2","4"
"Sài rất tốt ko có gì trục trặc không gian ngân mát rộng rải thoải mái","2","4"
"Tủ lạnh to, tiện lợi. 2 ngăn phía trên và phái dưới. Đựng đồ ăn rất rộng, dễ dàng lấy và tiện vệ sinh. Làm lạnh rất nhanh nữa.","2","5"
"Tủ thiết kế đẹp, chạy êm mượt, hiệu quả giữ tươi đồ ăn tốt và tốc độ làm đá nhanh.","2","4"
"Hiện tại thấy ok","2","5"
"Ok nhanh mát sản phẩm 4 sao","2","4"
"Dịch vụ chăm sóc khách hàng và bảo hành vô cùng tệ","0","1"
"Máy dùng êm và mát rất nhanh, đóng đá cũng rất nhanh","2","5"
"Sản phẩm tốt, nhân viên tư vấn nhiệt tình, kỹ thuật nhiệt tình","2","4"
"Tủ đẹp. Chạy êm. Tốt","2","5"
"Tủ lạng xài ok","2","5"
"Ổn, chạy êm.","2","5"
"Dung rat tot","2","5"
"Hiện tại mới dùng thi vẫn tốt còn k bit sau có bền k","2","4"
"Tủ đến thời điểm hiện tại vẫn ok.","2","5"
"Sp dùng cũng dc","2","4"
"Sản phẩm tốt.","2","4"
"Nhân viên thân thiện","2","4"
"Máy chạy êm . Đẹp","2","5"
"Có tiếng ồn va bị nóng ở mot bên về đem tiếng kêu lach cach mua được 3 thang","0","1"
"Tôi sử dụng tủ lạnh này từ T7/2021; hạn bảo hành đến T7/2023. Cách đây 2 tuần tủ lạnh nhà tôi bị hỏng, nhưng đến nay 20/3/2023 bên ĐMX vẫn chưa hỗ trợ xử lý bảo hành dứt điểm cho tôi sản phẩm này. Mỗi lần gọi điện lên yêu cầu bảo hành các bạn tổng đài viên đều chỉ biết nói em ghi nhận thông tin. Tôi rất buồn về cách làm việc của 1 Cty lớn như ĐMX.","0","1"
"Tủ lạnh ban đêm nghe kêu ạ","1","3"
"Bình thường","2","4"
"Nói chung xài bình thường còn tiết kiệm điện thì chưa biết ra sao vì mới sd","2","4"
"Tủ lớn chứa được nhiều đồ và Tiện sử dụng.","2","4"
"Làm lạnh tốt,","2","4"
"rất tiện lợi và hữu ích với mọi giá đình","2","5"
"Sản phẩm chạy êm và tuyệt vời","2","5"
"Nhân viên nhiệt tình","2","5"
"máy êm, giá rẻ :D","2","5"
"Đang trải nghiệm","2","4"
"Sản phẩm vận hành ổn.","2","4"
"Tủ oki ,lấy mầu ghi đen tưởng sạch nhưng vãn nhìn thấy dấu tay trên bề mặt cánh tủ, mặc dù đc chăm sóc khách hàng tư vấn khá kĩ","2","4"
"Tủ nhà mình mua ngày 29/1/23 mua về sử dụng khoảng 1 tuần thì ron trên cửa tủ ngăn mát bên tay phải bung ra có điện lên đmx xuống ktra xong sau đó hãng xuống kiểm và khắc phục, tiếp sau đó tình trạng ron cửa tiếp tục bị lại thì ngày 12/2/23 có điện lên dmx cứ hẹn hẹn mà không thấy cho bên hãng xuống ktra tới hôm nay 17/2/23. Trong khi thiết bị chỉ sử dụng lỗi đổi trả 1 tháng, kéo dài như vậy hết thời gian trải nghiệm của KH luôn rồi. Thật sự thất vọng về dịch vụ, trong khi mình là KH đã sử dụng đồ đmx rất nhiều!","0","2"
"Máy chạy êm độ lạnh tốt ít hao điện .","2","4"
"Tủ dùng rất tốt tiện lợi","2","5"
"Sp sử dụng ok","2","5"
"Tủ lạnh dùng rất ok, sản phẩm tốt, ai đang cần tìm tủ lạnh nên tham khảo nhé.","2","4"
"Sản phẩm tốt nhân viên tư vấn rất là nhiệt tình","2","5"
"Sản phẩm rất tốt.","2","5"
"Mới được tháng thấy OK","2","4"
"Dùng cũng được nhưng ko có ngăn đông mềm nên hơi bất tiệ","2","5"
"Giao hàng nhiệt tình, nhanh, lắp xong dọn vệ sinh sạch sẽ","2","5"
"Nhân viên nhiệt tình, mẫu đẹp,","2","5"
"Sản phẩm tốt","2","5"
"Oke nhà. Giá tốt.","2","5"
"Máy êm.mới mua chưa biết thế nào.","2","5"
"Chạy êm. Ok","2","5"
"Đã mua tủ từ 31/2/2022. Phát hiện tủ lỗi do móp nhiều vết trong tủ, trầy 4 vết dài ở 4 cánh, cánh cửa bên trái kêu lọc cọc, báo liền tt bảo hành ĐMX sau 3 tiếng nhận hàng. Nay đã 12 ngày, ĐMX vẫn chưa có hướng giải quyết cụ thể, bản thân phải làm việc liên hệ liên tục với bên hãng samsung, họ xác nhận 1 đổi 1 sau 3 ngày làm việc với mình, thế mà Tt bảo hành ĐMX vẫn im re, đây có phải là cách làm việc quá tệ và chậm chạm không? Không rõ chỉ có mình chi nhánh ở chơn thành bình phước giải quyết vấn đề của khách hành tệ và chậm chạm như vậy, hay cả 1 hệ thống bảo hành đều làm việc tệ và tất trách như vậy. Đến chiều nay mà vẫn chưa xác nhận đổi tủ cho nhà mình từ ĐMX thì mình sẽ tiếp tục khiếu nại nhiều hơn nữa. 10 năm gắn bó với ĐMX, mà bên trung tâm bảo hành giải quyết vấn đề của KH quá tệ, thì đã đạp đổ lòng tin của khách hàng và uy tín mà cả hệ thống gầy dựng từ trước tới giờ. Quá là tệ","0","1"
"sản phẩm sài rất tốt, kiểu dáng đẹp dung tích lớn mà giá thành vừa phải . hàng chất lượng .","2","5"
"sản phẩm tốt","2","4"
"Thiết kế tủ thật sự rất ưng ý, mới mua về sử dụng ổn, 10/2021 - 11/2022 hư lốc máy, dùng cẩn thận nhưng k biết vì sao mới 1 năm mà hư lốc, DV ĐMX rất tốt xuống kiểm tra liền nói phải báo hãng xử lý. Tủ đang chứa đồ ăn giờ hư nhưng phải chờ vài ngày và k biết khi nào hãng mới xử lý, phải bỏ rất nhiều đồ ăn đi vì k có tủ chứa. Thất vọng với dịch vụ của Samsung. K xuống kiểm tra mà nói gọi điện để check qua phần mềm. Tủ k chạy thì hướng dẫn kiểu j.","0","1"
"Sản phẩm dùng rất tốt, sức chứa rộng rãi","2","5"
"Tủ lạnh dùng rất tốt","2","5"
"Tủ rộng, dùng ổn nhưng vỏ tủ hơi nóng","2","4"
"Tủ lạnh dùng tốt","2","5"
"Tủ dùng tốt, rộng rãi","2","5"
"Tủ rộng, hoạt động tốt","2","5"
"Tủ rộng, dùng ổn","2","5"
"Tủ dùng ok , không bị lẫn mùi 2 ngăn với nhau","2","4"
"Tủ bị lệch nhiệt độ","2","4"
"Sp tốt, bền hay không thì cần thời gian đánh giá, nhưng đội ngũ giao hàng Đmx ko ngại đường xá bất tiện, cuốc bộ 2km giao hàng và niềm nỡ vui vẻ, đề nghị phòng CSKH ghi nhận cho Anh An & Anh Tèo bộ phận giao hàng thang điểm 10.","2","5"
"sản phẩm tốt, chạy êm, ok","2","5"
"sản phẩm tốt ok","2","5"
"sản phẩm tốt, bền","2","5"
"sản phẩm tốt, chạy êm","2","5"
"sản phẩm tốt, dùng không có vấn đề gì","2","4"
"sản phẩm tốt. hoạt động êm","2","5"
"sản phẩm tốt, dùng không có vấn đề gi","2","5"
"sản phẩm tốt, chạy êm, ok","2","5"
"sản phẩm tốt, chạy êm, tủ mát hoạt động tốt","2","5"
"sản phẩm tốt, hoạt động ok","2","5"
"sản phẩm tốt, dùng ok, ko có vấn đề gì","2","5"
"sản phẩm tốt, hoạt động êm, có điều bề ngoài nhiệt hơi nóng, còn lại ok ổn định","2","5"
"sản phẩm tốt, chạy êm, có điều cái bề mặt ngoài phía trước bị in vân tay, lau thường xuyên cũng bị bám gây mất thẩm mỹ 1 tí","2","4"
"sản phẩm tốt, hơi lạnh đủ cho thức ăn, tủ chạy êm","2","5"
"tủ chạy êm, hoạt động tốt","2","5"
"sản phẩm dùng tốt, chạy êm","2","5"
"sản phẩm chạy rất tốt, ổn định, không có vấn đề gì","2","5"
"sản phẩm tốt, chạy êm, tiết kiệm điện","2","5"
"sản phẩm tốt, tiết kiệm điện, chạy êm, tủ mát hỏa động ok","2","5"
"sản phẩm tốt, chạy êm","2","5"
"sản phẩm tốt, chạy êm, tủ làm mát hoạt động tốt","2","5"
"sản phẩm tốt, chạy êm, ko có vấn đề gì","2","5"
"tủ lạnh êm, chạy tốt","2","5"
"sản phẩm tốt, chạy êm","2","5"
"tủ lạnh chạy êm, tốt","2","5"
"Tiết kiệm điện thì chưa biết, thiết kế đẹp, tủ làm lạnh tốt","2","5"
"Xài cũng được, tiết kiệm điện hay không thì phải sử dụng rồi đánh giá","2","5"
"Mẫu mã đẹp, xài được, cửa tủ hơi bất tiện","2","4"
"mới dùng chưa đánh giá tủ này được","1","3"
"mình mua về dùng thì phát hiện ngăn mát bị rò, thợ samsung đến kiểm tra thì báo là do zoăng hỏng, rách, và không chấp nhận bảo hành, nói đó là lỗi do người dùng, mặc dù mình dùng hoàn toàn bình thường, h phải thay zoăng trên hãng, hãng báo là 770k cho 1 bên, ok, phải cắn răng mà thay. tủ lạnh tệ, hãng samsung tệ, hẹn không bao h gặp lại samsung.","0","1"
"Rất thích mẫu mã này, chưa sử dụng nên 1 thời gian mới biết được","2","5"
"Tốt, sài oke","2","5"
"tủ dùng ổn, hoạt động êm, bảo quản thực phẩm tốt","1","3"
"Tủ dùng tốt, êm, không gây tiếng ồn, làm lạnh nhanh","2","4"
"Bình thường","2","5"
"Tủ dùng tốt, ngăn rộng rãi, hoạt động êm","2","5"
"Tốt và sài êm lắm","2","5"
"Sản phẩm dùng tốt, hoạt động êm, giá cả phải chăng","2","4"
"Dùng tốt, tiết kiệm điện, khả năng làm lạnh nhanh","2","5"
"Tủ dùng tốt, ngăn để thực phẩm rộng rãi, không gây tiếng ồn","2","4"
"Tủ dùng tốt, các chức năng hoạt động ổn định, hài lòng","2","5"
"Sản phẩm dùng tốt, hoạt động êm, làm lạnh nhanh hơn các tủ đã dùng trước đây","2","5"
"Sản phẩm dùng ổn định, bảo quản thực phẩm tốt, làm lạnh nhanh","2","4"
