"data","label"
"sao máy bị tróc hết rồi huhu","0"
"lap , nhân viên kh biết gì về lap đc cái mã, bảo hành rồi vẫn hỏng vẫn lỗi, phí tiền, trải nghiệm TỆ. Cất công lên nhân viên bấm vài cái nút kêu về coi nó hết kh hết thì lên sửa mấy lần làm gì","0"
"Màu sơn rất kém mới dùng được 4 tháng đã bong trốc sơn có được hỗ trợ không ạ","0"
"Touchpad bị đơ lỗi loạn. Đã thử mọi cách vẫn không hết. Mình mua máy được tầm 2 tuần.","0"
"Sao mới mua mà lỗi tuochpad rùi","0"
"Mình mua con máy này dùng được 1 tuần thì touchPad của máy có dấu hiệu bị đơ. Mình đã yêu cầu đổi máy và nó tiếp tục bị đơ tiếp tục. Đơ đến nối mình không sử dụng được chuột. Bên mình cho mình hỏi lý do tại sao với ạ mình đã update win với làm các thao tác để chỉnh touchPad của chuột giảm đơ hết rồi, nhưng mà không có hiệu quả","0"
"Dạ cho e hỏi là con chuột trên máy e nó hong hiện thị nữa thì làm sao ạ","1"
"Mua phần mềm Microsoft bên mình giá bao nhiêu vậy ạ.","0"
"Máy tốt sp ok nhân viên nhiệt tình chu đáo và tận tình với khách hàng","1"
"Ok.","1"
"Tốt","1"
"Dich vu tot","1"
"Máy rất hay hị rớt mạng và máy chạy chậm","0"
"Ok","1"
"","1"
"","0"
