"data","label"
"5tr8. +300 giá đỡ. Mà k có ăng ten hay gì đi kèm cả. Ngoài tivi và điều khiển ra k có gì. Chỉ xem dc VTV 1 và vài kênh địa phương còn đâu bắt mua gói. K nên mua","0"
"Sài được đúng 13 tháng hư màn hình . Điện thoại bảo hành hãng toshiba thì nhân viên xuống xem rồi kết luận bị ẩm vô nước trong khi đó mở ra thì mọi thứ khô thoáng ko có dấu hiệu vô nước .. điện lên tổng đài khiếu nại thì nhân viên ko chịu .. cty lớn làm ăn quá tệ ai đang có ý định mua hành toshiba thì nên xem lại cách bảo hành của hãng này và sản phẩm quá kém chất lượng","0"
"Tivi không có Bluetooth","1"
"Có cách nào xem kênh truyền hình trên tivi mà không phải xem qua ứng dụng không mọi người","1"
"Hàng báo 14 ngày nhận quà là máy xay nhưng hơn 14 ngày rồi vẫn chưa thấy gì.gọi tổng đài thì đùn đẩy nhau bảo có nhân viên liên hệ nhưng vẫn không thấy.làm ăn mất uy tín","0"
"Mình cần tư vấn cách sử dụng dò kênh cho tivi này. Do bố mẹ mk lớn tuổi r k biết dò kênh .Nếu trả lại thì phí như thế nào v ạ","0"
"về vấn đề bảo hành ôk 1 đổi 1 mua được sáng tối kẻ màn sáng hôm sau đổi luôn cái mới tuyệt vời về hình ảnh","1"
"Mua cái thứ 2 bên bảo hành cho viết tay từ chối bảo hành","0"
"Tvi thợ đmx gắn cho mình mà bị rớt, giờ kêu hỗ trợ mua tvi giá 3.8tr. Bộ muốn mua là mua sao, ko tiền lấy j mua thêm. Mà kêu thu hồi với giá 3.8tr mình lấy sản phẩm cùng hãng cũng ko chịu. Sao mà khôn quá vậycòn tưởng ngkh ngu hết ak","0"
"Có hơn 5 triệu có được cái màn hình to 43 inch, âm thanh hay chuẩn Dolby digital thế là ngon rồi. Nếu Toshiba bây giờ mà cũng bền như ngày xưa thì còn gì bằng.","1"
"Tệ. Đổi đến cái thứ 3 nhưng Remote vẫn đôi lúc bấm nút này nhảy nút khác, lâu lâu tự hiện tắt tiếng nên rất phiền khi đang xem","0"
"Tệ Sản phẩm dùng lỗi màn ko xử lý cho kháchGọi lên tổng đài tắt ngang Làm ăn vô trách nhiệmSố mua hàng xxxx951338","0"
"Tivi mua gần 7.triệu đc nữa tháng nay mới nhận ra kg có tính năng kết nối bluetooth, chán thiệt","0"
"Có đặt hàng mua online nhưng chưa thấy giao hànhHoặc liên hệ lại","0"
"Tivi chất lượng màn hình rất tệ. Tôi vừa lắp, hình ảnh độ phân giải cực thấp , bể bể, hột hột , đến nỗi gương mặt diễn viên nhân vật không nhìn ra được là diễn viên nào. Là cái tivi tệ nhất trong đời mà tôi thấy được. Tôi không hiểu sao dmx lại bán sản phẩm như thế này cho người tiêu dùng. Nếu sp tệ thì đừng bán, người tiêu dùng chọn sản phẩm khác. Tôi mua ở hệ thống tgdtdmx đã rất nhiều năm. Lần này thật là thất vọng, tôi không tin tưởng dmx nữa, không tiếp tục mua ở đây cũng như khuyến khích bạn bè người không nên. Rất thất vọng","0"
"Mình cần liên hệ để hỗ trợ tải ứng dụng K+ về mà ko cần dùng box. TV này có Android và CH Play để tải ko","0"
"Tivi xài chưa đc 1 tuần đã bị lỗi .hẹn xuống xử lý hứa lần hứa lựA .","0"
"Chất lượng hình ảnh âm thanh kém. Máy chậm rì hệ điều hành k tương thích my tv","0"
"Dịch vụ bảo hành rất tệ","0"
"yêu cầu chỉ cách kích hoạt vieon","1"
"Sp xài ok","1"
"Tam on noi chung sai cung dc","0"
"Tuyệt OK","1"
