"data","label"
"Cách sử dụng usb như nào vậy","1"
"Sài gần 2 năm bị nứt màng hình, lên hệ điện máy xanh, xuống kiểm tra, báo bên hãng sắm sung xuống thay màng hình mới , không tốn tiền phí gì cả ,Sài luôn đến giờ rất ok","1"
"Tỉ vi này mới hết bảo hành là có sọc màn hình chỉ coi được hơn 2 năm","0"
"Tivi em bị sọc giữa màn hình khônh biết có được bảo hành không ạ","0"
"Mua về chưa gì đã hư hỏng điều khiển tivi,báo lên thì gọi người này người kia giải quyết,cuối cùng 2 tuần chưa có điều khiển tivi mà chưa ai giải quyết luôn,còn đồi bán cho điều khiển tivi mới nữa chứ,quá tệ cho một hệ thống lớn,bán hàng mà có cái điều khiển tivi ko giải quyết đc thì hỏi khách hàng có tin tưởng để mua nữa ko,lần đâu mua onl quá thất vọng về cách xử lý khi hàng giao cho khách chưa dùng đã bị hư và hình như còn ko chịu trách nhiệm và ko xử lý cho khách,rất chán nản.","0"
"Tivi mua ngày 3/5/2023 mà dừ điều khiển tivi bị hư có được bảo hành không ạ","0"
"Ok","1"
"Tôt","1"
"Hài lòng","1"
"Rattot","1"
"Vẫn ổn","1"
"Mình cần kết nối với FPT mà chưa kết nối được","0"
"Dung ok","1"
"Sản phẩm rất đáng mua","1"
"Điều khiển giọng nói không được,","0"
"Nhân viên lắp đặt nhiệt tình","1"
"Tivi hiện đại. Kết nối loa hát karaoke hát tốt","1"
"Hinh anh va âm thanh đep vơi tâm gia nay.","1"
"TV rẻ và dùng tốt","1"
"Ti vi không có bảo mật khiến hiện tại tôi không xử dụng được vì bị kẻ gian kết nối hoàn khoá hết các chức năng tôi có thể dùng như youtobe chuong trình truyền hình. Tôi cần hỗ trợ","0"
"mới mua ngày thứ 2 đã bị lỗi không mở màn hình được.","0"
"Hiện tại rất tốt","1"
"Ngon lành","1"
"Tivi mua 3 hôm lỗi đen màn hình có nháy đèn đỏ đã báo DMX","0"
"Màn hình đẹp . Sắc nét. Màu chuẩn","1"
"Tivi xài ok lắm","1"
"Tivi khởi động nhanh sắc nét nhận diện giọng nói tốt","1"
"Mua tivi được 10 hôm thì bị lỗi nháy đèn đỏ mở không nên màn hình . Đã báo DMX","0"
"Tivi bên mình xem hình ảnh rất rõ nét","1"
"Sử dụng tốt","1"
"Ok","1"
"Dùng tốt","1"
"Tivi màu sắc hiển thị đẹp mua giá onl rất hời nhân viên của đmx tư vấn rất nhiệt tình và dễ thương lắm nv lắp đặt cũng rất thân thiện rất tốt nhé","1"
"Sản phẩm tốt tuy nhiên t muốn tìm kiếm karaok thì cứ kêu ok hoặc kèm theo bài hát karaok là k tìm thấy k biết nó có ký hiệu riêng về tim kiếm về karaok k mong phản hồi và khắc phục","1"
"Mình mới mua được 2 tháng. Điều khiển đợt này nhanh hết pin. Cứ 4 5 hôm lại hết pin. Có được bảo hành điều khiển k b.","1"
"Chất lượng hình ảnh tốt","1"
"Sản phẩm dùng rất tốt ạ","1"
"Mới dùng chưa biết có tốt hay không","1"
"Tốt","1"
"Rất tốt","1"
"Quá tốt","1"
"Sản phẩm hiện tại đang rất tốt","1"
"Bình thường.","0"
"Good","1"
"Rất tốt","1"
"P","1"
"Tốt","1"
"Tivi ok lắm nè","1"
"OK","1"
"Ok","1"
"Màn hình sắc nét âm thanh chất lượng","1"
"Rõ nét..độ phân giải cao...hình ảnh đẹp","1"
"rất OK","1"
"Rõ nét. Mướt. Rất ok.","1"
"Loa rất bé","0"
"Hình ảnh..nét","1"
"Hinh ảnh đẹp","1"
"Ok","1"
"Tốt","1"
"Ok","1"
"Hình ảnh sắc nét và chất lượng hình ảnh cao","1"
"Tuyệt vời","1"
"Tốt","1"
"Sp khá tốt, nhân viên ân cần","1"
"Nhân viên tư vấn nhiệt tình.","1"
"Tốt","1"
"Xem mượt, rất tốt ạ","1"
"Trải nghiệm tuần đầu tiên khá là ổn.","1"
"Chất lượng âm thanh hình ảnh tốt.","1"
"Sản phẩm tốt trong tầm giá","1"
"Màng hình sắt nét Âm thanh rõ ràng","1"
"Rất ok","1"
"Tôi hài lòng","1"
"Tivi ok nhưng âm thanh hơi nhỏ","1"
"Tốt","1"
"Chất lượng khá ổn","1"
"Ti vu rất ok","1"
"Tivi màu sắc hiển thị đẹp mua giá onl rất hời nhân viên của đmx tư vấn rất nhiệt tình và dễ thương lắm nv lắp đặt cũng rất thân thiện rất tốt nhé","1"
"Tốt","1"
"Ok","1"
"Tốt","1"
"Ok","1"
"Mọi thứ quá ổn, vote 5 sao cho dmx","1"
"Sản phẩm tốt , phù hợp với mục đích sử dụng của gia đình mình, còn chất lượng , bền hay không thì sử dụng thời gian lâu dài mới đánh giá được . Nhân viên rất nhiệt tình . Cảm ơn","1"
"Sản phẩm rất tốt ạ","1"
"Tốt","1"
"Nhân viên chăm sóc tốt. Hàng sử dụng tuyệt với","1"
"Sản phẩm tốt","1"
"Nhân viên tư vấn nhiệt tình , ok","1"
"Sản phẩm tốt","1"
"Cx khá mượt","1"
"Sản phẩm dùng tốt","1"
"Tuyệt","1"
"Sp ok","1"
"Good","1"
"ok","1"
"Đẹp","1"
"Ok","1"
"Sản phẩm tốt,sắc nét,giá rẻ","1"
"Tốt","1"
"Xem tốt chế độ màn hình âm thanh ổn","1"
"Ok","1"
"Ok ok ok","1"
"tốt","1"
"Màu sắc, độ nét tốt trong tầm giá 10T, chấp nhận không nét và chân thật như Sony, xem chế độ tiêu chuẩn thì đỡ ảo hơn sống động. Tìm kiếm giọng nói trong Youtube: Phải nhấn micro (trên remote)- Mở youtube / chọn tìm kiếm / chọn mic / Nhấn micro để nói bài cần tìm. Lưu ý không nói tiếng Karaoke. Nếu nói có chữ Karaoke là chị Google trả lời không tìm được hoặc OK rồi đứng luôn, có thể thay bằng chữ tone nam (nữ). Nói chung tìm kiếm giọng nói bất tiện hơn google tivi và tivi box có tìm kiếm giọng nói. Các bạn có cách nào hay thì chia sẻ nhé!","1"
"Rất tốt","1"
"Sản phẩm tôt","1"
"Tốt","1"
"Tot .nhiet tình","1"
