"data","label"
"Điều khiển của tivi thực sự là rất tệ. cứ phải cắm sạc mới mở được. chắm sạc 1 thời gian thì điều khiển cũng k nhận sạc luôn, chịu k mở nổi tivi","0"
"tôi có trải nghiệm rất tệ về sản phẩm này và sản phẩm tivi samsung mang tới cho khách hàng, màu sắc rất kém, độ sắc nét tệ. tôi không hài lòng với quy trình xử lý khiếu nại của điện máy xanh vì tôi gửi khiếu nại kiểm tra tivi trong thời gian trong tháng đầu nhưng quy trình xử lý rườm rà, kéo ra tháng thứ 2 mới kết luận là tivi bình thường, lúc đó tôi muốn cho thu lại thì báo tôi phải chịu phí khi sử dụng qua tháng thứ 2 là 30% thay vì 20% trong tháng đầu. Trong khi tôi đã cẩn thận hỏi nhân viên khi gửi khiếu nại thì nhân viên bảo tính từ ngày gửi khiếu nại chứ không phải từ ngày xử lý khiếu nại.","0"
"Cho mình hỏi tivi mình mua tháng 1.2024 nay còn thời gian bảo hành không ak. Liên hệ bhanh như thế nào. Tivi nút nguồn không sáng","0"
"Ngày 15/7/2024 tôi mua tivi này, tới là 25/10/2024 mới được 3 tháng 10 ngày mà bị hư 2 lần, bị hư bo mạch xử lý gì đó. Mỗi lần bảo hành mất cả tuần vì phải lấy linh kiện từ nhà máy gửi về. Chính sách bán hàng, đổi trả ko ra gì, sản phẩm quá tệ. Bán hàng đểu cho khách rồi bắt bảo hành hoài. Rồi tới lúc hết bảo hành mà bị hư tiếp thì bắt khách tự bỏ tiền sửa không thì vứt mua tivi mới à cả hơn chục triệu cái tivi chứ có vài trăm đâu. Nói thì bảo do mình xui mua phải hàng bị lỗi. Khách hàng xui hay do nhà sản xuất sản xuất hàng đểu. Nhà sản xuất với đại lý bán hàng nên làm việc lại đổi cái khác cho tôi đi.","0"
"Qua thời gian sử dụng thấy được chỉ có loa hơi nhỏ.","1"
"Sản phẩm tốt, hình ảnh sắc nét, đẹp","1"
"Không hài lòng với nhân viên tư vấn ở đây.Vì kpi mà tư vấn bất chấp cho khách hàng","0"
"Hàng mới sao ko có seal,màn hình và seal viền à , còn bị trầy phía trên cạnh viền nữa , mong giải đáp","0"
"Ok","1"
"Đúng như quảng cáo và mình mong đợi,rất hài lòng.màu sắcâm thanh..nói chung là ok","1"
"Mới mua thì ok rồi nhưng chất lượng thì chưa biết sao","1"
"Ổn nha mọi người","1"
"có ai cíu em , điều khiển hết pin , e lật ngược lại bỏ dưới bóng đèn nhà nhưng không khả thi, dây sạc thì không có , giờ không xài được tivi luôn , ai hướng dẫn e với","0"
"Mọi thứ đều tốt. Chỉ có mỗi tìm kiếm bằng giọng nói thì không thể sử dụng Tiếng Việt được. Nhà có người già mà không thể tìm kiếm bằng giọng nói Tiếng Việt nên thật sự rất bất tiện.","1"
"Tivi dùng ok ạ","1"
"Tốt","1"
"Ti vi trên cả tuyệt vời còn về độ bên thì dùng mới biết","1"
"sao mỗi lần tắt ti vi tầm 23 tiếng mở lại là bắt lỗi mạng mình tắt tivi bật lại thì k việc gì mà lúc nào cũng phải mở r tắt xong mở thấy k vui lắm . về phía nhân viên điện máy nhân viên lắp ráp nhiệt tình . ti vi màu đẹp c hình ảnh nét bé xem hoạt hình thấy khoái lắm. mình cũng mới mua đc tháng nên độ bền chờ thời gian trả lời","1"
"Sản phẩm tốt trong tầm giá","1"
"màu đẹp, tivi tốt","1"
"Cơ bản là dùng oke. Phù hợp mức giá so với cjaats lương","1"
"đẹp","1"
"Ok","1"
"Mới mua dx cách đây vài ngày.. âm thanh tốt..màu sắc đẹp..tivi mỏng đẹp.. rất hài lòng về dòng sản phẩm Samsung này","1"
"Sản phẩm dùng rất ok","1"
"Rất tốt","1"
"Tivi mỏng nhẹ xem rõ hỉnh, màu đẹp. Cần ủu đải cho khách hàng thân thiết khi mua.","1"
"hình ảnh và âm thanh rất tốt","1"
"Mình cần lời giải thích từ điện máy xanh. Mua tivi hơn một tuần. Độ tươi màu sắc còn tệ hơn cả tv hd mua 3 năm trước. Vừa nhận hàng đã yêu cầu hỗ trợ ngay. Tới nay hỗ trợ nhưng kéo dài thời gian. Không giải quyết vấn đề. Đổ thừa tùm lum hết. Làm ăn vậy sao dám tin tưởng mua tiếp. Tv bỏ ra hơn 10trieu mua, đổi lại còn thua tvi 3trieu .","0"
"Chất lượng tốt","1"
"ít sử dụng","0"
"So tốt","1"
"Tot","1"
"Hiện tại dùng tốt","1"
"Sang phẩm rất tốt","1"
"Tốt","1"
"Ổn áp","1"
"Rất tốt..hình đẹp..nhân viên nhiệt tình","1"
"Ok","1"
"tốt","1"
"Tốt","1"
"Sản phẩm quá tuyệt","1"
"Ok 5 sao","1"
"Quá tốt","1"
"Ok","1"
"Âm thanh tiếng hơi nhỏ Nhạc lời to","1"
"Tốt","1"
"Hình ảnh chân thực","1"
"","1"
"","1"
"","1"
"","1"
"","0"
"","1"
"","1"
"","0"
"","1"
"","1"
"","1"
"","1"
"","1"
"","1"
"","1"
"","1"
"","1"
"","1"
"","1"
"","1"
"","0"
"","1"
"","1"
"","1"
